Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,16.1,16.25,15.9,15.95,348066.0,15.95
2018-03-26,16.15,16.2,15.7,16.1,935529.0,16.1
2018-03-23,16.7,16.75,15.95,16.0,1454987.0,16.0
2018-03-22,16.85,16.95,16.65,16.7,1284243.0,16.7
2018-03-21,16.8,16.95,16.75,16.9,823742.0,16.9
2018-03-20,16.75,16.8,16.625,16.75,327807.0,16.75
2018-03-19,16.95,17.1,16.7,16.75,1235303.0,16.75
2018-03-16,16.85,17.025,16.8,17.0,719522.0,17.0
2018-03-15,16.75,16.8,16.65,16.75,302429.0,16.75
2018-03-14,16.75,16.8,16.55,16.65,320548.0,16.65
2018-03-13,16.9,16.95,16.55,16.65,175597.0,16.65
2018-03-12,16.85,17.0,16.725,16.85,375034.0,16.85
2018-03-09,16.55,16.8,16.45,16.8,411961.0,16.8
2018-03-08,16.6,16.65,16.35,16.4,458110.0,16.4
2018-03-07,16.5,16.6,16.35,16.5,232251.0,16.5
2018-03-06,16.4,16.65,16.325,16.6,281685.0,16.6
2018-03-05,16.1,16.45,16.05,16.4,286794.0,16.4
2018-03-02,15.95,16.15,15.9,16.15,545799.0,16.15
2018-03-01,16.3,16.45,16.025,16.1,440717.0,16.1
2018-02-28,16.75,16.75,16.4,16.4,344181.0,16.4
2018-02-27,16.85,16.95,16.625,16.7,260271.0,16.7
2018-02-26,16.8,16.975,16.75,16.9,280459.0,16.9
2018-02-23,16.6,16.8,16.425,16.75,160588.0,16.75
2018-02-22,16.3,16.65,16.3,16.5,487256.0,16.5
2018-02-21,16.15,16.45,16.15,16.15,560237.0,16.15
2018-02-20,16.45,16.45,16.05,16.1,438119.0,16.1
2018-02-16,16.55,16.7,16.4,16.45,612420.0,16.45
2018-02-15,16.7,16.85,16.5,16.6,427579.0,16.6
2018-02-14,16.5,16.75,16.4,16.7,368657.0,16.7
2018-02-13,16.15,16.625,16.1,16.55,664595.0,16.55
2018-02-12,16.1,16.5,16.0,16.15,1409498.0,16.15
2018-02-09,16.0,16.5,15.6,16.025,864476.0,16.025
2018-02-08,16.15,16.35,15.8,15.825,481715.0,15.825
2018-02-07,16.35,16.55,16.15,16.3,466062.0,16.3
2018-02-06,15.8,16.525,15.5,16.5,676845.0,16.5
2018-02-05,16.75,16.9,16.1,16.15,279313.0,16.15
2018-02-02,17.1,17.1,16.65,16.75,307372.0,16.75
2018-02-01,17.3,17.35,17.0,17.15,607122.0,17.15
2018-01-31,17.2,17.45,17.0,17.45,398768.0,17.45
2018-01-30,17.3,17.475,17.2,17.3,293079.0,17.3
2018-01-29,17.45,17.55,17.325,17.35,136812.0,17.35
2018-01-26,17.4,17.5,17.225,17.5,147214.0,17.5
2018-01-25,17.4,17.45,17.0,17.3,172580.0,17.3
2018-01-24,17.35,17.55,17.275,17.4,417241.0,17.4
2018-01-23,17.45,17.5,17.3,17.35,375592.0,17.35
2018-01-22,17.55,17.55,17.3,17.55,250891.0,17.55
2018-01-19,17.5,17.6,17.3,17.55,389084.0,17.55
2018-01-18,17.55,17.6,17.35,17.4,257269.0,17.4
2018-01-17,17.4,17.7,17.35,17.55,447556.0,17.55
2018-01-16,17.6,17.6,17.3,17.3,288057.0,17.3
2018-01-12,17.45,17.55,17.3,17.55,272008.0,17.55
2018-01-11,17.2,17.6,17.2,17.5,592840.0,17.5
2018-01-10,17.2,17.25,17.1,17.15,308787.0,17.15
2018-01-09,17.25,17.35,17.15,17.25,380679.0,17.25
2018-01-08,17.15,17.25,17.0,17.2,372788.0,17.2
2018-01-05,17.2,17.4,16.9,17.2,464802.0,17.2
2018-01-04,16.9,17.075,16.8,16.925,877724.0,16.925
2018-01-03,16.8,16.9,16.75,16.9,402287.0,16.9
2018-01-02,16.65,16.85,16.6,16.8,463697.0,16.8
2017-12-29,16.7,16.775,16.55,16.6,401769.0,16.6
2017-12-28,16.7,16.7,16.5,16.65,292088.0,16.65
2017-12-27,16.65,16.75,16.5151,16.65,221579.0,16.65
2017-12-26,16.75,16.8,16.6,16.6,152519.0,16.6
2017-12-22,16.7,16.8,16.65,16.8,429506.0,16.8
2017-12-21,16.65,16.825,16.45,16.65,367568.0,16.65
2017-12-20,16.75,16.75,16.55,16.6,299811.0,16.6
2017-12-19,16.65,16.8,16.5,16.65,556131.0,16.65
2017-12-18,16.5,16.7,16.4,16.6,457514.0,16.6
