Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,72.02,73.44,71.74,72.72,2683657.0,72.72
2018-03-26,70.74,72.01,70.26,71.76,1868396.0,71.76
2018-03-23,70.77,71.52,70.09,70.19,1715380.0,70.19
2018-03-22,72.03,72.33,70.77,70.8,2268527.0,70.8
2018-03-21,72.16,72.7,71.82,72.44,1977930.0,72.44
2018-03-20,73.86,74.14,71.885,72.18,2080163.0,72.18
2018-03-19,73.84,74.4,73.19,73.56,1846280.0,73.56
2018-03-16,73.88,74.665,73.88,73.98,2367651.0,73.98
2018-03-15,73.88,74.11,73.05,73.88,2267136.0,73.88
2018-03-14,74.14,74.2,73.41,73.96,1731346.0,73.96
2018-03-13,73.52,73.95,72.715,73.72,1826376.0,73.72
2018-03-12,73.98,74.28,73.31,73.45,2143045.0,73.45
2018-03-09,73.59,74.08,73.135,73.73,1980882.0,73.73
2018-03-08,73.97,74.03,72.56,73.51,2241458.0,73.51
2018-03-07,74.99,75.29,73.59,74.11,3338227.0,73.51
2018-03-06,76.13,76.17,74.15,75.34,3455823.0,74.7300418297
2018-03-05,75.5,76.37,75.5,75.88,1912517.0,75.2656699501
2018-03-02,75.65,76.56,74.89,75.65,2155331.0,75.037532047
2018-03-01,74.76,75.492,73.5,74.85,4389145.0,74.2440089057
2018-02-28,77.38,77.62,76.2,76.23,1898742.0,76.23
2018-02-27,78.0,78.28,76.93,76.94,2033923.0,76.94
2018-02-26,77.72,78.155,77.32,78.1,1566346.0,78.1
2018-02-23,77.18,77.79,76.4,77.31,1645974.0,77.31
2018-02-22,77.35,78.03,76.51,76.79,2110593.0,76.79
2018-02-21,78.34,79.66,76.96,77.03,3331311.0,77.03
2018-02-20,78.58,79.56,77.61,78.36,4630090.0,78.36
2018-02-16,77.88,79.28,77.6,78.72,4254540.0,78.72
2018-02-15,78.66,79.22,76.05,77.28,6200776.0,77.28
2018-02-14,81.61,83.34,81.06,82.78,6821944.0,82.78
2018-02-13,78.35,80.91,78.33,79.56,4294407.0,79.56
2018-02-12,77.71,79.3,77.52,78.78,5087430.0,78.78
2018-02-09,76.25,77.59,74.36,76.95,4298919.0,76.95
2018-02-08,75.94,79.19,75.6,75.91,5468887.0,75.91
2018-02-07,73.99,76.31,73.64,75.38,2143484.0,75.38
2018-02-06,71.97,74.54,71.4,73.78,2897875.0,73.78
2018-02-05,74.67,75.66,72.89,72.89,3126586.0,72.89
2018-02-02,75.84,76.05,74.66,74.91,2953785.0,74.91
2018-02-01,76.22,76.94,75.88,76.19,2207085.0,76.19
2018-01-31,77.03,77.38,76.2,76.65,3207103.0,76.65
2018-01-30,77.59,78.24,76.75,76.8,2299617.0,76.8
2018-01-29,77.2,78.04,76.91,77.4,1695018.0,77.4
2018-01-26,76.87,77.75,76.58,77.65,1830354.0,77.65
2018-01-25,76.88,77.5,76.2,76.68,3590954.0,76.68
