Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,46.63,46.82,45.0,45.38,18566310.0,45.38
2018-03-26,45.55,46.64,45.385,46.48,19751401.0,46.48
2018-03-23,45.98,46.34,44.76,44.79,21296732.0,44.79
2018-03-22,46.72,47.0215,45.73,45.89,25449926.0,45.89
2018-03-21,47.29,48.06,47.01,47.02,34523536.0,47.02
2018-03-20,46.8,47.75,46.43,47.05,68331479.0,47.05
2018-03-19,52.43,52.58,51.51,51.95,23478850.0,51.95
2018-03-16,52.4,52.69,52.25,52.27,17883567.0,52.27
2018-03-15,52.22,52.665,52.11,52.37,11679999.0,52.37
2018-03-14,52.88,53.15,52.18,52.32,10877757.0,52.32
2018-03-13,53.24,53.48,52.34,52.58,12640710.0,52.58
2018-03-12,52.98,53.44,52.665,52.9,14076625.0,52.9
2018-03-09,52.35,53.0,52.2,52.97,15761851.0,52.97
2018-03-08,51.94,52.16,51.465,52.13,14106457.0,52.13
2018-03-07,51.06,51.81,51.03,51.72,11727303.0,51.72
2018-03-06,51.56,51.79,51.22,51.5,13831556.0,51.5
2018-03-05,49.9,51.49,49.85,51.29,18771549.0,51.29
2018-03-02,49.33,50.4,49.155,50.32,17290989.0,50.32
2018-03-01,50.96,50.96,49.415,49.71,16539779.0,49.71
2018-02-28,51.06,51.5,50.67,50.67,14586818.0,50.67
2018-02-27,51.07,51.4,50.535,50.73,14271722.0,50.73
2018-02-26,50.59,51.26,50.5,51.17,12510429.0,51.17
2018-02-23,49.79,50.57,49.62,50.5,8639157.0,50.5
2018-02-22,49.59,50.055,49.405,49.59,9361372.0,49.59
2018-02-21,49.87,50.34,49.43,49.43,12412168.0,49.43
2018-02-20,50.2,50.31,49.655,49.89,14069855.0,49.89
2018-02-16,50.55,51.14,50.49,50.71,11075219.0,50.71
2018-02-15,49.7,50.685,49.43,50.64,13812618.0,50.64
2018-02-14,48.19,49.52,48.14,49.45,14193640.0,49.45
2018-02-13,48.01,48.68,47.77,48.49,12352626.0,48.49
2018-02-12,48.22,48.4868,47.72,48.15,16202848.0,48.15
2018-02-09,47.58,48.1504,45.92,47.73,23120892.0,47.73
2018-02-08,49.09,49.12,46.81,46.84,20411169.0,46.84
2018-02-07,49.2,49.85,48.82,48.87,14829532.0,48.87
2018-02-06,47.33,49.51,46.8101,49.4,25762565.0,49.4
2018-02-05,50.04,50.7,48.06,48.09,19401024.0,48.09
2018-02-02,51.25,51.41,50.04,50.13,17066379.0,50.13
2018-02-01,51.36,51.98,51.26,51.63,11648956.0,51.63
2018-01-31,50.86,51.845,50.86,51.59,16628930.0,51.59
2018-01-30,51.74,51.99,50.745,50.96,16614771.0,50.96
2018-01-29,52.67,52.79,51.88,51.94,11945048.0,51.94
2018-01-26,51.86,52.75,51.76,52.75,13591486.0,52.75
2018-01-25,51.54,52.045,51.54,51.6,13866906.0,51.6
2018-01-24,51.36,52.0,51.21,51.45,17144229.0,51.45
2018-01-23,50.75,51.27,50.57,51.12,13953926.0,51.12
2018-01-22,50.43,50.74,50.27,50.71,15358596.0,50.71
2018-01-19,50.5,50.6,50.27,50.58,13991663.0,50.58
2018-01-18,50.19,50.68,50.1,50.23,15547862.0,50.23
2018-01-17,49.91,50.29,49.85,50.27,23115174.0,50.27
