Date,Open,High,Low,Close,Volume,AdjClose
2018-03-16,24.48,24.525,23.89,23.91,17216594.0,23.91
2018-03-15,24.68,24.89,24.33,24.44,1905667.0,24.44
2018-03-14,25.01,25.43,24.59,24.74,2853835.0,24.74
2018-03-13,25.04,25.215,24.4,24.69,2601500.0,24.69
2018-03-12,25.52,25.52,24.53,25.01,2079378.0,25.01
2018-03-09,25.08,25.31,24.82,25.29,1484008.0,25.29
2018-03-08,24.99,25.15,24.59,24.92,1603822.0,24.92
2018-03-07,24.62,25.4,24.5,25.14,2325255.0,25.14
2018-03-06,25.09,25.11,24.3,24.65,2502179.0,24.65
2018-03-05,24.97,25.5,24.75,25.07,3512096.0,25.07
2018-03-02,23.445,25.17,23.32,25.01,8128116.0,25.01
2018-03-01,25.27,25.83,22.57,24.105,15341393.0,24.105
2018-02-28,31.99,32.3,31.53,31.58,1645320.0,31.58
2018-02-27,32.26,32.59,31.82,31.84,1203086.0,31.84
2018-02-26,32.18,32.36,31.73,32.35,1336889.0,32.35
2018-02-23,31.92,32.32,31.5,32.26,872767.0,32.26
2018-02-22,32.04,32.43,31.77,31.86,966715.0,31.86
2018-02-21,31.74,32.73,31.65,32.04,943074.0,32.04
2018-02-20,31.69,32.2499,31.42,31.6,2184815.0,31.6
2018-02-16,30.86,32.37,30.86,31.75,1924772.0,31.75
2018-02-15,31.05,31.16,30.58,31.0,1687452.0,31.0
2018-02-14,31.01,31.73,31.01,31.66,1261385.0,31.66
2018-02-13,29.73,31.49,28.7701,31.21,5556043.0,31.21
2018-02-12,33.36,34.19,32.49,32.92,1176117.0,32.92
2018-02-09,33.24,34.26,32.27,33.13,1466916.0,33.13
2018-02-08,33.78,33.98,32.87,32.89,1074469.0,32.89
2018-02-07,34.22,34.72,33.83,33.85,1159523.0,33.85
2018-02-06,33.07,34.43,32.74,34.33,1442776.0,34.33
2018-02-05,35.04,35.31,33.58,33.75,943260.0,33.75
2018-02-02,35.49,36.04,35.2,35.22,1176236.0,35.22
2018-02-01,35.62,35.77,35.15,35.66,1190243.0,35.66
2018-01-31,36.83,36.83,35.69,35.89,1260601.0,35.89
2018-01-30,37.37,37.57,36.67,36.74,865051.0,36.74
2018-01-29,37.49,38.2,37.38,37.76,971868.0,37.76
2018-01-26,37.67,37.74,37.23,37.57,954571.0,37.57
2018-01-25,37.29,37.54,37.13,37.37,935523.0,37.37
2018-01-24,37.01,37.61,36.85,37.21,804858.0,37.21
2018-01-23,37.14,37.14,36.75,36.88,583524.0,36.88
2018-01-22,36.67,37.16,36.67,37.02,1258112.0,37.02
2018-01-19,36.48,36.7,36.2,36.6,1809224.0,36.6
2018-01-18,36.75,37.0262,36.25,36.34,1195501.0,36.34
2018-01-17,38.32,38.32,36.65,36.85,1674847.0,36.85
2018-01-16,37.65,38.52,37.0249,38.13,1840585.0,38.13
2018-01-12,36.91,37.6,36.8,37.51,1550975.0,37.51
2018-01-11,36.38,36.79,36.19,36.67,1647033.0,36.67
2018-01-10,37.32,37.32,36.355,36.58,1261314.0,36.58
2018-01-09,37.9,37.9,37.32,37.35,1504909.0,37.35
2018-01-08,37.71,37.97,37.38,37.78,1851682.0,37.78
2018-01-05,37.5,37.8128,37.405,37.68,1237151.0,37.68
2018-01-04,37.46,37.56,37.27,37.47,1430581.0,37.47
2018-01-03,37.85,37.92,36.95,37.23,1294232.0,37.23
2018-01-02,36.55,38.01,36.44,37.88,1597574.0,37.88
2017-12-29,36.41,36.78,36.12,36.13,721171.0,36.13
2017-12-28,36.39,36.43,36.06,36.42,742916.0,36.42
2017-12-27,36.33,36.6479,36.15,36.38,539828.0,36.38
2017-12-26,36.26,36.97,36.23,36.24,562336.0,36.24
2017-12-22,36.3,36.43,36.12,36.25,713790.0,36.25
2017-12-21,36.62,36.76,36.02,36.31,1187858.0,36.31
2017-12-20,37.43,37.805,36.38,36.51,2000710.0,36.51
2017-12-19,36.88,38.09,36.88,37.43,1943562.0,37.43
2017-12-18,36.72,37.11,36.08,36.71,1982641.0,36.71
2017-12-15,35.63,37.6,35.18,36.5,5342746.0,36.5
2017-12-14,35.85,35.97,35.07,35.12,2008217.0,35.12
2017-12-13,35.83,36.39,35.49,35.99,1059694.0,35.99
2017-12-12,35.58,36.0,35.29,35.79,938601.0,35.79
2017-12-11,35.47,35.65,35.23,35.51,1195763.0,35.51
2017-12-08,35.2,35.82,34.92,35.47,1591573.0,35.47
2017-12-07,34.7,35.39,34.64,35.21,1652259.0,35.21
2017-12-06,33.74,34.95,33.03,34.81,2803710.0,34.81
2017-12-05,37.39,37.47,36.15,36.32,1337066.0,36.32
2017-12-04,35.46,37.47,35.45,37.3,2490768.0,37.3
2017-12-01,36.3,36.43,34.89,35.41,2807404.0,35.41
2017-11-30,37.07,37.7,36.2,36.55,7433541.0,36.55
2017-11-29,36.3,37.18,36.13,36.95,3474628.0,36.95
2017-11-28,35.98,36.34,35.645,36.33,1906306.0,36.33
2017-11-27,35.33,36.465,35.02,36.06,1774044.0,36.06
2017-11-24,35.4,35.465,34.54,35.27,1034118.0,35.27
2017-11-22,34.89,35.96,34.47,35.29,3493584.0,35.29
2017-11-21,33.3,34.95,32.07,34.8,6321803.0,34.8
2017-11-20,35.7,35.96,34.63,34.82,3137867.0,34.82
2017-11-17,35.86,36.32,35.62,36.04,2169447.0,36.04
2017-11-16,35.11,36.36,35.07,36.07,2777425.0,36.07
2017-11-15,33.52,35.06,33.33,34.45,1554211.0,34.45
2017-11-14,33.42,33.61,32.17,33.53,1723800.0,33.53
2017-11-13,33.32,33.99,33.19,33.57,2531409.0,33.57
2017-11-10,34.03,34.12,33.2,33.38,1633623.0,33.38
2017-11-09,34.03,34.04,33.18,34.03,2157420.0,34.03
2017-11-07,35.19,35.36,34.76,34.92,1222683.0,34.92
2017-11-06,35.57,35.71,34.17,34.99,2701784.0,34.99
2017-11-03,35.98,36.52,35.77,36.15,2107633.0,36.15
2017-11-02,36.1,36.24,35.69,35.97,1045041.0,35.97
2017-11-01,36.99,37.08,35.98,36.12,1266064.0,36.12
2017-10-31,36.3,37.17,36.29,37.0,1143844.0,37.0
2017-10-30,36.9,37.11,36.22,36.35,1566189.0,36.35
2017-10-27,39.42,39.59,36.33,36.72,5351221.0,36.72
2017-10-26,39.72,40.36,39.03,39.5,2306991.0,39.5
2017-10-25,39.68,39.98,39.37,39.75,1242809.0,39.75
2017-10-24,39.35,39.87,39.3406,39.86,1336055.0,39.86
2017-10-23,39.49,39.49,39.07,39.21,870729.0,39.21
2017-10-20,38.99,39.41,38.81,39.37,1176049.0,39.37
2017-10-19,38.11,38.85,38.11,38.8,1068109.0,38.8
2017-10-18,38.04,38.27,37.84,38.13,1044535.0,38.13
2017-10-17,37.79,38.21,37.75,37.89,995323.0,37.89
2017-10-16,37.3,37.895,37.3,37.78,1043159.0,37.78
2017-10-13,37.14,37.495,37.045,37.41,783343.0,37.41
2017-10-12,36.73,37.43,36.405,37.23,983052.0,37.23
2017-10-11,36.73,37.1,36.56,36.95,1429775.0,36.693744998666
2017-10-10,37.54,37.5804,36.75,36.9,1211759.0,36.644091757802
2017-10-09,37.82,38.06,37.45,37.64,1345718.0,37.378959722593
2017-10-06,38.41,38.49,37.7,37.87,1499201.0,37.607364630568
2017-10-05,38.51,38.78,38.21,38.5,830230.0,38.232995465457
2017-10-04,38.54,38.74,38.46,38.5,1115907.0,38.232995465457
2017-10-03,38.66,38.8399,38.29,38.69,662610.0,38.421677780742
2017-10-02,38.75,38.75,37.94,38.59,1281413.0,38.322371299013
2017-09-29,38.81,38.93,38.59,38.65,1027407.0,38.38195518805
2017-09-28,39.04,39.32,38.53,38.7,706889.0,38.431608428914
