Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,76.5,76.645,74.86,75.52,952766.0,75.52
2018-03-26,75.16,76.42,74.1025,76.28,842168.0,76.28
2018-03-23,75.34,76.08,73.81,73.96,1140017.0,73.96
2018-03-22,76.37,76.86,74.98,75.24,600911.0,75.24
2018-03-21,77.84,78.41,77.095,77.2,398545.0,77.2
2018-03-20,77.05,77.91,76.9,77.67,459174.0,77.67
2018-03-19,77.29,77.52,76.05,76.89,556096.0,76.89
2018-03-16,77.63,78.34,77.29,77.34,1006960.0,77.34
2018-03-15,77.15,77.98,76.95,77.6,455825.0,77.6
2018-03-14,78.3,78.78,76.8,77.09,447176.0,77.09
2018-03-13,79.27,79.34,77.85,78.08,362064.0,78.08
2018-03-12,79.33,79.82,78.51,78.78,604831.0,78.78
2018-03-09,77.62,79.27,77.29,79.22,675996.0,79.22
2018-03-08,77.09,77.37,76.23,77.2,568117.0,77.2
2018-03-07,74.84,77.165,74.84,77.0,590072.0,77.0
2018-03-06,74.62,75.64,74.48,75.61,632288.0,75.61
2018-03-05,74.07,74.76,73.06,74.51,728621.0,74.51
2018-03-02,73.69,74.9,73.4,74.73,562198.0,74.73
2018-03-01,76.37,76.535,73.63,74.27,644705.0,74.27
2018-02-28,77.11,77.96,76.29,76.34,492579.0,76.34
2018-02-27,77.67,77.93,76.88,76.95,743600.0,76.95
2018-02-26,77.31,78.08,77.11,77.87,569849.0,77.87
2018-02-23,76.23,77.08,75.37,77.02,369790.0,77.02
2018-02-22,76.66,76.76,75.64,75.96,611046.0,75.96
2018-02-21,75.82,77.74,75.73,76.18,564813.0,76.18
2018-02-20,76.18,76.73,75.45,75.87,744889.0,75.87
2018-02-16,76.24,76.98,76.1,76.39,497454.0,76.39
2018-02-15,76.26,76.7,75.44,76.43,603908.0,76.43
2018-02-14,73.65,75.56,73.65,75.46,560330.0,75.46
2018-02-13,74.12,74.32,73.7,74.22,516099.0,74.22
2018-02-12,73.71,74.98,72.79,74.5,947052.0,74.5
2018-02-09,73.17,73.66,70.74,72.83,1211370.0,72.83
2018-02-08,75.44,75.735,72.0,72.06,1108410.0,72.06
2018-02-07,75.41,76.78,75.02,75.77,1114215.0,75.77
2018-02-06,73.25,76.57,73.0,76.0,1611260.0,76.0
2018-02-05,77.39,78.26,74.78,74.78,988004.0,74.78
2018-02-02,79.44,79.8,78.06,78.08,620603.0,78.08
2018-02-01,79.87,80.26,78.83,80.02,715722.0,80.02
2018-01-31,81.62,82.2,79.85,80.16,576446.0,80.16
2018-01-30,81.31,81.72,80.86,81.05,772081.0,81.05
2018-01-29,82.36,82.84,81.375,82.18,911827.0,82.18
2018-01-26,83.66,84.49,81.65,82.75,1489684.0,82.75
2018-01-25,81.95,83.57,81.95,82.75,1152529.0,82.75
2018-01-24,81.68,82.24,81.05,81.42,705011.0,81.42
2018-01-23,81.4,82.02,81.09,81.43,715487.0,81.43
2018-01-22,81.07,81.3,80.335,81.2,531843.0,81.2
2018-01-19,80.0,80.9,79.83,80.86,499373.0,80.86
2018-01-18,79.49,79.89,78.63,79.54,584416.0,79.54
2018-01-17,79.14,79.795,78.49,79.65,571784.0,79.65
2018-01-16,79.24,79.75,78.17,78.53,529697.0,78.53
2018-01-12,77.55,79.02,77.35,78.89,436291.0,78.89
2018-01-11,77.24,77.67,76.79,77.62,275770.0,77.62
2018-01-10,77.48,77.77,76.52,77.14,461009.0,77.14
2018-01-09,77.1,78.19,76.91,77.9,398376.0,77.9
2018-01-08,76.75,76.82,76.065,76.77,700092.0,76.77
2018-01-05,76.48,77.01,76.02,76.94,554459.0,76.94
2018-01-04,76.1,76.555,75.44,76.36,818510.0,76.36
2018-01-03,74.15,76.2,73.885,76.16,578694.0,76.16
2018-01-02,73.71,73.94,73.265,73.91,766694.0,73.91
2017-12-29,73.7,73.7,73.1,73.12,331798.0,73.12
2017-12-28,73.2,73.47,72.83,73.42,205259.0,73.42
2017-12-27,73.16,73.26,73.0,73.09,552019.0,73.09
2017-12-26,73.07,73.22,72.58,73.05,207583.0,73.05
2017-12-22,72.98,73.29,72.56,73.05,494314.0,73.05
2017-12-21,73.96,74.0,73.08,73.28,499120.0,73.28
2017-12-20,73.59,74.05,73.24,73.65,494772.0,73.65
2017-12-19,73.64,74.12,73.35,73.84,546177.0,73.84
2017-12-18,72.72,73.24,72.31,73.16,531026.0,73.16
2017-12-15,71.54,72.39,71.22,72.13,1063783.0,72.13
2017-12-14,71.37,71.71,70.44,70.83,700333.0,70.83
2017-12-13,71.42,71.95,71.235,71.31,622454.0,71.31
2017-12-12,70.84,71.2,70.62,71.12,546808.0,71.12
2017-12-11,71.01,71.43,70.38,70.81,389501.0,70.81
2017-12-08,70.28,71.31,70.15,71.03,739669.0,71.03
2017-12-07,69.66,70.46,69.31,70.11,693161.0,70.11
2017-12-06,69.46,69.7,69.21,69.54,594046.0,69.54
2017-12-05,70.03,70.56,69.22,69.36,652257.0,69.36
2017-12-04,73.3,73.3,69.78,69.78,879547.0,69.78
2017-12-01,73.62,73.86,71.86,73.12,465375.0,73.12
2017-11-30,73.52,73.98,73.06,73.68,947127.0,73.68
2017-11-29,73.8,74.11,73.01,73.18,497278.0,73.18
2017-11-28,73.86,73.96,73.17,73.8,453672.0,73.8
2017-11-27,73.16,73.74,73.07,73.56,462028.0,73.56
2017-11-24,73.26,73.37,73.0,73.36,248426.0,73.36
2017-11-22,73.29,73.307,72.85,73.04,325740.0,73.04
2017-11-21,72.84,73.4299,72.58,73.26,431820.0,73.26
2017-11-20,72.27,72.79,72.175,72.75,555898.0,72.75
2017-11-17,72.05,72.46,71.68,72.31,611665.0,72.31
2017-11-16,71.33,72.46,71.05,72.3,466678.0,72.3
2017-11-15,71.49,71.68,70.87,71.13,412524.0,71.13
2017-11-14,71.01,71.66,70.86,71.61,636554.0,71.61
2017-11-13,70.95,71.5,70.82,71.27,485841.0,71.27
2017-11-10,71.3,71.49,71.15,71.33,1027649.0,71.33
2017-11-09,70.89,71.52,70.67,71.46,523801.0,71.46
2017-11-07,70.69,71.16,70.38,71.13,971420.0,71.13
2017-11-06,70.51,70.93,70.1,70.55,761448.0,70.55
2017-11-03,72.07,72.28,70.37,70.62,863653.0,70.62
2017-11-02,71.99,72.62,71.82,72.07,694768.0,72.07
2017-11-01,72.75,73.05,72.27,72.27,518996.0,72.27
2017-10-31,71.96,72.62,71.79,72.32,606333.0,72.32
2017-10-30,72.4,72.82,71.595,71.83,505465.0,71.83
2017-10-27,72.21,72.77,71.47,72.72,583390.0,72.72
2017-10-26,71.47,72.25,71.05,72.1,613761.0,72.1
2017-10-25,71.92,72.27,70.99,71.43,320902.0,71.43
2017-10-24,71.92,71.93,71.11,71.61,612337.0,71.61
2017-10-23,71.73,71.91,71.385,71.64,525684.0,71.64
2017-10-20,71.59,71.935,71.32,71.73,461603.0,71.73
2017-10-19,69.98,71.37,69.98,71.32,423283.0,71.32
2017-10-18,70.7,70.77,70.14,70.19,556947.0,70.121176635383
2017-10-17,71.13,71.25,69.74,70.41,527778.0,70.340960918896
2017-10-16,71.63,71.785,71.14,71.25,404298.0,71.180137274128
2017-10-13,71.93,72.11,71.17,71.39,410154.0,71.32
2017-10-12,71.54,72.0,71.33,71.81,700926.0,71.739588177616
2017-10-11,70.84,71.81,70.84,71.5,1041526.0,71.42989214175701
2017-10-10,70.68,70.99,70.395,70.88,351077.0,70.810500070038
2017-10-09,70.64,70.85,70.35,70.62,723274.0,70.550755007704
2017-10-06,70.15,70.61,70.07,70.61,300591.0,70.540764812999
2017-10-05,70.4,70.59,70.06,70.44,395225.0,70.301237598014
2017-10-04,70.1,70.27,69.86,70.2,595391.0,70.06171038303
2017-10-03,69.81,70.15,69.35,70.08,592917.0,69.941946775537
2017-10-02,69.2,69.76,69.05,69.47,577393.0,69.333148437451
2017-09-29,68.26,69.15,68.07,68.97,430834.0,68.834133406233
