Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,96.36,97.6699,95.97,96.73,6510826.0,96.73
2018-03-26,96.49,97.1134,95.98,96.35,5221541.0,96.35
2018-03-23,98.3,98.72,95.51,95.63,5570453.0,95.63
2018-03-22,97.56,99.25,97.3,97.67,9641002.0,97.67
2018-03-21,99.08,99.46,97.06,97.75,5907809.0,97.75
2018-03-20,101.88,102.18,100.12,100.27,5125711.0,100.27
2018-03-19,103.13,103.45,101.7,101.74,4658830.0,101.74
2018-03-16,105.0,105.8,103.17,103.46,8014279.0,103.46
2018-03-15,105.29,105.79,104.775,104.99,3571935.0,104.99
2018-03-14,107.51,107.75,105.36,105.61,3280814.0,105.61
2018-03-13,107.58,107.75,106.83,107.24,3614269.0,107.24
2018-03-12,107.99,108.57,107.14,107.14,4731751.0,107.14
2018-03-09,109.46,109.9,107.98,108.3,3739270.0,108.3
2018-03-08,107.16,109.06,106.94,109.0,3731931.0,109.0
2018-03-07,106.97,107.85,106.3325,106.89,3271355.0,106.89
2018-03-06,107.76,108.0,106.62,107.98,6040830.0,107.98
2018-03-05,106.04,107.84,105.77,107.7,5557546.0,107.7
2018-03-02,104.31,107.08,104.31,106.81,6229100.0,106.81
2018-03-01,103.67,105.045,102.93,104.68,6683285.0,104.68
2018-02-28,105.4,105.63,103.5,103.55,5255575.0,103.55
2018-02-27,106.39,106.47,104.08,104.08,4416672.0,104.08
2018-02-26,106.23,106.79,105.18,106.68,5611953.0,106.68
2018-02-23,103.65,106.36,103.43,106.11,4591431.0,106.11
2018-02-22,103.66,105.51,102.89,102.98,4063954.0,102.98
2018-02-21,103.1,105.05,102.98,103.72,5656697.0,103.72
2018-02-20,103.7,103.89,102.33,102.85,3958244.0,102.85
2018-02-16,103.31,105.13,103.05,104.31,5168162.0,104.31
2018-02-15,102.56,103.71,102.06,103.69,4348292.0,103.69
2018-02-14,102.75,103.5,101.74,102.54,4180732.0,102.54
