Date,Open,High,Low,Close,Volume,AdjClose
2018-03-07,72.53,73.51,71.95,72.07,631896.0,72.07
2018-03-06,72.96,73.46,72.55,73.35,699952.0,73.35
2018-03-05,72.59,73.27,71.47,72.74,729635.0,72.74
2018-03-02,72.57,73.28,71.24,73.12,434042.0,73.12
2018-03-01,72.7,74.14,71.97,73.19,757326.0,73.19
2017-06-16,67.59,67.68,66.475,67.15,9461876.0,67.15
2017-06-15,66.99,67.9,66.9,67.74,990317.0,67.74
2017-06-14,67.9,68.16,67.08,67.48,896814.0,67.48
2017-06-13,66.89,67.98,66.423,67.65,1398215.0,67.65
2017-06-12,65.54,67.07,65.54,66.68,1242493.0,66.68
2017-06-09,65.38,65.61,64.1,65.44,1576887.0,65.44
2017-06-08,66.15,66.4024,65.04,65.11,1716816.0,65.11
2017-06-07,66.42,66.99,65.95,66.4,456590.0,66.4
2017-06-06,66.39,66.81,65.87,66.09,311563.0,66.09
2017-06-05,66.5,67.48,66.3,66.61,501759.0,66.61
2017-06-02,66.75,67.27,66.26,66.7,460381.0,66.7
2017-06-01,66.57,67.18,65.86,66.62,601054.0,66.62
2017-05-31,66.2,66.47,65.52,66.42,536557.0,66.42
2017-05-30,65.74,66.71,65.16,66.2,358373.0,66.2
2017-05-26,66.65,66.83,65.26,65.81,511788.0,65.81
2017-05-25,66.43,67.47,66.3,66.85,684008.0,66.85
2017-05-24,64.88,66.49,64.21,66.27,1065147.0,66.27
2017-05-23,64.0,64.71,63.74,64.56,1074432.0,64.56
2017-05-22,64.0,64.22,63.27,63.93,453618.0,63.93
2017-05-19,63.28,64.07,62.99,63.51,452251.0,63.51
2017-05-18,62.95,63.83,62.52,63.04,519185.0,63.04
2017-05-17,64.74,65.37,63.08,63.6,706641.0,63.159168241966
2017-05-16,65.93,66.0009,65.23,65.67,493252.0,65.214820415879
2017-05-15,65.52,66.52,65.52,65.95,650779.0,65.492879647133
2017-05-12,66.39,66.41,65.05,65.34,624424.0,64.887107750473
2017-05-11,66.9,67.11,65.97,66.56,479412.0,66.098651543793
2017-05-10,67.25,67.56,66.8,67.07,443868.0,66.605116572149
2017-05-09,67.62,68.04,67.27,67.45,415378.0,66.982482671708
2017-05-08,68.68,68.75,67.38,67.73,595270.0,67.260541902962
2017-05-05,68.51,68.82,68.24,68.7,426623.0,68.22381852551999
2017-05-04,68.66,68.88,67.84,68.37,416151.0,67.896105860113
2017-05-03,68.66,68.79,67.69,68.48,673347.0,68.005343415249
2017-05-02,68.17,68.81,67.46,68.75,625202.0,68.27347195967201
2017-05-01,68.16,68.46,67.295,68.07,694745.0,67.598185255198
2017-04-28,68.67,68.76,67.39,67.91,829559.0,67.439294265911
2017-04-27,68.04,69.095,67.47,68.63,1032530.0,68.154303717706
2017-04-26,68.23,68.65,67.25,68.09,1762836.0,67.61804662885899
2017-04-25,72.15,72.49,68.2,68.28,4014843.0,67.806729678639
2017-04-24,78.88,79.63,78.64,79.28,980845.0,78.730485192187
2017-04-21,76.38,77.75,76.07,77.65,715036.0,77.11178323881501
2017-04-20,75.62,76.79,75.23,76.63,470033.0,76.098853182105
2017-04-19,75.28,75.86,74.8303,74.96,339201.0,74.440428481411
2017-04-18,74.57,75.02,74.237,74.78,298475.0,74.261676118463
