Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,283.4,284.49,276.27,277.41,320112.0,277.41
2018-03-26,278.0,283.12,275.82,282.52,285812.0,282.52
2018-03-23,281.08,283.03,274.13,274.79,463841.0,274.79
2018-03-22,287.13,287.45,280.49,280.86,370361.0,280.86
2018-03-21,288.97,292.97,287.45,289.86,417016.0,289.86
2018-03-20,284.95,289.04,284.46,288.97,517861.0,288.97
2018-03-19,285.38,286.34,281.43,283.84,339704.0,283.84
2018-03-16,283.43,287.5291,283.1001,286.67,731949.0,286.67
2018-03-15,280.41,284.08,279.7,282.86,418521.0,282.86
2018-03-14,283.85,284.25,278.81,279.85,321014.0,279.85
2018-03-13,284.32,284.62,280.0,281.66,355549.0,281.66
2018-03-12,285.9,286.0,282.07,282.83,289576.0,282.83
2018-03-09,280.48,285.8399,280.22,285.04,621790.0,285.04
2018-03-08,280.78,281.19,276.09,279.69,424310.0,279.69
2018-03-07,271.04,280.43,271.04,279.39,562545.0,279.39
2018-03-06,273.09,274.41,270.89,273.74,325065.0,273.74
2018-03-05,267.37,273.58,265.18,272.53,418455.0,272.53
2018-03-02,265.77,268.95,264.6123,268.01,420473.0,268.01
2018-03-01,275.0,277.0,267.23,267.49,551470.0,267.49
2018-02-28,281.43,282.54,275.08,275.09,390152.0,275.09
2018-02-27,285.24,285.885,280.23,280.33,448573.0,280.33
2018-02-26,282.59,286.58,281.975,285.33,282311.0,285.33
2018-02-23,281.08,282.54,279.28,281.14,306639.0,281.14
2018-02-22,279.42,283.6,279.03,279.6,443911.0,279.6
2018-02-21,277.18,282.59,277.1,278.43,521822.0,278.43
2018-02-20,275.06,277.91,274.03,276.74,415663.0,276.74
2018-02-16,274.3,277.47,273.77,276.31,492573.0,276.31
2018-02-15,272.31,276.0,267.55,275.75,434016.0,275.75
2018-02-14,269.15,271.91,267.4,271.09,500182.0,271.09
2018-02-13,268.86,270.97,266.12,270.47,384740.0,270.47
2018-02-12,263.29,272.42,261.64,270.12,571027.0,270.12
2018-02-09,261.93,263.5,254.1,261.53,635073.0,261.53
2018-02-08,266.65,266.65,259.23,259.4,818457.0,259.4
2018-02-07,267.91,272.85,266.19,266.19,610553.0,266.19
2018-02-06,261.44,269.9,258.31,268.79,962538.0,268.79
2018-02-05,285.21,289.5495,265.786,266.75,997213.0,266.75
2018-02-02,280.65,290.415,276.99,285.2,649688.0,285.2
2018-02-01,280.41,282.97,278.18,281.25,537865.0,281.25
2018-01-31,281.11,282.12,277.94,280.59,948487.0,280.59
2018-01-30,279.87,282.0,276.87,279.63,375290.0,279.63
2018-01-29,283.32,284.5735,281.26,281.3,291935.0,281.3
2018-01-26,279.63,284.22,278.53,284.14,287400.0,284.14
2018-01-25,277.0,279.94,275.79,279.08,585280.0,279.08
