Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,38.58,38.84,37.68,37.98,2109321.0,37.98
2018-03-26,39.17,39.46,37.61,38.5,2467063.0,38.5
2018-03-23,39.46,40.05,38.85,38.86,2663700.0,38.86
2018-03-22,39.5,40.39,39.06,39.42,2775315.0,39.42
2018-03-21,38.31,40.25,38.31,39.92,3146465.0,39.92
2018-03-20,38.57,38.96,38.18,38.27,2833617.0,38.27
2018-03-19,38.68,40.0,38.23,39.46,3784930.0,39.46
2018-03-16,37.6,39.01,37.6,38.68,14331355.0,38.68
2018-03-15,37.66,39.585,37.4201,37.55,9055880.0,37.55
2018-03-14,42.96,43.85,38.1,38.22,25799276.0,38.22
2018-03-13,48.01,49.37,47.75,47.91,3431794.0,47.91
2018-03-12,48.56,48.74,46.97,47.98,3175465.0,47.98
2018-03-09,48.45,49.365,48.32,48.9,1809712.0,48.9
2018-03-08,49.45,49.45,47.54,47.86,1749112.0,47.86
2018-03-07,48.36,49.71,48.06,49.44,2831521.0,49.44
2018-03-06,50.4,50.94,48.58,48.75,3627849.0,48.75
2018-03-05,50.78,51.55,50.145,50.35,1536987.0,50.35
2018-03-02,50.93,51.24,49.68,51.07,1216714.0,51.07
2018-03-01,50.28,51.79,49.68,51.6,1505969.0,51.6
2018-02-28,50.98,51.81,50.25,50.28,1673475.0,50.28
2018-02-27,52.12,53.24,50.635,50.64,1929200.0,50.64
2018-02-26,52.37,52.51,51.43,51.78,1156658.0,51.78
2018-02-23,51.01,52.99,50.98,52.25,2179170.0,52.25
2018-02-22,50.13,51.33,49.93,50.71,1620257.0,50.71
2018-02-21,49.74,51.06,49.31,50.07,1415676.0,50.07
2018-02-20,51.05,51.32,49.01,49.11,2640214.0,49.11
2018-02-16,51.24,52.59,51.24,51.33,1616094.0,51.33
2018-02-15,51.67,52.06,50.68,51.24,1296213.0,51.24
2018-02-14,48.88,52.0,48.59,51.12,2610255.0,51.12
2018-02-13,48.69,49.7,48.27,49.0,968619.0,49.0
2018-02-12,49.1,49.375,47.19,48.49,1532846.0,48.49
2018-02-09,49.95,50.21,47.04,48.96,1945706.0,48.96
2018-02-08,50.14,51.29,49.36,49.38,1103639.0,49.38
2018-02-07,49.54,51.06,49.46,50.14,1744471.0,50.14
2018-02-06,47.65,50.0,47.65,49.5,2205182.0,49.5
2018-02-05,50.65,51.56,48.86,48.88,2386993.0,48.88
2018-02-02,52.52,52.925,50.4,51.37,1964248.0,51.37
2018-02-01,52.52,53.67,51.84,52.64,1087946.0,52.64
2018-01-31,53.14,53.8272,52.5,52.9,1611240.0,52.9
2018-01-30,54.29,54.74,52.68,52.86,1263527.0,52.86
2018-01-29,54.8,55.26,53.81,54.74,992975.0,54.74
2018-01-26,54.7,55.74,54.251000000000005,55.3,1312659.0,55.3
2018-01-25,55.9,55.9,54.41,54.76,1447629.0,54.76
2018-01-24,57.21,58.59,55.85,55.92,1638856.0,55.92
2018-01-23,55.95,57.33,55.68,57.28,1036194.0,57.28
2018-01-22,55.11,56.05,54.01,55.87,1554169.0,55.87
2018-01-19,55.8,56.06,54.61,55.07,1898716.0,55.07
2018-01-18,55.34,56.63,55.25,55.99,1283390.0,55.99
2018-01-17,57.11,57.845,55.4,55.64,1765580.0,55.64
2018-01-16,57.4,58.0,56.02,56.79,2106525.0,56.79
2018-01-12,54.13,57.81,54.06,56.94,2838134.0,56.94
2018-01-11,52.7,56.28,52.39,55.22,5797316.0,55.22
2018-01-10,55.7,56.71,51.91,52.69,8791617.0,52.69
2018-01-09,57.35,58.1416,56.31,56.59,2918532.0,56.59
2018-01-08,57.17,59.1,57.17,57.44,3944602.0,57.44
2018-01-05,56.05,57.2,55.53,56.93,2132094.0,56.93
2018-01-04,54.57,56.4,54.29,55.8,2081805.0,55.8
2018-01-03,55.04,55.53,54.02,54.8,2078074.0,54.8
2018-01-02,56.74,58.22,54.87,55.29,2423058.0,55.29
2017-12-29,56.32,58.6,56.32,56.55,2409392.0,56.55
2017-12-28,56.81,57.03,55.06,55.92,1152350.0,55.92
2017-12-27,57.86,57.87,56.35,56.63,1254560.0,56.63
2017-12-26,56.67,59.3,56.67,57.74,2197352.0,57.74
2017-12-22,54.99,56.98,54.53,56.6,1671193.0,56.6
2017-12-21,54.23,56.145,54.22,55.75,1659389.0,55.75
2017-12-20,53.35,54.56,53.01,54.11,1352309.0,54.11
2017-12-19,55.15,55.453,53.01,53.25,2337919.0,53.25
2017-12-18,54.12,55.11,53.62,54.92,1872527.0,54.92
2017-12-15,53.83,54.95,53.2,53.75,3918127.0,53.75
2017-12-14,53.82,54.73,53.0,53.26,1439765.0,53.26
2017-12-13,53.0,54.905,52.7,53.89,2063364.0,53.89
2017-12-12,52.91,54.03,52.51,53.02,1495459.0,53.02
2017-12-11,53.26,53.715,51.86,52.76,1504816.0,52.76
2017-12-08,51.1,53.59,51.1,53.22,2413555.0,53.22
2017-12-07,51.0,52.8,50.88,51.31,1374151.0,51.31
2017-12-06,50.53,51.6,50.33,50.92,1713990.0,50.92
2017-12-05,49.97,50.83,49.08,50.43,1950623.0,50.43
2017-12-04,51.57,52.58,49.881,50.13,3374040.0,50.13
2017-12-01,52.65,53.65,51.76,51.99,2723546.0,51.99
2017-11-30,51.59,53.6,51.59,52.29,4947372.0,52.29
2017-11-29,52.82,53.87,50.66,52.38,3203306.0,52.38
2017-11-28,51.85,53.19,51.0101,53.09,2913897.0,53.09
2017-11-27,50.25,52.5,49.35,52.25,4211584.0,52.25
2017-11-24,52.98,53.068999999999996,49.33,49.8,3760899.0,49.8
2017-11-22,53.56,57.88,52.301,53.01,10376003.0,53.01
2017-11-21,59.0,61.06,52.5,52.79,18586937.0,52.79
2017-11-20,76.64,76.8988,75.41,75.84,2822328.0,75.84
2017-11-17,74.95,77.94,74.61,76.58,2839683.0,76.58
2017-11-16,73.95,74.6001,71.83,74.2,1768937.0,74.2
2017-11-15,72.0,75.57,71.38,73.77,2669766.0,73.77
2017-11-14,68.83,72.77,68.82,72.41,2632115.0,72.41
2017-11-13,70.72,71.64,68.63,69.49,1485906.0,69.49
2017-11-10,70.78,72.7,69.95,70.81,1346416.0,70.81
2017-11-09,67.1,71.24,66.81,70.85,2523857.0,70.85
2017-11-07,67.59,68.6,65.98,66.83,1431119.0,66.83
2017-11-06,65.14,68.14,64.65,67.5,1625664.0,67.5
2017-11-03,66.37,66.785,65.0,65.39,1985409.0,65.39
2017-11-02,66.5,67.94,65.5,66.39,1662043.0,66.39
2017-11-01,66.3,68.22,65.33,66.47,1724591.0,66.47
2017-10-31,64.29,65.9,63.95,65.57,1416731.0,65.57
2017-10-30,66.12,66.12,64.32,64.36,1268101.0,64.36
2017-10-27,65.57,66.83,63.7,66.76,1273958.0,66.76
2017-10-26,65.32,65.9399,64.32,65.84,911715.0,65.84
2017-10-25,66.32,66.51,64.11,65.51,994371.0,65.20299924414199
2017-10-24,65.5,66.63,64.9,66.52,1296635.0,66.20826606198001
2017-10-23,65.78,68.34,65.03,65.2,2073540.0,64.894452003023
2017-10-20,63.39,66.12,63.39,65.96,2256743.0,65.65089040060501
2017-10-19,61.19,63.37,61.1,62.91,1383698.0,62.615183673469
2017-10-18,61.37,62.62,61.1,61.45,1035107.0,61.162025699169
2017-10-17,60.75,61.8,60.75,61.18,1061260.0,60.893291005291005
2017-10-16,60.02,61.21,60.02,60.6,1029161.0,60.316009070295
2017-10-13,61.66,62.1125,59.9,60.01,1607292.0,59.728773998487995
2017-10-12,63.72,63.82,61.2042,61.59,2176294.0,61.301369614512
2017-10-11,66.28,66.69,63.95,64.09,1215612.0,63.789653817082005
2017-10-10,65.46,67.6,65.31,66.45,918630.0,66.138594104308
2017-10-09,67.56,67.655,65.19,65.56,751102.0,65.252764928193
2017-10-06,67.4,68.23,67.23,67.32,970784.0,67.004517006803
2017-10-05,66.9,67.96,65.65,67.65,994248.0,67.332970521542
2017-10-04,67.5,67.725,66.47,66.88,1241262.0,66.56657898715
2017-10-03,66.25,67.75,65.51,67.63,1181797.0,67.313064247921
2017-10-02,66.79,66.93,64.8,66.13,1058502.0,65.820093726379
2017-09-29,67.37,67.735,66.52,66.55,751717.0,66.238125472411
2017-09-28,66.61,67.73,66.26,67.1,857793.0,66.785547996977
2017-09-27,65.52,66.86,65.19,66.55,1527634.0,66.238125472411
2017-09-26,65.28,66.345,65.2,65.45,1347372.0,65.14328042328
2017-09-25,64.39,65.85,64.171,65.69,1093109.0,65.382155706727
2017-09-22,64.31,64.69,63.94,64.39,759218.0,64.088247921391
2017-09-21,64.91,65.62,64.23,64.58,1075399.0,64.277357520786
2017-09-20,67.45,67.45,64.63,64.91,1980555.0,64.605811035525
2017-09-19,67.56,67.76,65.6,67.1,1571525.0,66.785547996977
2017-09-18,69.95,69.95,67.44,67.5,1313692.0,67.183673469388
2017-09-15,68.6,70.245,68.0,69.75,2700008.0,69.423129251701
2017-09-14,68.73,69.46,66.69,68.88,1727015.0,68.557206349206
2017-09-13,68.2,69.33,68.2,68.73,1377832.0,68.407909297052
2017-09-12,66.61,69.02,66.04,68.3,2147596.0,67.97992441420999
2017-09-11,65.72,66.79,65.49,66.24,1463373.0,65.92957823129301
2017-09-08,65.37,65.95,64.575,65.49,1172413.0,65.183092970522
2017-09-07,65.93,66.13,64.33,64.89,1567822.0,64.585904761905
2017-09-06,64.98,65.97,64.54,65.67,1486350.0,65.36224943310701
2017-09-05,64.37,64.79,62.95,64.56,1677779.0,64.257451247166
2017-09-01,63.22,64.56,62.8,64.36,1516664.0,64.05838851096
2017-08-31,63.28,63.85,62.5,63.07,1369366.0,62.774433862433995
2017-08-30,62.52,63.64,62.36,62.92,1354364.0,62.62513681028001
2017-08-29,62.21,63.08,60.91,62.77,1872951.0,62.475839758125
2017-08-28,63.69,64.18,61.86,62.69,2349009.0,62.396214663643
2017-08-25,62.0,65.22,61.32,62.68,5543422.0,62.386261526833
2017-08-24,62.29,63.99,59.92,60.54,12449826.0,60.256290249433
2017-08-23,52.02,52.95,51.09,51.89,2978428.0,51.646826908541
2017-08-22,52.94,53.42,51.84,52.15,1743713.0,51.905608465608
2017-08-21,53.69,53.99,52.45,52.82,1468518.0,52.572468631897
2017-08-18,53.76,54.43,52.73,53.59,1165374.0,53.338860166288995
2017-08-17,53.71,56.53,52.51,54.1,2017485.0,53.846470143613004
2017-08-16,53.93,54.32,52.83,53.89,1355422.0,53.637454270597
2017-08-15,56.16,56.16,53.15,53.57,2552290.0,53.318953892668
2017-08-14,57.11,57.6,56.11,56.3,1207845.0,56.036160241875
2017-08-11,55.42,57.19,55.11,56.54,1474752.0,56.275035525320995
2017-08-10,59.45,59.55,54.9,55.65,2134682.0,55.389206349206
2017-08-09,61.42,62.21,59.58,60.25,1546970.0,59.967649281934996
2017-08-08,61.74,62.84,60.69,62.0,1181293.0,61.709448223734
2017-08-07,60.89,62.03,60.05,61.97,868176.0,61.679588813303006
2017-08-04,60.1,61.2,60.1,60.86,1044560.0,60.574790627362006
2017-08-03,58.61,60.351000000000006,58.53,59.93,884413.0,59.649148904006005
2017-08-02,60.91,61.3,58.63,58.88,794283.0,58.604069538927
2017-08-01,61.18,61.72,60.09,61.39,716056.0,61.102306878307
2017-07-31,61.63,61.63,60.47,61.16,647157.0,60.87338473167
2017-07-28,62.25,62.58,60.91,61.51,691744.0,61.22174452003
2017-07-27,61.0,62.4,60.71,62.33,1151262.0,62.037901738472996
2017-07-26,61.26,61.35,59.67,60.89,1012425.0,60.604650037793
2017-07-25,58.52,61.71,58.495,61.47,2001156.0,60.872023493842
2017-07-24,58.52,59.1392,57.49,58.27,870357.0,57.703152903631
2017-07-21,58.92,59.09,58.16,58.75,709095.0,58.178483492162
2017-07-20,58.73,59.73,58.02,58.78,1069736.0,58.208191653946
2017-07-19,57.64,58.79,57.13,58.42,1083048.0,57.851693712547
2017-07-18,58.59,59.09,56.2,57.11,1757961.0,56.554437314679
2017-07-17,59.66,60.68,58.4,58.56,1861101.0,57.990331800868
2017-07-14,60.64,61.35,59.8401,59.88,1694713.0,59.297490919331
2017-07-13,59.38,60.77,59.22,60.52,1311925.0,59.931265037373
2017-07-12,60.26,60.67,59.03,59.09,1151632.0,58.515175992372
2017-07-11,60.98,60.98,59.02,60.11,1688446.0,59.525253493002005
2017-07-10,61.83,61.83,60.09,60.93,1161350.0,60.337276581744
2017-07-07,61.48,62.25,60.78,62.04,1283904.0,61.436478567723
2017-07-06,63.62,64.085,61.31,61.57,1451611.0,60.971050699786
2017-07-05,63.42,64.29,62.36,64.09,1218230.0,63.466536289578
2017-07-03,63.93,64.39,62.59,63.54,1052428.0,62.92188665688501
2017-06-30,63.68,63.8,62.32,63.24,1288407.0,62.624805039053
2017-06-29,63.25,65.48,62.33,63.7,1608121.0,63.080330186396
2017-06-28,63.22,63.92,62.89,63.05,2039584.0,62.436653347759
2017-06-27,60.25,63.71,60.25,63.0,2422100.0,62.387139744787
2017-06-26,58.42,60.49,58.041000000000004,60.25,1150256.0,59.663891581323995
2017-06-23,56.69,58.48,55.74,58.41,2080196.0,57.841790991952
2017-06-22,56.33,57.43,55.57,56.98,1311843.0,56.425701946952
