Date,Open,High,Low,Close,Volume,AdjClose
2017-09-12,10.245,10.26,10.24,10.25,9704143.0,10.25
2017-09-11,10.23,10.25,10.23,10.24,12690306.0,10.24
2017-09-08,10.24,10.24,10.23,10.24,10269583.0,10.24
2017-09-07,10.24,10.25,10.23,10.23,28656426.0,10.23
2017-09-06,10.235,10.25,10.23,10.24,19754423.0,10.24
2017-09-05,10.22,10.25,10.22,10.25,11884364.0,10.25
2017-09-01,10.22,10.23,10.21,10.22,4890769.0,10.22
2017-08-31,10.21,10.22,10.21,10.215,9784828.0,10.215
2017-08-30,10.22,10.23,10.21,10.22,7391077.0,10.22
2017-08-29,10.21,10.22,10.2,10.22,4738691.0,10.22
2017-08-28,10.21,10.22,10.21,10.22,3766246.0,10.22
2017-08-25,10.19,10.22,10.19,10.22,7852485.0,10.22
2017-08-24,10.19,10.21,10.19,10.19,10082547.0,10.19
2017-08-23,10.19,10.2,10.17,10.18,15301818.0,10.18
2017-08-22,10.19,10.2,10.18,10.2,6942934.0,10.2
2017-08-21,10.19,10.2,10.18,10.19,6150382.0,10.19
2017-08-18,10.19,10.2,10.18,10.19,6032584.0,10.19
2017-08-17,10.2,10.22,10.19,10.2,5691035.0,10.2
2017-08-16,10.2,10.22,10.19,10.22,8085215.0,10.22
2017-08-15,10.2,10.21,10.19,10.19,11154509.0,10.19
2017-08-14,10.15,10.22,10.15,10.21,8453018.0,10.21
2017-08-11,10.16,10.17,10.14,10.14,19393646.0,10.14
2017-08-10,10.16,10.18,10.155,10.17,17701041.0,10.17
2017-08-09,10.18,10.19,10.16,10.16,20379147.0,10.16
2017-08-08,10.18,10.19,10.17,10.19,3009145.0,10.19
2017-08-07,10.185,10.2,10.17,10.175,9243232.0,10.175
2017-08-04,10.19,10.2,10.18,10.185,4379674.0,10.185
2017-08-03,10.18,10.2,10.17,10.18,12607163.0,10.18
2017-08-02,10.17,10.17,10.14,10.145,9115745.0,10.145
2017-08-01,10.14,10.18,10.14,10.18,10325538.0,10.18
2017-07-31,10.14,10.16,10.14,10.15,8379771.0,10.15
2017-07-28,10.16,10.17,10.13,10.14,10430292.0,10.14
2017-07-27,10.15,10.18,10.13,10.18,10696845.0,10.18
2017-07-26,10.13,10.14,10.11,10.14,5200806.0,10.14
2017-07-25,10.11,10.14,10.1,10.12,9097498.0,10.12
2017-07-24,10.09,10.12,10.09,10.1,6193249.0,10.1
2017-07-21,10.09,10.11,10.08,10.09,6628271.0,10.09
2017-07-20,10.1,10.12,10.08,10.1,7497943.0,10.1
2017-07-19,10.1,10.11,10.095,10.11,7467655.0,10.11
2017-07-18,10.1,10.12,10.09,10.1,5690775.0,10.1
2017-07-17,10.09,10.12,10.09,10.11,8784831.0,10.11
2017-07-14,10.13,10.13,10.08,10.085,9384233.0,10.085
2017-07-13,10.09,10.13,10.09,10.11,8450463.0,10.11
2017-07-12,10.1,10.1,10.08,10.1,9833136.0,10.1
2017-07-11,10.08,10.1,10.07,10.08,14608627.0,10.08
2017-07-10,10.08,10.105,10.07,10.09,11052046.0,10.09
2017-07-07,10.08,10.085,10.07,10.08,16630173.0,10.08
2017-07-06,10.08,10.1,10.07,10.08,23499224.0,10.08
2017-07-05,10.105,10.11,10.07,10.09,16291432.0,10.09
2017-07-03,10.07,10.15,10.07,10.15,13408340.0,10.15
2017-06-30,10.08,10.09,10.06,10.07,45575268.0,10.07
2017-06-29,10.13,10.14,10.08,10.08,140787591.0,10.08
2017-06-28,9.2,9.97,9.16,9.94,17638510.0,9.94
2017-06-27,9.23,9.27,9.15,9.16,3957263.0,9.16
2017-06-26,9.27,9.3,9.15,9.26,5056426.0,9.26
2017-06-23,9.19,9.305,9.08,9.29,6976182.0,9.29
2017-06-22,9.15,9.36,9.05,9.2,15238304.0,9.2
2017-06-21,8.67,8.73,8.55,8.66,6586043.0,8.66
2017-06-20,8.83,8.86,8.72,8.75,5656173.0,8.630410022779
2017-06-19,8.82,8.92,8.715,8.84,5869368.0,8.7191799544419
2017-06-16,8.95,8.99,8.75,8.8,8262715.0,8.6797266514806
2017-06-15,8.96,9.04,8.95,8.99,5018945.0,8.8671298405467
2017-06-14,9.12,9.16,8.92,8.98,5280276.0,8.857266514806401
2017-06-13,9.23,9.26,9.11,9.15,3694831.0,9.024943052391802
2017-06-12,9.24,9.39,9.2,9.25,5155477.0,9.123576309795
2017-06-09,9.27,9.27,9.11,9.25,4115111.0,9.123576309795
2017-06-08,9.23,9.31,9.1901,9.22,3920135.0,9.093986332574
