Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,101.97,102.06,98.135,98.96,2059599.0,98.96
2018-03-26,99.52,101.81,99.27,101.45,1860912.0,101.45
2018-03-23,101.88,102.16,97.5,97.71,2680825.0,97.71
2018-03-22,105.53,105.72,101.36,101.5,2075819.0,101.5
2018-03-21,106.41,108.41,106.15,106.81,1932985.0,106.81
2018-03-20,106.43,106.67,105.61,106.15,995257.0,106.15
2018-03-19,106.76,107.12,104.77,105.83,1119161.0,105.83
2018-03-16,106.32,107.63,106.13,106.87,2674320.0,106.87
2018-03-15,106.0,106.84,105.46,105.9,1626118.0,105.9
2018-03-14,107.71,107.71,105.52,105.78,1348055.0,105.78
2018-03-13,109.5,109.82,107.22,107.33,2174327.0,107.33
2018-03-12,110.0,110.33,108.47,108.83,1714888.0,108.83
2018-03-09,107.05,110.24,106.76,109.83,2441689.0,109.83
2018-03-08,105.92,106.59,104.81,106.18,2239426.0,106.18
2018-03-07,104.19,105.75,104.14,105.35,1489582.0,105.35
2018-03-06,106.27,106.505,105.11,105.46,2127384.0,105.46
2018-03-05,103.65,106.58,103.405,105.85,2290359.0,105.85
2018-03-02,103.92,104.5,101.64,104.28,2707349.0,104.28
2018-03-01,106.35,106.915,103.91,104.58,2694378.0,104.58
2018-02-28,107.27,108.99,106.09,106.15,2951336.0,106.15
2018-02-27,107.25,108.8,106.84,107.17,3261430.0,107.17
2018-02-26,105.0,106.85,104.6,106.82,1351010.0,106.82
2018-02-23,103.21,104.59,103.05,104.5,884043.0,104.5
2018-02-22,104.59,105.31,102.48,102.72,1371344.0,102.72
2018-02-21,103.94,105.89,103.35,103.96,1228283.0,103.96
2018-02-20,103.99,105.22,103.32,103.79,1166552.0,103.79
2018-02-16,103.04,105.37,101.95,104.55,1842808.0,104.55
2018-02-15,104.5,105.175,103.05,103.96,1333835.0,103.96
2018-02-14,100.82,104.09,100.66,103.94,1248027.0,103.94
2018-02-13,101.07,101.99,100.37,101.27,955542.0,101.27
2018-02-12,100.77,102.82,100.12,101.78,1324814.0,101.78
2018-02-09,100.18,100.87,96.79,100.01,1775069.0,100.01
2018-02-08,103.66,103.92,98.49,98.54,2176305.0,98.54
