Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,26.36,26.575,25.36,25.51,4698744.0,25.51
2018-03-26,26.05,26.255,25.7,26.21,5642659.0,26.21
2018-03-23,26.49,26.72,25.7,25.7,5257934.0,25.7
2018-03-22,26.63,26.9,26.5,26.6,5427416.0,26.6
2018-03-21,26.49,27.13,26.46,26.93,3517246.0,26.93
2018-03-20,26.74,26.85,26.26,26.52,4973990.0,26.52
2018-03-19,27.15,27.3,26.26,26.67,10643203.0,26.67
2018-03-16,27.66,27.9,27.36,27.37,6609646.0,27.37
2018-03-15,27.33,27.57,26.89,27.54,4074383.0,27.54
2018-03-14,27.52,27.67,27.235,27.37,4909340.0,27.37
2018-03-13,27.8,27.915,27.28,27.34,4931252.0,27.34
2018-03-12,27.86,28.05,27.48,27.76,3729207.0,27.76
2018-03-09,27.72,27.87,27.52,27.85,5308471.0,27.85
2018-03-08,27.31,27.675,27.155,27.63,3685952.0,27.63
2018-03-07,26.93,27.28,26.8033,27.24,2663841.0,27.24
2018-03-06,27.19,27.24,26.9,26.96,3507781.0,26.96
2018-03-05,26.72,27.1375,26.45,27.09,5602346.0,27.09
2018-03-02,26.25,26.98,26.145,26.91,4289642.0,26.91
2018-03-01,26.34,26.66,25.99,26.51,6137871.0,26.51
2018-02-28,26.47,26.92,26.27,26.29,6054277.0,26.29
2018-02-27,27.32,27.4,26.175,26.32,7148102.0,26.32
2018-02-26,27.4,27.52,27.0,27.23,4436979.0,27.23
2018-02-23,27.23,27.43,27.04,27.43,3382410.0,27.43
2018-02-22,27.08,27.46,26.95,26.98,3384057.0,26.98
2018-02-21,27.08,27.56,26.9,27.03,5537227.0,27.03
2018-02-20,27.43,27.99,26.9,27.02,4786253.0,27.02
2018-02-16,27.75,27.795,27.4,27.55,7337817.0,27.55
2018-02-15,27.17,27.75,27.04,27.69,5114939.0,27.69
2018-02-14,26.36,27.17,26.31,27.02,6422595.0,27.02
2018-02-13,26.1,26.64,25.79,26.58,4825735.0,26.58
2018-02-12,26.11,26.41,25.84,26.1,9007529.0,26.1
2018-02-09,25.97,26.22,24.94,25.89,9919280.0,25.89
2018-02-08,26.61,26.79,25.59,25.59,7198798.0,25.59
2018-02-07,27.08,27.41,26.55,26.58,5493515.0,26.58
2018-02-06,26.47,27.1,25.93,27.08,9829001.0,27.08
2018-02-05,26.89,28.01,26.77,26.87,10800357.0,26.87
2018-02-02,27.16,27.41,26.705,27.025,8309555.0,27.025
2018-02-01,26.35,28.09,25.85,27.37,13717944.0,27.37
2018-01-31,26.59,27.31,26.51,27.215,7616614.0,27.215
2018-01-30,27.06,27.15,26.58,26.62,4888276.0,26.62
