Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,74.03,75.05,73.35,74.23,1850626.0,74.23
2018-03-26,73.0,74.25,72.53,73.91,2568672.0,73.91
2018-03-23,74.58,74.58,72.07,72.16,3130090.0,72.16
2018-03-22,75.56,76.0899,74.17,74.39,2618994.0,74.39
2018-03-21,76.86,77.06,75.8,76.05,1949857.0,76.05
2018-03-20,79.59,79.83,76.8,76.88,2524598.0,76.88
2018-03-19,79.98,80.27,79.105,79.47,1502153.0,79.47
2018-03-16,81.68,81.78,79.13,80.19,3304320.0,80.19
2018-03-15,80.9,81.5,80.9,81.41,1884260.0,81.41
2018-03-14,80.81,81.22,80.31,81.1,1546542.0,81.1
2018-03-13,81.41,81.41,80.28,80.46,1470872.0,80.46
2018-03-12,81.25,81.96,80.57,80.96,1534799.0,80.96
2018-03-09,80.76,81.14,80.31,81.09,1658607.0,81.09
2018-03-08,78.69,80.69,78.54,80.55,2060620.0,80.55
2018-03-07,78.01,78.46,77.74,78.26,1151147.0,78.26
2018-03-06,78.34,78.91,77.82,78.79,1931208.0,78.79
2018-03-05,78.09,78.56,76.88,78.03,2339387.0,78.03
2018-03-02,76.62,78.4,76.311,78.34,1982352.0,78.34
2018-03-01,76.55,77.52,75.8575,76.84,2203112.0,76.84
2018-02-28,77.02,77.07,75.97,76.25,1893142.0,76.25
2018-02-27,77.78,78.165,76.57,76.58,1297336.0,76.58
2018-02-26,78.78,79.48,76.73,77.93,1637331.0,77.93
2018-02-23,78.64,78.97,77.46,78.66,1345152.0,78.66
2018-02-22,78.95,79.74,78.0,78.45,2029305.0,78.45
2018-02-21,79.64,80.36,78.72,78.75,1793507.0,78.75
2018-02-20,81.06,81.27,79.71,79.75,1672217.0,79.75
2018-02-16,81.71,82.29,80.89,81.47,1704019.0,81.47
2018-02-15,80.49,81.86,79.15,81.74,2083185.0,81.74
2018-02-14,77.25,80.69,77.0,80.45,3885387.0,80.45
2018-02-13,75.62,76.09,74.11,75.7,1669344.0,75.7
2018-02-12,75.53,76.68,75.16,75.77,1979137.0,75.77
2018-02-09,74.84,75.27,72.71,74.21,2401639.0,74.21
2018-02-08,76.79,76.89,74.5,74.51,2518932.0,74.51
2018-02-07,77.61,78.21,75.79,76.16,2520015.0,76.16
2018-02-06,76.98,78.4797,76.76,77.98,2207008.0,77.98
2018-02-05,80.44,81.58,77.35,77.68,1755049.0,77.68
2018-02-02,82.96,83.09,80.8,81.06,1231155.0,81.06
2018-02-01,83.85,83.91,83.11,83.55,759700.0,83.55
2018-01-31,83.69,84.18,83.18,84.02,989431.0,84.02
2018-01-30,83.45,84.22,83.43,83.48,880695.0,83.48
2018-01-29,84.13,84.63,83.47,83.48,789245.0,83.48
2018-01-26,83.67,84.44,83.25,84.39,949810.0,84.39
2018-01-25,83.9,84.17,83.3,83.79,904200.0,83.79
2018-01-24,83.58,84.1,83.16,83.89,883975.0,83.89
2018-01-23,84.08,84.09,83.19,83.26,1039666.0,83.26
2018-01-22,83.71,84.12,83.36,84.06,1317191.0,84.06
2018-01-19,83.51,83.9685,83.2542,83.77,783225.0,83.77
2018-01-18,84.66,84.66,83.1,83.25,1152286.0,83.25
2018-01-17,85.0,85.37,84.5,84.68,1087782.0,84.68
2018-01-16,85.04,85.08,84.39,84.72,1823644.0,84.72
2018-01-12,84.89,85.1733,84.5,84.88,1181251.0,84.88
2018-01-11,85.44,85.86,84.37,84.49,883668.0,84.49
2018-01-10,83.79,85.76,83.69,85.21,1760318.0,85.21
2018-01-09,83.88,84.23,82.56,83.63,1435252.0,83.63
2018-01-08,82.86,84.23,82.56,83.82,1587649.0,83.82
2018-01-05,82.43,83.07,82.05,82.93,1196347.0,82.93
2018-01-04,81.82,82.45,81.58,82.0,952041.0,82.0
2018-01-03,81.91,82.3,81.25,81.45,1329346.0,81.45
2018-01-02,82.24,82.61,81.64,82.24,1129690.0,82.24
2017-12-29,82.21,82.55,82.01,82.07,794975.0,82.07
2017-12-28,81.85,82.15,81.43,82.03,660000.0,82.03
2017-12-27,82.02,82.36,81.64,81.68,666420.0,81.68
2017-12-26,81.19,81.93,81.15,81.82,558911.0,81.82
2017-12-22,81.29,81.545,80.88,81.1,802233.0,81.1
2017-12-21,80.82,81.56,80.58,81.18,1497938.0,81.18
2017-12-20,80.61,80.8462,79.54,80.59,1103952.0,80.59
2017-12-19,81.12,81.47,80.63,80.7,1521883.0,80.7
2017-12-18,81.28,81.43,80.57,80.85,1508753.0,80.85
2017-12-15,79.78,80.55,79.44,79.8,2237892.0,79.8
2017-12-14,80.0,80.33,79.28,79.37,1059127.0,79.37
2017-12-13,80.11,80.23,79.21,79.5,928024.0,79.5
2017-12-12,80.76,81.05,80.09,80.15,952705.0,80.15
2017-12-11,80.0,81.02,79.695,80.79,976927.0,80.79
2017-12-08,79.94,80.18,79.02,80.14,976042.0,80.14
2017-12-07,80.81,80.81,79.86,79.95,808048.0,79.95
2017-12-06,80.57,81.38,80.36,81.07,1340999.0,81.07
2017-12-05,80.7,81.05,79.69,80.32,1236633.0,80.32
2017-12-04,79.56,81.0,79.01,80.51,1583063.0,80.51
2017-12-01,78.22,79.64,78.08,79.21,1476349.0,79.21
2017-11-30,76.51,78.22,76.28,78.1,2029803.0,78.1
2017-11-29,78.11,78.27,76.25,76.52,1999820.0,76.52
2017-11-28,79.36,79.67,78.37,78.58,1400156.0,78.58
2017-11-27,79.59,79.73,78.92,79.38,951535.0,79.38
2017-11-24,79.93,79.93,79.49,79.67,293980.0,79.67
2017-11-22,79.61,79.84,79.27,79.54,1469772.0,79.54
2017-11-21,79.41,80.1,79.2,79.32,872714.0,79.32
2017-11-20,79.48,79.67,79.05,79.2,793144.0,79.2
2017-11-17,79.24,79.97,78.88,79.68,745273.0,79.68
2017-11-16,78.79,80.1786,78.6001,79.49,1032881.0,79.49
2017-11-15,80.5,82.0,78.7,78.79,1334427.0,78.79
2017-11-14,80.5,81.25,80.12,80.52,785829.0,80.52
2017-11-13,80.16,81.23,80.16,80.84,857369.0,80.84
2017-11-10,80.57,80.79,80.1,80.34,1142965.0,80.34
2017-11-09,79.43,80.78,79.43,80.53,892418.0,80.53
2017-11-07,78.64,79.46,78.64,78.88,1197310.0,78.88
2017-11-06,79.63,79.85,78.63,78.89,1221241.0,78.89
2017-11-03,79.15,80.31,79.15,79.76,1290328.0,79.76
2017-11-02,80.75,80.86,78.5,79.08,2508585.0,79.08
2017-11-01,81.59,83.32,80.25,81.04,2501713.0,81.04
2017-10-31,79.24,80.9601,79.12,80.87,2003336.0,80.87
2017-10-30,78.2,79.28,78.18,78.95,1307646.0,78.95
2017-10-27,80.15,80.27,78.1,78.43,2283512.0,78.43
2017-10-26,82.0,82.0,80.35,80.37,1996507.0,80.37
2017-10-25,83.44,83.44,81.21,82.25,1626578.0,82.25
2017-10-24,83.41,83.67,82.85,83.57,843401.0,83.57
2017-10-23,83.5,83.69,83.14,83.61,1207422.0,83.61
2017-10-20,83.86,83.86,82.99,83.25,1136030.0,83.25
2017-10-19,82.5,83.87,82.47,83.58,1640233.0,83.58
2017-10-18,82.99,83.06,82.46,82.6,1789293.0,82.6
2017-10-17,82.67,83.005,82.24,82.7,1351601.0,82.7
2017-10-16,83.42,83.87,82.51,82.75,1339116.0,82.75
2017-10-13,84.72,84.91,83.45,83.59,1230340.0,83.59
2017-10-12,83.92,84.39,83.78,84.35,791677.0,84.35
2017-10-11,83.95,84.28,83.69,84.14,1776660.0,84.14
2017-10-10,82.36,84.09,82.36,83.97,1658370.0,83.97
2017-10-09,83.15,83.39,82.08,82.26,1034409.0,82.26
2017-10-06,82.8,83.25,82.68,83.18,854905.0,83.18
2017-10-05,83.69,84.16,82.96,83.11,1383396.0,83.11
2017-10-04,81.93,83.72,81.93,83.18,1168071.0,83.18
2017-10-03,82.23,82.64,81.7,81.92,998203.0,81.92
2017-10-02,81.77,82.215,81.42,82.02,2176509.0,82.02
2017-09-29,81.56,82.3,81.41,81.64,1604617.0,81.64
2017-09-28,81.69,81.99,80.92,81.35,1677838.0,81.35
2017-09-27,82.22,82.35,81.57,81.86,1457604.0,81.86
2017-09-26,82.19,82.87,81.94,82.35,1163350.0,82.35
2017-09-25,82.83,83.0,81.9101,82.22,2201854.0,82.22
2017-09-22,82.81,83.2,82.51,82.81,1464736.0,82.81
2017-09-21,83.55,83.55,82.14,82.81,1490953.0,82.81
