Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,97.39,97.89,96.13,96.54,1874386.0,96.54
2018-03-26,96.67,97.83,96.27,97.79,2363801.0,97.79
2018-03-23,95.78,96.85,95.25,95.94,2538912.0,95.94
2018-03-22,96.57,97.485,95.11,95.16,1266315.0,95.16
2018-03-21,97.92,98.92,97.02,97.04,1248058.0,97.04
2018-03-20,97.53,98.5,97.37,97.77,1548370.0,97.77
2018-03-19,97.28,98.06,96.46,97.62,2636821.0,97.62
2018-03-16,98.18,100.1499,95.0,97.51,8236567.0,97.51
2018-03-15,101.45,103.35,101.19,102.71,1988313.0,102.71
2018-03-14,101.42,102.17,100.57,101.02,1230769.0,101.02
2018-03-13,100.71,102.51,100.71,101.29,1332547.0,101.29
2018-03-12,101.75,102.75,99.78,100.42,1329498.0,100.42
2018-03-09,102.24,102.55,100.56,101.76,971186.0,101.76
2018-03-08,100.76,102.13,100.42,102.09,1069772.0,102.09
2018-03-07,100.6,100.99,99.41,100.58,993886.0,100.58
2018-03-06,101.0,101.37,99.8,101.35,960564.0,101.35
2018-03-05,100.97,101.62,100.11,101.03,979661.0,101.03
2018-03-02,100.58,101.96,100.04,101.7,1195094.0,101.7
2018-03-01,101.02,102.05,100.18,101.44,931537.0,101.44
2018-02-28,102.65,103.58,101.01,101.04,998282.0,101.04
2018-02-27,103.99,105.24,102.4,102.4,651702.0,102.4
2018-02-26,104.37,104.48,103.18,103.71,958308.0,103.71
2018-02-23,102.2,104.46,102.1,104.17,1233610.0,104.17
2018-02-22,101.61,102.97,101.5,101.79,933133.0,101.79
2018-02-21,101.05,103.13,101.05,101.5,753482.0,101.5
2018-02-20,101.09,101.91,100.26,100.7,1260363.0,100.7
2018-02-16,101.21,102.6,101.06,101.47,1306896.0,101.47
2018-02-15,103.35,103.39,101.1,101.69,1192499.0,101.69
2018-02-14,100.67,104.26,100.35,103.11,1254853.0,103.11
2018-02-13,100.63,101.32,100.39,100.96,888470.0,100.96
2018-02-12,102.17,102.59,99.87,100.73,1252223.0,100.73
2018-02-09,99.99,102.54,98.3,101.88,1769143.0,101.88
2018-02-08,103.22,103.79,99.61,99.62,1200309.0,99.62
2018-02-07,102.92,105.4,102.175,103.08,974004.0,103.08
2018-02-06,98.78,103.38,98.11,103.05,2583677.0,103.05
2018-02-05,104.54,105.9,100.67,100.74,1533214.0,100.74
2018-02-02,106.0,107.16,104.87,105.51,1580213.0,105.51
2018-02-01,106.09,107.21,105.3,106.85,2130833.0,106.85
2018-01-31,108.84,109.26,106.28,106.65,1050183.0,106.65
2018-01-30,108.73,109.09,107.68,108.52,789114.0,108.52
2018-01-29,109.11,109.65,108.6489,109.3,515586.0,109.3
2018-01-26,110.0,110.0,108.07,109.71,732628.0,109.71
2018-01-25,109.08,109.48,108.42,109.13,856195.0,109.13
2018-01-24,108.87,111.44,108.56,109.12,1143549.0,109.12
2018-01-23,109.0,109.765,108.25,108.86,1152628.0,108.86
2018-01-22,108.02,109.96,107.85,109.88,1282129.0,109.88
2018-01-19,107.65,108.5,107.18,107.77,2529570.0,107.77
2018-01-18,108.83,110.12,107.67,108.05,1911559.0,108.05
2018-01-17,106.3,110.17,105.13,108.99,2739248.0,108.99
2018-01-16,108.99,109.49,106.95,107.58,1482955.0,107.58
2018-01-12,108.0,108.9,107.47,108.46,1119697.0,108.46
2018-01-11,106.34,107.79,105.59,107.46,1117065.0,107.46
2018-01-10,105.94,106.65,104.9,105.84,1809715.0,105.84
2018-01-09,106.72,107.02,105.66,106.54,767191.0,106.54
2018-01-08,106.99,107.45,105.71,106.84,2422849.0,106.84
2018-01-05,107.29,107.435,106.44,106.57,1140951.0,106.57
2018-01-04,106.35,106.97,105.14,106.75,1315279.0,106.75
2018-01-03,106.99,108.19,106.71,107.03,4645946.0,107.03
2018-01-02,104.57,106.59,104.54,106.43,1627394.0,106.43
2017-12-29,104.74,104.86,103.52,103.95,795615.0,103.95
2017-12-28,105.23,105.23,103.42,104.22,760259.0,104.22
2017-12-27,105.29,105.7,104.7,105.24,968568.0,105.24
2017-12-26,103.0,105.42,102.995,105.2,1084285.0,105.2
2017-12-22,102.43,102.98,101.71,102.84,849719.0,102.84
2017-12-21,100.88,103.07,100.3,102.46,1118431.0,102.46
2017-12-20,100.86,101.16,99.8075,100.05,811671.0,100.05
2017-12-19,100.24,101.0,99.75,100.42,1706301.0,100.42
2017-12-18,100.9,101.93,100.01,100.61,1965720.0,100.61
2017-12-15,100.36,101.88,99.68,101.34,2486294.0,101.34
2017-12-14,97.57,100.8,97.52,99.34,2405264.0,99.34
2017-12-13,95.4,96.66,95.07,96.1,748582.0,96.1
2017-12-12,96.22,96.84,95.5,95.5,1049899.0,95.5
2017-12-11,96.1,96.8799,95.78,96.34,1260333.0,96.34
2017-12-08,95.54,96.55,95.37,95.75,1296484.0,95.75
2017-12-07,95.32,96.94,95.29,95.52,1374338.0,95.52
2017-12-06,95.42,96.22,94.88,95.19,1119816.0,95.19
2017-12-05,95.41,95.49,93.95,95.02,870151.0,95.02
2017-12-04,97.63,98.64,95.31,95.54,1986261.0,95.54
2017-12-01,95.13,98.58,95.03,97.25,3090091.0,97.25
2017-11-30,91.86,94.83,91.26,94.5,2835839.0,94.5
2017-11-29,92.7,94.685,90.55,92.55,3331047.0,92.55
2017-11-28,93.38,94.7,92.24,94.04,3318850.0,94.04
2017-11-27,93.5,94.14,92.51,93.29,2207401.0,93.29
2017-11-24,94.3,94.74,92.95,93.04,711346.0,93.04
2017-11-22,93.55,94.47,93.4978,94.09,937932.0,94.09
2017-11-21,93.0,94.06,91.9301,93.54,1648581.0,93.54
2017-11-20,94.8,95.44,94.0,94.33,1143835.0,94.33
2017-11-17,93.3,95.35,93.07,94.83,1535653.0,94.83
2017-11-16,93.0,93.55,92.32,92.94,1331361.0,92.94
2017-11-15,93.38,93.39,92.39,92.51,1105643.0,92.51
2017-11-14,92.14,93.83,92.0373,93.55,767970.0,93.55
2017-11-13,91.54,93.47,91.47,93.08,1130316.0,93.08
2017-11-10,91.0,92.1299,90.46,91.57,1813582.0,91.57
2017-11-09,90.59,91.29,90.47,91.0,1549088.0,91.0
2017-11-07,92.93,93.165,91.81,92.35,933370.0,92.35
2017-11-06,92.62,93.55,92.5,92.99,740638.0,92.99
2017-11-03,93.0,93.23,92.42,92.56,1867828.0,92.56
2017-11-02,94.03,94.18,92.57,93.01,891677.0,93.01
2017-11-01,94.3,95.31,93.84,93.98,1207169.0,93.98
2017-10-31,93.41,93.96,92.92,93.62,677499.0,93.62
2017-10-30,93.84,94.0,92.97,93.55,818322.0,93.55
2017-10-27,93.83,94.11,93.0,94.05,1009286.0,94.05
2017-10-26,93.63,94.62,93.52,94.1,575909.0,94.1
2017-10-25,94.0,94.14,92.7,93.48,666585.0,93.48
2017-10-24,93.6,94.06,93.08,93.95,851194.0,93.95
2017-10-23,94.82,95.04,93.55,93.67,651925.0,93.67
2017-10-20,93.93,94.64,93.93,94.54,1124955.0,94.54
2017-10-19,94.35,94.68,93.0,93.6,818272.0,93.6
2017-10-18,95.1,95.19,93.71,94.42,1141149.0,94.42
2017-10-17,94.71,95.2,94.175,94.94,1658859.0,94.94
2017-10-16,94.62,95.39,93.88,94.69,1300509.0,94.69
2017-10-13,92.24,94.93,92.24,94.4,1794124.0,94.4
2017-10-12,92.91,93.065,91.85,92.08,1376163.0,92.08
2017-10-11,92.78,93.77,92.611,93.27,1107433.0,93.27
2017-10-10,93.47,94.25,92.77,92.87,797288.0,92.87
2017-10-09,94.62,94.73,92.22,93.44,1516893.0,93.44
2017-10-06,94.05,95.25,93.68,94.61,1297205.0,94.61
2017-10-05,94.41,94.83,93.76,94.14,1067071.0,94.14
2017-10-04,93.09,95.28,92.67,94.0,2280448.0,94.0
2017-10-03,92.87,93.9,92.38,93.02,1704402.0,93.02
2017-10-02,92.4,93.45,91.5,92.7,1743417.0,92.7
2017-09-29,91.49,92.54,91.05,91.78,1867449.0,91.78
2017-09-28,90.24,91.02,89.75,90.94,1193870.0,90.94
2017-09-27,89.89,90.365,89.43,89.87,929736.0,89.87
2017-09-26,88.04,89.92,88.04,89.66,1148471.0,89.66
2017-09-25,87.94,88.58,87.87,88.03,1577594.0,88.03
2017-09-22,88.52,88.93,86.15,87.84,2893170.0,87.84
2017-09-21,90.57,90.92,89.7,89.85,1035165.0,89.85
2017-09-20,90.4,90.45,89.03,89.93,1156214.0,89.93
2017-09-19,89.21,91.08,88.67,90.32,1928388.0,90.32
2017-09-18,90.8,91.0,89.3,89.47,1427194.0,88.977432283638
2017-09-15,90.84,90.84,89.07,90.31,3926553.0,89.812807751597
2017-09-14,93.81,94.13,89.9,90.95,4538665.0,90.449284298613
2017-09-13,96.55,97.09,95.49,95.51,2381576.0,94.984179696102
2017-09-12,95.96,97.1,95.54,96.48,1426957.0,95.94883946267299
2017-09-11,93.59,95.88,93.11,95.6,1326411.0,95.07368421052601
2017-09-08,93.32,93.89,92.5,93.16,1402934.0,92.647117375028
2017-09-07,93.81,93.97,93.11,93.51,2011784.0,92.995190486677
2017-09-06,92.44,94.28,92.3908,93.48,1716618.0,92.96535564853599
