Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,84.66,84.66,82.76,83.17,670674.0,83.17
2018-03-26,82.37,84.29,82.11,84.12,805934.0,84.12
2018-03-23,84.11,84.23,80.78,80.91,533587.0,80.91
2018-03-22,85.05,85.65,83.715,83.83,530579.0,83.83
2018-03-21,86.17,86.92,85.92,86.06,634757.0,86.06
2018-03-20,85.85,86.32,85.56,86.03,473122.0,86.03
2018-03-19,85.66,85.66,84.55,85.44,701739.0,85.44
2018-03-16,85.47,85.98,85.2,85.59,1335753.0,85.59
2018-03-15,85.42,85.78,85.14,85.54,555832.0,85.54
2018-03-14,86.84,86.84,85.06,85.24,488746.0,85.24
2018-03-13,87.53,87.53,86.07,86.38,624024.0,86.38
2018-03-12,87.15,87.74,86.71,87.02,528684.0,87.02
2018-03-09,86.06,87.4,85.9,87.34,572804.0,87.34
2018-03-08,85.13,85.66,84.0525,85.62,570387.0,85.62
2018-03-07,83.91,85.08,83.78,84.84,504201.0,84.84
2018-03-06,84.22,84.85,83.63,84.72,686634.0,84.72
2018-03-05,82.39,84.61,82.15,84.11,794142.0,84.11
2018-03-02,82.35,83.18,81.56,82.96,832715.0,82.96
2018-03-01,85.45,85.61,82.74,83.17,816430.0,83.17
2018-02-28,87.41,87.6,85.34,85.37,505117.0,85.37
2018-02-27,87.5,88.16,86.99,86.99,489744.0,86.99
2018-02-26,86.79,87.62,86.35,87.6,428085.0,87.6
2018-02-23,85.86,86.55,85.68,86.51,320850.0,86.51
2018-02-22,86.5,86.925,85.58,85.64,619768.0,85.64
2018-02-21,86.2,87.55,86.06,86.17,565098.0,86.17
2018-02-20,86.58,87.16,86.05,86.38,600269.0,86.38
2018-02-16,85.8,87.01,85.76,86.65,694474.0,86.65
2018-02-15,86.91,86.95,85.64,86.12,518399.0,86.12
2018-02-14,83.71,86.36,83.63,86.3,771720.0,86.3
2018-02-13,82.84,84.33,82.71,84.04,619199.0,84.04
2018-02-12,83.26,84.31,82.32,83.53,962638.0,83.53
2018-02-09,81.55,83.12,81.04,82.64,1214850.0,82.64
2018-02-08,83.28,84.02,80.43,80.52,994359.0,80.52
2018-02-07,83.06,84.44,82.71,83.28,954067.0,83.28
2018-02-06,81.99,84.09,81.6,83.42,1343009.0,83.42
2018-02-05,87.43,87.9,83.55,83.96,1347968.0,83.96
2018-02-02,90.44,90.6499,88.19,88.21,764834.0,88.21
2018-02-01,90.86,91.395,90.27,90.74,995591.0,90.74
2018-01-31,91.3,91.75,90.46,90.85,850654.0,90.85
2018-01-30,91.77,92.46,91.18,91.33,588824.0,91.33
2018-01-29,93.22,93.595,92.33,92.34,519817.0,92.34
2018-01-26,92.9,93.45,92.45,93.32,524713.0,93.32
2018-01-25,93.26,93.26,92.47,92.71,278340.0,92.71
2018-01-24,93.14,93.32,92.53,93.07,491981.0,93.07
2018-01-23,92.48,92.96,92.23,92.77,304801.0,92.77
2018-01-22,92.43,92.8,92.02,92.78,391877.0,92.78
2018-01-19,91.99,92.46,91.57,92.15,507770.0,92.15
2018-01-18,92.31,92.62,91.5,91.66,517185.0,91.66
2018-01-17,91.82,92.56,91.5,92.03,550785.0,92.03
2018-01-16,92.32,92.64,91.06,91.42,689386.0,91.42
2018-01-12,93.15,93.15,91.645,92.25,727661.0,92.25
2018-01-11,93.11,93.34,92.62,92.86,618518.0,92.86
2018-01-10,92.26,93.2,92.02,92.76,364044.0,92.76
2018-01-09,91.71,92.73,91.71,92.07,478324.0,92.07
2018-01-08,91.2,91.4386,90.73,91.33,426519.0,91.33
2018-01-05,90.93,91.09,90.48,91.06,429110.0,91.06
2018-01-04,90.58,91.29,90.58,90.7,464831.0,90.7
2018-01-03,90.2,90.56,89.985,90.47,460192.0,90.47
2018-01-02,91.42,91.42,90.08,90.21,515355.0,90.21
2017-12-29,91.25,91.285,90.71,90.71,276592.0,90.71
2017-12-28,90.97,91.19,90.56,91.16,264923.0,91.16
2017-12-27,90.52,90.92,90.38,90.69,243757.0,90.69
2017-12-26,90.71,90.95,90.39,90.63,169480.0,90.63
2017-12-22,90.68,91.0,90.12,90.69,286038.0,90.69
2017-12-21,90.88,90.98,90.21,90.51,626164.0,90.51
2017-12-20,90.54,90.87,90.18,90.42,644276.0,90.42
2017-12-19,90.09,90.81,89.975,90.14,715756.0,90.14
2017-12-18,90.2,90.27,89.49,89.87,551646.0,89.87
2017-12-15,89.21,90.28,88.9,89.61,907965.0,89.61
2017-12-14,89.24,89.83,88.77,88.86,467533.0,88.86
2017-12-13,89.67,90.35,89.27,89.31,588259.0,89.31
2017-12-12,89.75,90.01,89.2,89.77,511179.0,89.77
2017-12-11,89.86,90.09,89.38,89.63,453479.0,89.63
2017-12-08,89.48,90.14,89.08,89.95,401200.0,89.95
2017-12-07,88.77,89.37,88.77,89.17,290518.0,89.17
2017-12-06,88.88,89.73,88.7,89.03,466828.0,89.03
2017-12-05,89.66,90.065,88.82,89.0,505986.0,89.0
2017-12-04,89.62,89.88,88.785,89.4,508806.0,89.4
2017-12-01,89.09,89.09,86.69,88.53,600544.0,88.53
2017-11-30,89.4,90.32,88.75,88.85,929673.0,88.85
2017-11-29,87.83,89.54,87.83,89.09,371351.0,89.09
2017-11-28,86.06,87.66,86.06,87.53,722374.0,87.53
2017-11-27,85.22,86.03,85.11,85.74,360957.0,85.74
2017-11-24,85.39,85.515,85.1,85.16,173616.0,85.16
2017-11-22,85.29,85.37,84.76,85.17,258987.0,85.17
2017-11-21,85.32,85.6,85.21,85.27,469124.0,85.27
2017-11-20,85.5,85.54,84.92,85.08,420200.0,85.08
2017-11-17,84.68,85.72,84.56,85.44,515987.0,85.44
2017-11-16,85.54,85.88,84.94,85.01,472821.0,85.01
2017-11-15,84.71,85.85,84.6,85.37,527686.0,85.37
2017-11-14,84.4,85.36,84.24,85.18,480648.0,85.18
2017-11-13,84.14,84.76,83.96,84.69,319371.0,84.69
2017-11-10,84.61,84.65,83.66,84.26,406694.0,84.26
2017-11-09,84.86,85.21,84.145,84.5,473983.0,84.5
2017-11-07,85.6,86.215,84.91,85.18,431128.0,85.18
2017-11-06,85.28,85.75,84.81,85.68,467227.0,85.68
2017-11-03,85.26,85.8099,85.19,85.42,416305.0,85.42
2017-11-02,84.75,85.73,84.64,85.54,424864.0,85.54
2017-11-01,84.54,85.07,84.27,84.76,376288.0,84.76
2017-10-31,84.85,84.92,84.0,84.13,388860.0,84.13
2017-10-30,84.6,85.12,84.44,84.52,399698.0,84.52
2017-10-27,84.96,85.39,84.36,84.96,423192.0,84.96
2017-10-26,84.96,85.49,82.05,85.08,822896.0,85.08
2017-10-25,84.48,86.5,83.11,84.6,668739.0,84.6
2017-10-24,83.69,84.07,83.44,83.88,381295.0,83.88
2017-10-23,83.28,83.74,82.89,83.7,393992.0,83.7
2017-10-20,83.38,83.48,82.92,83.12,458868.0,83.12
2017-10-19,81.86,82.55,81.78,82.53,225800.0,82.53
2017-10-18,82.15,82.43,82.025,82.16,306053.0,82.16
2017-10-17,82.1,82.245,81.59,81.89,371203.0,81.89
2017-10-16,81.59,82.08,81.59,82.05,225210.0,82.05
2017-10-13,81.57,81.92,81.28,81.61,304158.0,81.61
2017-10-12,81.1,81.62,80.91,81.53,399063.0,81.53
2017-10-11,80.82,81.1,80.28,81.1,349856.0,81.1
2017-10-10,80.53,80.97,80.48,80.93,359639.0,80.93
2017-10-09,80.97,81.075,80.43,80.53,189577.0,80.53
2017-10-06,81.01,81.17,80.4,80.81,326703.0,80.81
2017-10-05,80.22,81.01,80.22,80.81,218010.0,80.81
2017-10-04,80.31,80.6,80.15,80.32,263359.0,80.171185770751
2017-10-03,80.26,80.43,79.94,80.41,244348.0,80.261019021739
2017-10-02,80.17,80.51,79.79,80.33,361011.0,80.181167243083
2017-09-29,79.62,80.3,79.61,80.09,489049.0,79.941611907115
2017-09-28,79.75,79.84,79.4,79.74,273925.0,79.592260375494
2017-09-27,79.53,80.1,79.37,79.84,401239.0,79.692075098814
2017-09-26,78.95,79.13,78.54,78.87,420530.0,78.723872282609
2017-09-25,78.5,78.95,78.1575,78.92,418855.0,78.773779644269
2017-09-22,78.49,78.79,78.3,78.64,243549.0,78.494298418972
2017-09-21,78.57,78.91,78.375,78.65,329162.0,78.504279891304
2017-09-20,78.02,78.93,77.605,78.62,305463.0,78.474335474308
2017-09-19,77.55,78.0,77.42,77.89,385649.0,77.74568799407099
2017-09-18,77.39,77.62,77.06,77.53,273195.0,77.386354990119
2017-09-15,76.85,77.3,76.7,77.22,604488.0,77.07692934782601
2017-09-14,77.07,77.38,76.68,76.93,345308.0,76.787466650198
2017-09-13,77.45,77.47,76.97,77.16,368088.0,77.017040513834
2017-09-12,77.1,77.78,76.98,77.78,257431.0,77.635891798419
2017-09-11,76.77,77.16,76.1608,76.84,396785.0,76.69763339920901
2017-09-08,74.57,76.37,74.57,76.07,458540.0,75.929060029644
2017-09-07,76.06,76.06,74.48,74.68,401608.0,74.541635375494
2017-09-06,76.22,76.42,75.93,76.05,429265.0,75.90909708498
2017-09-05,76.99,76.99,75.78,75.87,425803.0,75.729430583004
2017-09-01,77.28,77.84,77.19,77.52,365005.0,77.376373517787
2017-08-31,77.13,77.195,76.71,76.97,516992.0,76.827392539526
2017-08-30,76.79,77.21,76.79,76.94,219774.0,76.79744812253
2017-08-29,76.59,76.985,76.56,76.81,319498.0,76.66768898221301
2017-08-28,77.71,77.71,77.11,77.21,355483.0,77.06694787549401
2017-08-25,77.45,77.84,77.3,77.7,279451.0,77.556040019763
2017-08-24,77.49,77.62,77.07,77.1,253726.0,76.957151679842
2017-08-23,76.92,77.67,76.92,77.3,303091.0,77.156781126482
2017-08-22,76.75,77.48,76.7,77.43,351382.0,77.286540266798
2017-08-21,76.6,76.78,76.25,76.52,389434.0,76.378226284585
2017-08-18,76.73,77.08,76.325,76.61,489551.0,76.46805953557299
2017-08-17,78.62,78.71,76.8,76.85,513037.0,76.707614871541
2017-08-16,79.21,79.49,78.69,78.75,348800.0,78.604094614625
2017-08-15,79.07,79.47,78.82,78.86,377633.0,78.71389081027701
2017-08-14,78.75,79.03,78.66,78.77,286705.0,78.624057559289
2017-08-11,78.54,78.7099,78.14,78.16,358671.0,78.015187747036
2017-08-10,78.65,79.04,78.4,78.45,555873.0,78.304650444664
2017-08-09,78.89,79.26,78.39,79.23,530309.0,79.083205286561
2017-08-08,78.95,79.9,78.95,79.27,394275.0,79.123131175889
2017-08-07,79.04,79.11,78.84,78.98,288064.0,78.833668478261
2017-08-04,79.09,79.32,78.98,79.07,213521.0,78.923501729249
2017-08-03,78.85,79.06,78.675,78.84,336325.0,78.693927865613
2017-08-02,78.98,79.35,78.68,78.93,440374.0,78.783761116601
2017-08-01,79.3,79.3,78.27,79.12,527067.0,78.973409090909
2017-07-31,79.17,79.32,78.8,78.97,373212.0,78.823687005929
2017-07-28,78.92,79.2,78.2,78.89,498855.0,78.743835227273
2017-07-27,79.37,79.37,77.94,78.8,540499.0,78.654001976285
2017-07-26,78.83,78.83,77.91,77.96,248539.0,77.815558300395
2017-07-25,79.32,79.355,78.72,78.79,394641.0,78.644020503953
2017-07-24,78.33,78.63,78.25,78.49,216787.0,78.34457633399201
2017-07-21,78.18,78.55,78.06,78.32,327326.0,78.174891304348
2017-07-20,78.33,78.74,78.165,78.24,209342.0,78.095039525692
2017-07-19,78.19,78.4,77.98,78.21,329584.0,78.065095108696
2017-07-18,77.96,78.4,77.96,78.09,543643.0,77.94531744071101
2017-07-17,78.14,78.45,77.67,78.37,290177.0,78.224798666008
2017-07-14,77.59,78.53,77.36,78.15,215508.0,78.005206274704
2017-07-13,77.77,78.4,77.67,78.23,252574.0,78.08505805336
2017-07-12,77.44,77.89,77.27,77.8,240956.0,77.655854743083
2017-07-11,77.86,77.98,77.32,77.45,259139.0,77.306503211462
2017-07-10,77.43,78.06,77.33,77.86,414896.0,77.715743577075
2017-07-07,77.04,77.86,76.88,77.64,331456.0,77.496151185771
2017-07-06,76.75,77.34,76.43,76.73,621907.0,76.587837203557
2017-07-05,77.49,77.49,76.671,76.8,456785.0,76.657707509881
2017-07-03,77.06,78.24,76.85,77.25,284529.0,77.106873764822
2017-06-30,76.57,76.88,76.03,76.5,663202.0,76.358263339921
