Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,88.06,88.375,84.9568,85.59,1073106.0,85.59
2018-03-26,86.71,87.68,85.88,87.61,1338277.0,87.61
2018-03-23,87.3,87.93,85.26,85.38,821245.0,85.38
2018-03-22,88.47,88.9,87.16,87.22,1145279.0,87.22
2018-03-21,90.02,90.285,89.15,89.17,732355.0,89.17
2018-03-20,89.35,90.155,89.27,89.93,928311.0,89.93
2018-03-19,89.71,89.965,88.42,89.18,801165.0,89.18
2018-03-16,90.0,90.61,89.51,89.97,1576314.0,89.97
2018-03-15,90.03,90.08,89.25,89.76,946251.0,89.76
2018-03-14,90.15,90.15,88.6,89.86,1605213.0,89.86
2018-03-13,90.48,90.64,89.32,89.51,996063.0,89.51
2018-03-12,90.69,90.74,89.78,89.95,1173552.0,89.95
2018-03-09,89.78,90.74,89.7,90.74,1158038.0,90.74
2018-03-08,89.56,89.85,88.51,89.22,809322.0,89.22
2018-03-07,88.02,89.49,88.02,89.39,916365.0,89.39
2018-03-06,89.03,89.72,88.28,88.91,1133327.0,88.91
2018-03-05,87.23,88.7012,86.94,88.47,1239195.0,88.47
2018-03-02,86.37,87.77,86.11,87.57,1202712.0,87.57
2018-03-01,87.77,88.53,86.54700000000001,87.22,1057700.0,87.22
2018-02-28,88.18,89.62,87.95,87.95,1247036.0,87.95
2018-02-27,88.71,89.14,87.78,87.99,1225167.0,87.99
2018-02-26,89.15,89.51,88.28,88.85,832221.0,88.85
2018-02-23,87.48,88.9,86.82,88.82,1500468.0,88.82
2018-02-22,87.05,88.08,86.52,86.8,859651.0,86.8
2018-02-21,86.89,88.09,86.54,86.56,743678.0,86.56
2018-02-20,86.81,87.76,86.65,87.01,772220.0,87.01
2018-02-16,86.21,87.67,85.59,87.08,1342900.0,87.08
2018-02-15,85.33,86.49,84.2,86.25,997371.0,86.25
2018-02-14,84.55,84.895,84.06,84.62,1417680.0,84.62
2018-02-13,83.54,85.12,83.54,84.98,1188227.0,84.98
2018-02-12,83.98,84.51,83.23,84.04,1626284.0,84.04
2018-02-09,81.6,83.85,80.33,83.35,1904246.0,83.35
2018-02-08,85.54,85.63,81.14,81.17,2071884.0,81.17
2018-02-07,85.08,86.7,84.88,85.37,1502081.0,85.37
2018-02-06,83.49,85.43,82.15,85.12,2038979.0,85.12
2018-02-05,86.51,87.41,84.21,84.24,2084888.0,84.24
2018-02-02,87.86,89.05,86.7,86.83,1973676.0,86.83
2018-02-01,88.28,89.05,88.165,88.42,1270253.0,88.42
2018-01-31,88.13,89.92,87.98,88.86,1403248.0,88.86
2018-01-30,86.98,88.49,86.12,87.68,1899805.0,87.68
2018-01-29,88.87,89.14,87.3,87.43,1775726.0,87.43
2018-01-26,88.76,89.26,88.09,88.94,1241003.0,88.94
2018-01-25,87.65,89.03,86.45,88.28,1915735.0,88.28
2018-01-24,85.38,87.96,85.38,87.28,3019718.0,87.28
2018-01-23,83.53,83.95,82.84,83.92,1329597.0,83.92
2018-01-22,83.33,83.84,83.1001,83.75,1194806.0,83.75
2018-01-19,82.9,83.43,82.811,83.25,659244.0,83.25
2018-01-18,83.09,83.23,82.59100000000001,82.73,918195.0,82.73
2018-01-17,82.81,83.16,82.2,82.94,1064024.0,82.94
2018-01-16,82.19,82.91,81.78,82.22,987804.0,82.22
2018-01-12,82.44,82.57,81.73,82.0,616252.0,82.0
2018-01-11,81.51,82.41,81.39,82.18,924713.0,82.18
2018-01-10,81.63,81.88,80.39,81.49,1426204.0,81.49
2018-01-09,81.1,81.45,80.08,80.69,1348262.0,80.69
2018-01-08,79.72,81.24,79.66,81.14,1337555.0,81.14
2018-01-05,79.57,79.99,79.32,79.94,1466254.0,79.94
2018-01-04,79.25,80.13,79.11,79.42,1033095.0,79.42
2018-01-03,78.86,79.07,78.06,78.78,1741671.0,78.78
2018-01-02,79.26,79.515,78.11,78.48,1142337.0,78.48
2017-12-29,79.72,79.815,78.94,79.09,652743.0,79.09
2017-12-28,79.69,79.74,79.13,79.7,527202.0,79.7
2017-12-27,78.95,79.33,78.68,79.3,811318.0,79.3
2017-12-26,78.81,79.29,78.22,79.11,780104.0,79.11
2017-12-22,78.95,79.895,78.48,78.8,959935.0,78.8
2017-12-21,80.07,80.29,78.43,78.56,1096944.0,78.56
2017-12-20,80.02,80.51,79.5,79.99,1398234.0,79.99
2017-12-19,79.69,80.23,79.0,79.67,1839485.0,79.67
2017-12-18,78.0,79.47,77.63,79.01,1394579.0,79.01
2017-12-15,76.94,77.87,76.65,77.81,2045972.0,77.81
2017-12-14,76.585,77.11,76.36,76.63,1073831.0,76.63
2017-12-13,77.23,77.56,76.22,76.5,924643.0,76.5
2017-12-12,76.55,77.2,76.24,77.0,868591.0,77.0
2017-12-11,75.51,76.67,74.99,76.62,1078995.0,76.62
2017-12-08,76.19,77.38,75.985,76.58,1253338.0,76.58
2017-12-07,74.78,76.5601,74.78,75.93,1658347.0,75.93
2017-12-06,73.95,75.2,73.47,74.81,1477448.0,74.81
2017-12-05,73.02,74.99,72.65100000000001,74.02,1221131.0,74.02
2017-12-04,74.02,74.4,72.55,73.1,1260026.0,73.1
2017-12-01,74.13,74.46,72.87,73.88,1216730.0,73.88
2017-11-30,72.65,74.575,72.335,74.36,2111173.0,74.36
2017-11-29,74.3,74.53,71.7,72.33,1500944.0,72.33
2017-11-28,74.08,74.56,73.73,74.16,1125962.0,74.16
2017-11-27,74.31,74.53,73.74,74.05,926345.0,74.05
2017-11-24,74.13,74.72,74.13,74.51,264845.0,74.51
2017-11-22,74.15,74.33,73.59,73.77,852552.0,73.77
2017-11-21,73.71,74.35,73.67,74.02,746035.0,74.02
2017-11-20,73.93,74.17,73.31,73.38,726730.0,73.38
2017-11-17,73.73,74.13,73.44,73.78,1007316.0,73.78
2017-11-16,73.15,74.44,73.01,74.02,991092.0,74.02
2017-11-15,73.25,73.61,72.23,73.04,1104931.0,73.04
2017-11-14,72.68,73.77,72.25,73.41,805554.0,73.41
2017-11-13,72.12,73.16,71.94,72.77,717808.0,72.77
2017-11-10,71.93,72.49,71.67,72.33,854752.0,72.33
2017-11-09,71.26,72.33,71.03,72.23,1252094.0,72.23
2017-11-07,73.48,73.57,71.905,72.0,1389487.0,72.0
2017-11-06,72.45,73.84,72.345,73.66,1695040.0,73.66
2017-11-03,72.17,72.49,72.05,72.26,2022896.0,72.26
2017-11-02,72.19,72.43,71.77,72.17,885052.0,72.17
2017-11-01,72.46,72.619,71.98,72.14,1462377.0,72.14
2017-10-31,71.13,72.29,70.8508,72.05,1694398.0,72.05
2017-10-30,70.44,71.23,70.13,70.98,1307571.0,70.98
2017-10-27,70.84,71.08,70.04,70.51,1533938.0,70.51
2017-10-26,71.02,71.51,70.52,70.71,1274121.0,70.71
2017-10-25,70.6,71.63,69.85,70.44,1995352.0,70.44
2017-10-24,68.29,68.455,67.82,68.18,1130671.0,68.18
2017-10-23,68.14,68.45,67.79,68.15,1212174.0,68.15
2017-10-20,67.66,68.33,67.57,67.88,932137.0,67.88
2017-10-19,66.94,67.33,66.63,67.33,813936.0,67.33
2017-10-18,67.65,67.89,67.12,67.16,739682.0,67.16
2017-10-17,67.65,67.84,67.05,67.4,582964.0,67.4
2017-10-16,67.89,68.01,67.21,67.68,990775.0,67.68
2017-10-13,68.07,68.07,67.53,67.68,685306.0,67.68
2017-10-12,67.43,68.14,67.38,67.81,1268089.0,67.81
2017-10-11,67.72,67.95,67.25,67.57,1394676.0,67.57
2017-10-10,67.47,67.74,67.32,67.68,675431.0,67.68
2017-10-09,66.94,67.57,66.81,67.33,660423.0,67.33
2017-10-06,66.91,67.03,66.63,66.86,826616.0,66.86
2017-10-05,66.43,67.03,66.28,67.01,940319.0,67.01
2017-10-04,66.17,66.43,65.85,66.32,881532.0,66.32
2017-10-03,65.74,66.19,65.57,66.06,1987003.0,66.06
2017-10-02,65.71,66.14,65.44,65.56,1107178.0,65.56
2017-09-29,65.04,65.88,64.95,65.5,1320955.0,65.5
2017-09-28,65.0,65.19,64.56,65.03,2282880.0,65.03
2017-09-27,66.0,66.03,64.94,65.04,2368116.0,65.04
2017-09-26,65.82,66.4749,65.5701,65.74,2572808.0,65.74
2017-09-25,66.97,66.97,64.68,65.64,3638521.0,65.64
2017-09-22,68.67,69.28,68.59,69.07,1436278.0,69.07
2017-09-21,67.35,69.07,67.31,68.81,1761947.0,68.81
2017-09-20,66.17,67.55,66.1,67.45,2131268.0,67.45
2017-09-19,65.63,66.37,65.2,66.07,1876524.0,65.942904705534
2017-09-18,66.92,66.93,66.195,66.37,1649915.0,66.24232761171899
2017-09-15,67.16,67.35,66.64,66.7,1477294.0,66.571692808523
2017-09-14,67.22,67.53,66.91,67.16,1844282.0,67.030807931341
2017-09-13,68.64,68.75,67.415,67.54,1569053.0,67.410076945842
2017-09-12,69.25,69.48,68.06,68.78,2083277.0,68.647691624741
2017-09-11,70.02,70.62,69.59,69.75,885855.0,69.615825688073
2017-09-08,69.91,70.21,69.295,69.48,1717326.0,69.346345072507
2017-09-07,69.09,70.17,69.0,70.04,869079.0,69.905267830719
2017-09-06,68.9,69.36,68.54,68.92,1022969.0,68.787422314294
2017-09-05,68.59,69.02,68.2,68.87,1229888.0,68.737518496597
2017-09-01,69.42,69.46,68.24,68.95,1161873.0,68.817364604913
2017-08-31,68.5,69.25,68.21,69.12,1241378.0,68.987037585084
2017-08-30,67.72,68.31,67.47,68.2,597553.0,68.06880733945
2017-08-29,67.14,67.82,66.86,67.77,864317.0,67.63963450725099
2017-08-28,66.72,67.7,66.62,67.5,1210463.0,67.370153891684
2017-08-25,66.99,67.38,66.37,66.4,1033140.0,66.272269902338
2017-08-24,67.21,67.51,66.55,66.7,755310.0,66.571692808523
2017-08-23,66.25,67.14,66.15,67.12,937342.0,66.99088487718299
2017-08-22,65.87,66.45,65.57,66.33,763753.0,66.202404557561
2017-08-21,64.89,65.92,64.68,65.88,994355.0,65.753270198284
2017-08-18,65.01,65.2,64.515,64.95,956417.0,64.825059189109
2017-08-17,65.32,65.6212,64.85,64.9,1434317.0,64.775155371412
2017-08-16,64.42,65.44,63.89,65.41,1554686.0,65.284174311927
