Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,58.29,58.93,57.18,57.45,1108047.0,57.45
2018-03-26,57.66,58.335,57.08,58.3,1214018.0,58.3
2018-03-23,57.75,58.216,56.87,56.96,1535316.0,56.96
2018-03-22,58.73,58.99,57.5,57.55,1307755.0,57.55
2018-03-21,59.22,59.85,58.76,59.3,904712.0,59.3
2018-03-20,59.03,59.62,58.86,59.12,1256880.0,59.12
2018-03-19,58.78,59.04,58.32,58.94,1261536.0,58.94
2018-03-16,59.17,59.17,58.7,58.83,2289169.0,58.83
2018-03-15,59.11,59.11,58.01,59.0,1715785.0,59.0
2018-03-14,59.29,59.29,58.485,59.09,2659494.0,59.09
2018-03-13,59.37,59.47,58.76,58.9,1374951.0,58.9
2018-03-12,60.37,60.37,58.88,59.0,2260734.0,59.0
2018-03-09,59.45,60.41,59.15,60.4,1177834.0,60.4
2018-03-08,58.8,59.14,58.3,59.05,999859.0,59.05
2018-03-07,58.12,58.68,57.76,58.52,1418348.0,58.52
2018-03-06,58.56,59.03,58.24,58.59,1281888.0,58.59
2018-03-05,57.16,58.69,56.93,58.38,1430482.0,58.38
2018-03-02,57.67,57.84,56.67,57.66,1938922.0,57.66
2018-03-01,59.87,60.22,57.79,58.24,2415956.0,58.24
2018-02-28,60.51,61.23,59.85,59.85,1609493.0,59.85
2018-02-27,60.96,61.47,60.23,60.25,1320481.0,60.25
2018-02-26,59.84,61.16,59.57,61.03,1374105.0,61.03
2018-02-23,59.58,59.905,58.96,59.28,1835409.0,59.28
2018-02-22,59.83,60.42,59.41,59.52,1338148.0,59.52
2018-02-21,59.97,60.48,59.42,59.52,2423967.0,59.52
2018-02-20,59.9,60.88,59.6,60.06,1514516.0,60.06
2018-02-16,59.57,60.66,59.39,60.33,1650065.0,60.33
2018-02-15,59.08,59.86,58.9,59.68,1855217.0,59.68
2018-02-14,57.14,58.9,56.91,58.8,2166029.0,58.8
2018-02-13,57.28,58.225,57.1,57.55,1794196.0,57.55
2018-02-12,56.77,58.12,56.41,57.55,1799415.0,57.55
2018-02-09,56.2,56.87,54.36,56.31,2058924.0,56.31
2018-02-08,58.0,58.0,55.49,55.54,1480822.0,55.54
