Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,103.77,104.66,101.69,102.17,3696311.0,102.17
2018-03-26,103.06,103.92,101.9,103.7,3821952.0,103.7
2018-03-23,104.89,105.165,101.4531,101.66,4235657.0,101.66
2018-03-22,106.73,107.12,104.26,104.45,4146061.0,104.45
2018-03-21,108.19,109.579,107.64,107.65,2707356.0,107.65
2018-03-20,108.64,109.3283,107.52,108.03,2456253.0,108.03
2018-03-19,110.3,110.89,107.439,108.46,2968280.0,108.46
2018-03-16,109.57,111.2,109.57,110.91,5215614.0,110.91
2018-03-15,109.04,110.01,108.91,109.72,2708846.0,109.72
2018-03-14,110.03,110.17,108.52,108.76,2286045.0,108.76
2018-03-13,109.7,110.56,109.12,109.33,3491242.0,109.33
2018-03-12,110.22,110.75,108.89,108.91,3047655.0,108.91
2018-03-09,109.53,110.42,108.91,110.38,3166239.0,110.38
2018-03-08,109.41,110.54,106.97,108.8,5802911.0,108.8
2018-03-07,109.02,109.55,107.83,109.21,7097591.0,109.21
2018-03-06,107.49,110.04,106.31,109.8,8588287.0,109.8
2018-03-05,105.34,106.17,104.63,105.81,4997436.0,105.81
2018-03-02,105.76,106.3,104.37,105.37,4670569.0,105.37
2018-03-01,104.96,109.29,103.95,106.43,8701867.0,106.43
2018-02-28,106.4,106.6,104.38,104.41,3702325.0,104.41
2018-02-27,108.24,108.56,105.68,105.69,3598192.0,105.69
2018-02-26,106.7,108.44,106.01,108.07,4080187.0,108.07
2018-02-23,104.4,105.62,104.34,105.61,4383925.0,105.61
2018-02-22,105.35,106.48,104.65,105.08,3345531.0,105.08
2018-02-21,104.74,107.05,104.51,104.7,5509335.0,104.7
2018-02-20,106.25,106.65,104.33,104.71,5189471.0,104.71
2018-02-16,107.11,107.66,105.9,106.4,6090554.0,106.4
2018-02-15,107.15,108.33,105.52,108.31,5527483.0,108.31
2018-02-14,106.69,107.1,105.09,106.6,6469995.0,106.6
2018-02-13,105.99,108.77,105.5,107.56,7554019.0,107.56
2018-02-12,107.0,107.08,105.414,106.31,6661217.0,106.31
2018-02-09,108.1,108.11,103.81,106.39,11172074.0,106.39
2018-02-08,111.76,112.5,109.23,109.28,6970007.0,109.28
2018-02-07,112.39,113.26,111.62,111.91,7090628.0,111.91
2018-02-06,112.62,115.89,109.68,112.71,11732687.0,112.71
2018-02-05,115.89,116.31,113.21,113.3,8000793.0,113.3
