Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,74.93,75.19,73.44,73.73,2035285.0,73.73
2018-03-26,73.41,74.73,73.16,74.63,2132924.0,74.63
2018-03-23,72.83,73.99,72.38,72.41,3051556.0,72.41
2018-03-22,74.34,74.34,72.32,72.39,2467838.0,72.39
2018-03-21,74.97,75.32,74.39,74.62,1415296.0,74.62
2018-03-20,74.34,75.12,74.08,74.96,1706031.0,74.96
2018-03-19,75.05,75.23,73.56,74.13,1933611.0,74.13
2018-03-16,74.71,76.55,74.71,75.46,6236874.0,75.46
2018-03-15,74.99,75.32,74.53,74.72,2554751.0,74.72
2018-03-14,74.02,75.13,74.02,74.75,2381235.0,74.75
2018-03-13,73.66,74.4,73.33,73.47,1943716.0,73.47
2018-03-12,73.68,73.92,73.01,73.21,2111165.0,73.21
2018-03-09,73.32,74.23,72.87,73.59,2292161.0,73.59
2018-03-08,73.14,73.75,72.43,72.8,2526800.0,72.8
2018-03-07,72.66,73.76,72.085,73.5,2968099.0,73.03849303850001
2018-03-06,74.02,74.1,72.935,73.43,3009423.0,72.9689325689
2018-03-05,73.29,74.31,72.43,73.57,4394577.0,73.1080535081
2018-03-02,73.04,73.7,72.59,73.52,3086052.0,73.0583674584
2018-03-01,74.49,74.9,73.05,73.7,2287636.0,73.2372372372
2018-02-28,75.12,75.38,74.56,74.57,2616741.0,74.57
2018-02-27,76.39,76.8,74.9,74.9,2284666.0,74.9
2018-02-26,75.67,76.324,75.03,76.05,2032660.0,76.05
2018-02-23,75.53,75.79,74.16,75.75,2407407.0,75.75
2018-02-22,74.65,75.52,74.4,75.21,3352504.0,75.21
2018-02-21,73.86,75.87,73.74,74.5,3427591.0,74.5
2018-02-20,74.67,74.77,72.74,73.57,4300847.0,73.57
2018-02-16,72.51,78.74,72.51,74.64,10014954.0,74.64
2018-02-15,83.98,84.375,83.31,83.94,3387506.0,83.94
2018-02-14,81.65,83.74,81.28,83.69,2903690.0,83.69
2018-02-13,80.71,82.18,80.37,82.11,2244932.0,82.11
2018-02-12,80.43,81.75,80.11,80.7,4033509.0,80.7
2018-02-09,79.55,80.35,77.0429,79.32,3600005.0,79.32
2018-02-08,80.33,81.16,78.73,78.75,3279616.0,78.75
2018-02-07,79.46,81.48,79.045,80.47,3588983.0,80.47
2018-02-06,77.17,79.9,76.42,79.36,4051066.0,79.36
2018-02-05,80.22,81.73,78.63,78.63,3897782.0,78.63
2018-02-02,80.57,81.36,79.75,79.89,3153339.0,79.89
2018-02-01,80.37,81.28,78.65,80.62,3054497.0,80.62
2018-01-31,82.12,82.65,80.735,81.14,3635261.0,81.14
2018-01-30,82.29,82.95,81.66,81.97,2114850.0,81.97
2018-01-29,81.39,82.68,81.39,82.55,2569272.0,82.55
2018-01-26,81.39,81.58,80.82,81.57,1807482.0,81.57
2018-01-25,81.28,81.43,80.53,80.94,2111345.0,80.94
2018-01-24,81.17,82.1,80.7606,80.97,2183970.0,80.97
2018-01-23,80.24,81.0,79.82,80.87,2492440.0,80.87
2018-01-22,79.75,80.71,79.4,80.42,2096443.0,80.42
2018-01-19,78.89,79.85,78.63,79.79,2512708.0,79.79
2018-01-18,78.35,79.36,78.23,78.43,2147106.0,78.43
2018-01-17,77.21,78.27,77.01,78.14,1547581.0,78.14
2018-01-16,77.99,78.0,76.63,76.68,2194970.0,76.68
2018-01-12,77.36,78.05,77.25,77.8,2015721.0,77.8
2018-01-11,76.2,77.25,76.11,77.19,2288881.0,77.19
2018-01-10,76.01,76.38,75.64,76.12,2549073.0,76.12
2018-01-09,77.07,77.28,75.95,76.13,2968725.0,76.13
2018-01-08,75.87,78.7,75.87,77.36,3024975.0,77.36
2018-01-05,75.6,76.16,75.33,75.7,1997346.0,75.7
2018-01-04,74.11,75.49,73.8899,75.46,2506146.0,75.46
2018-01-03,74.55,74.6,73.705,73.78,1670099.0,73.78
2018-01-02,74.42,74.57,73.7,74.42,1713089.0,74.42
2017-12-29,74.25,74.78,73.99,74.0,1428035.0,74.0
2017-12-28,74.55,74.55,74.22,74.29,954193.0,74.29
2017-12-27,74.83,74.9,74.46,74.52,921110.0,74.52
2017-12-26,73.72,74.66,73.67,74.61,845456.0,74.61
2017-12-22,73.98,74.36,73.45,73.87,1905079.0,73.87
2017-12-21,74.94,75.0,74.0,74.23,1619676.0,74.23
2017-12-20,74.05,74.69,74.03,74.4,2531690.0,74.4
