Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,30.18,31.12,30.17,30.73,3018007.0,30.73
2018-03-26,30.41,30.72,29.28,30.09,3302145.0,30.09
2018-03-23,30.69,30.86,29.95,30.14,2272378.0,30.14
2018-03-22,31.09,31.37,30.61,30.63,2086261.0,30.63
2018-03-21,31.04,31.72,30.91,31.3,1962845.0,31.3
2018-03-20,31.54,31.56,30.83,30.99,1941296.0,30.99
2018-03-19,31.68,31.85,31.06,31.36,2054308.0,31.36
2018-03-16,32.74,33.02,31.65,31.65,3717116.0,31.65
2018-03-15,33.31,33.31,32.76,32.83,2333401.0,32.83
2018-03-14,32.69,32.84,32.28,32.64,2748983.0,32.64
2018-03-13,32.92,33.25,32.55,32.8,2840146.0,32.8
2018-03-12,32.8,33.06,32.61,32.82,2223041.0,32.82
2018-03-09,32.89,33.48,32.13,32.72,4804612.0,32.72
2018-03-08,33.65,33.72,32.73,32.85,2468910.0,32.85
2018-03-07,34.04,34.34,33.2,33.65,2505913.0,33.65
2018-03-06,34.49,34.5,33.83,34.21,2076254.0,34.21
2018-03-05,33.98,34.4,33.7,34.28,2993459.0,34.28
2018-03-02,32.79,34.32,32.43,34.09,3031865.0,34.09
2018-03-01,33.34,33.44,32.56,33.13,3696678.0,33.13
2018-02-28,33.63,33.875,32.87,33.34,4799028.0,33.34
2018-02-27,33.79,33.96,33.01,33.21,2205436.0,33.21
2018-02-26,33.89,34.21,33.53,33.88,2030328.0,33.88
2018-02-23,33.07,33.74,32.95,33.74,2529091.0,33.74
2018-02-22,33.12,33.74,32.81,32.93,2473402.0,32.93
2018-02-21,33.93,34.29,32.98,33.02,3685825.0,33.02
2018-02-20,33.48,34.54,33.43,33.98,3118039.0,33.98
2018-02-16,33.98,34.58,33.5,33.5,3483196.0,33.5
2018-02-15,34.0,34.17,33.08,33.93,4494023.0,33.93
2018-02-14,33.35,34.17,32.87,33.93,4728246.0,33.93
2018-02-13,32.71,33.29,32.62,33.1,4147231.0,33.1
2018-02-12,33.1,33.85,32.64,32.88,4392829.0,32.88
2018-02-09,33.2,33.48,30.83,32.86,6739242.0,32.86
2018-02-08,32.79,34.18,32.0,32.72,10859029.0,32.72
2018-02-07,31.37,31.72,30.5,30.505,6830896.0,30.505
2018-02-06,30.6,32.01,30.0,31.25,6618449.0,31.25
2018-02-05,32.09,32.75,31.02,31.23,6252322.0,31.23
2018-02-02,33.23,33.7,32.11,32.215,5226163.0,32.215
2018-02-01,33.35,33.79,32.84,33.21,4657903.0,33.21
2018-01-31,33.19,33.6594,32.58,33.42,4441632.0,33.42
2018-01-30,33.56,33.84,32.81,32.94,2822251.0,32.94
2018-01-29,34.09,34.18,33.52,33.71,3910513.0,33.71
2018-01-26,33.64,34.09,33.49,34.09,2312665.0,34.09
2018-01-25,33.21,34.5,32.72,33.61,4000746.0,33.61
2018-01-24,33.48,33.79,33.1,33.13,2667843.0,33.13
2018-01-23,33.9,34.01,33.03,33.39,3643725.0,33.39
2018-01-22,33.0,33.97,32.55,33.94,4414324.0,33.94
2018-01-19,33.87,34.28,32.85,33.36,5860113.0,33.36
2018-01-18,32.21,34.3582,32.02,33.95,10357094.0,33.95
2018-01-17,31.46,33.0,30.55,31.96,8017097.0,31.96
2018-01-16,32.66,33.1671,31.22,31.38,9581127.0,31.38
2018-01-12,30.9,35.5499,30.58,33.76,12233631.0,33.76
2018-01-11,29.11,30.96,29.11,30.81,6293498.0,30.81
2018-01-10,28.98,29.18,27.76,29.16,7082136.0,29.16
2018-01-09,29.14,29.44,28.98,29.04,3190443.0,29.04
2018-01-08,29.17,29.28,28.7,29.175,4174321.0,29.175
2018-01-05,29.81,29.82,28.99,29.1,5206376.0,29.1
