Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,48.28,49.63,47.82,49.01,2213185.0,49.01
2018-03-26,48.41,48.4603,47.8,48.21,2078473.0,48.21
2018-03-23,49.42,49.53,47.945,48.11,2837311.0,48.11
2018-03-22,48.5,49.985,48.42,49.32,4211895.0,49.32
2018-03-21,48.9,49.09,48.01,48.46,2570422.0,48.46
2018-03-20,49.5,50.02,48.84,49.0,2784530.0,49.0
2018-03-19,50.08,50.1,49.15,49.53,2337085.0,49.53
2018-03-16,49.38,50.27,49.18,50.15,4054222.0,50.15
2018-03-15,49.66,49.99,49.05,49.46,3618098.0,49.46
2018-03-14,50.31,50.5,49.02,49.68,4625248.0,49.68
2018-03-13,50.85,51.22,50.01,50.35,4125476.0,50.35
2018-03-12,49.61,50.5,49.56,50.38,4058889.0,50.38
2018-03-09,50.46,50.61,49.26,49.69,3637182.0,49.69
2018-03-08,50.97,50.97,49.98,50.52,4351629.0,50.52
2018-03-07,50.3,51.24,49.99,51.22,2288361.0,51.22
2018-03-06,50.64,50.79,49.6805,50.45,2153833.0,50.45
2018-03-05,49.86,51.29,49.8,50.77,3753213.0,50.77
2018-03-02,49.5,50.09,49.21,49.86,3333704.0,49.86
2018-03-01,48.18,49.72,47.9712,49.58,3591089.0,49.58
2018-02-28,49.18,49.36,48.3,48.32,3261135.0,48.32
2018-02-27,50.73,50.93,48.91,48.91,2648961.0,48.91
2018-02-26,50.67,50.74,50.19,50.73,1962114.0,50.73
2018-02-23,49.95,50.52,49.5,50.51,1921142.0,50.51
2018-02-22,49.58,50.3299,49.12,49.67,1910392.0,49.67
2018-02-21,50.29,50.4,49.33,49.34,2283363.0,49.34
2018-02-20,51.11,51.56,50.26,50.27,2268248.0,50.27
2018-02-16,50.79,51.64,50.71,51.39,2448403.0,51.39
2018-02-15,49.62,50.75,49.62,50.64,2632840.0,50.64
2018-02-14,50.31,50.44,49.348,49.62,2853728.0,49.62
2018-02-13,50.38,50.9,49.58,50.72,3169160.0,50.72
2018-02-12,51.65,51.91,49.47,50.46,3983392.0,50.46
2018-02-09,50.05,52.01,49.17,51.59,5881703.0,51.59
2018-02-08,52.8,52.92,50.92,50.92,6371025.0,50.92
2018-02-07,53.13,54.12,52.82,52.97,3193618.0,52.97
2018-02-06,52.32,53.36,51.8,53.19,3602819.0,53.19
2018-02-05,54.14,54.98,52.78,52.88,3205107.0,52.88
2018-02-02,53.91,55.0,53.52,54.33,2637734.0,54.33
2018-02-01,55.93,56.19,54.24,54.4,2714139.0,54.4
2018-01-31,54.8,55.98,54.61,55.97,3877360.0,55.97
2018-01-30,55.82,56.1,54.65,54.65,2128881.0,54.65
2018-01-29,55.6,55.68,54.52,55.53,2025188.0,55.53
2018-01-26,56.71,56.71,55.44,55.89,2159586.0,55.89
2018-01-25,55.86,56.46,55.81,56.41,2751292.0,56.41
2018-01-24,55.92,56.2,55.68,55.89,2817990.0,55.89
2018-01-23,54.82,55.96,54.5,55.95,2739861.0,55.95
2018-01-22,54.46,54.86,54.3,54.49,2566703.0,54.49
2018-01-19,54.49,54.52,53.75,54.47,2603844.0,54.47
2018-01-18,54.78,54.87,54.1,54.38,3167732.0,54.38
2018-01-17,54.73,55.0,54.3,54.98,4505467.0,54.98
2018-01-16,55.11,56.14,54.45,54.52,3706381.0,54.52
2018-01-12,56.16,56.16,54.77,54.83,4260522.0,54.83
2018-01-11,56.84,57.125,56.09,56.23,2526487.0,56.23
2018-01-10,57.56,57.6,56.7,56.84,2198570.0,56.84
2018-01-09,58.37,58.375,57.3134,57.69,2948988.0,57.69
2018-01-08,58.35,58.65,58.03,58.45,1854040.0,58.45
2018-01-05,58.8,58.94,57.9,58.35,2449689.0,58.35
2018-01-04,60.05,60.05,58.49,58.65,2556262.0,58.65
2018-01-03,59.93,60.22,59.66,60.12,1878592.0,60.12
2018-01-02,60.08,60.49,59.71,59.76,1904077.0,59.76
2017-12-29,59.75,60.49,59.61,60.01,1545173.0,60.01
2017-12-28,60.22,60.56,59.91,60.43,1513219.0,60.43
2017-12-27,60.42,60.53,60.04,60.14,1427901.0,60.14
2017-12-26,60.13,60.53,60.05,60.18,1154642.0,60.18
2017-12-22,60.15,60.33,59.775,60.14,1812016.0,60.14
2017-12-21,60.7,60.92,59.705,59.84,2464092.0,59.84
2017-12-20,61.82,61.98,60.62,60.69,2711135.0,60.69
2017-12-19,64.19,64.44,61.73,61.83,2124952.0,61.83
2017-12-18,64.65,64.965,64.32,64.39,1317729.0,64.39
2017-12-15,63.75,64.485,63.72,64.25,2744231.0,64.25
2017-12-14,63.85,63.96,63.44,63.46,1429700.0,63.46
2017-12-13,64.11,64.4,63.72,63.87,1414168.0,63.87
2017-12-12,63.47,64.26,63.33,63.82,1398086.0,63.82
2017-12-11,63.11,63.54,62.855,63.32,1122687.0,63.32
2017-12-08,63.53,63.76,63.14,63.31,1274511.0,63.31
2017-12-07,63.04,63.63,62.66,63.53,1336370.0,63.53
2017-12-06,62.87,63.04,62.34,62.99,1406576.0,62.99
2017-12-05,62.84,63.14,62.6,62.73,2294718.0,62.73
2017-12-04,64.0,64.51,62.59,62.82,3384447.0,62.82
2017-12-01,64.21,64.94,64.08,64.81,1644920.0,64.81
2017-11-30,64.14,64.535,63.66,64.01,1977811.0,64.01
2017-11-29,63.33,64.17,63.101000000000006,64.07,1457007.0,64.07
2017-11-28,64.01,64.15,63.42,63.61,1456759.0,63.61
2017-11-27,64.83,64.83,63.83,63.86,1141430.0,63.86
2017-11-24,64.44,64.93,64.37,64.68,598361.0,64.68
2017-11-22,64.31,64.565,64.09,64.24,1430300.0,64.24
2017-11-21,64.34,64.75,64.3,64.32,1521899.0,64.32
2017-11-20,64.53,64.68,64.08,64.25,1391757.0,64.25
2017-11-17,64.27,64.75,64.16,64.4,1530460.0,64.4
2017-11-16,64.35,65.05,64.13,64.51,1640276.0,64.51
2017-11-15,65.09,65.2442,64.32,64.38,1575003.0,64.38
2017-11-14,65.34,65.72,64.98,65.04,1642883.0,65.04
2017-11-13,65.17,65.44,64.9,65.39,1267141.0,65.39
2017-11-10,64.27,65.19,64.26,64.91,922828.0,64.91
2017-11-09,64.57,65.4,64.545,64.81,923994.0,64.81
2017-11-07,64.18,64.59,64.01,64.33,1435749.0,64.33
2017-11-06,64.09,64.63,63.98,64.09,1322065.0,64.09
2017-11-03,63.5,64.55,63.485,64.1,1243378.0,64.1
2017-11-02,63.24,64.18,63.17,63.84,1689402.0,63.84
2017-11-01,62.86,63.51,62.57,63.07,1442164.0,63.07
2017-10-31,63.16,63.25,62.11,62.75,2462439.0,62.75
2017-10-30,62.73,63.3,62.52,63.25,1965095.0,63.25
2017-10-27,61.03,63.1,60.9,62.5,2252436.0,62.5
2017-10-26,62.0,62.0,60.96,61.1,1786241.0,61.1
2017-10-25,61.7,61.99,60.82,61.5,1726974.0,61.5
2017-10-24,62.5,62.62,61.715,61.82,2087969.0,61.82
2017-10-23,63.16,63.16,62.32,62.5,1411662.0,62.5
2017-10-20,63.1,63.1,62.53,63.0,1423595.0,63.0
2017-10-19,63.35,63.6,63.0,63.02,916985.0,63.02
2017-10-18,63.15,63.47,62.76,63.31,1205182.0,63.31
2017-10-17,63.0,63.26,62.58,63.2,1632144.0,63.2
2017-10-16,63.42,63.54,62.9,63.14,1472534.0,63.14
2017-10-13,63.29,63.52,62.69,63.36,1831840.0,63.36
2017-10-12,63.03,63.15,62.37,63.08,1918417.0,63.08
2017-10-11,63.17,63.58,62.91,63.05,1704998.0,63.05
2017-10-10,63.4,63.7,62.87,63.26,2082746.0,63.26
2017-10-09,63.46,63.7,63.15,63.31,1072603.0,63.31
2017-10-06,62.83,63.42,62.45,63.34,1815696.0,63.34
2017-10-05,63.84,64.0,63.24,63.31,1747073.0,63.31
2017-10-04,63.74,63.855,63.38,63.65,2433951.0,63.65
