Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,94.93,95.7,91.58,92.18,3243163.0,92.18
2018-03-26,94.21,94.51,91.61,94.27,4349903.0,94.27
2018-03-23,98.41,99.32,92.32,92.34,8480481.0,92.34
2018-03-22,101.58,102.74,100.39,100.83,3178394.0,100.83
2018-03-21,103.69,104.6,102.76,102.84,2358697.0,102.84
2018-03-20,103.54,104.5,103.115,103.67,2395792.0,103.67
2018-03-19,105.99,106.39,102.415,103.16,4349803.0,103.16
2018-03-16,103.88,106.96,103.43,106.45,7171430.0,106.45
2018-03-15,103.12,103.41,101.67,102.23,2628920.0,102.23
2018-03-14,103.45,104.6,101.38,103.2,3962958.0,103.2
2018-03-13,103.19,106.3,102.64,102.91,6868878.0,102.91
2018-03-12,100.0,103.1099,99.76,102.86,5748427.0,102.86
2018-03-09,97.9,100.0,97.55,99.55,4521710.0,99.55
2018-03-08,95.5,97.91,95.38,97.22,4039515.0,97.22
2018-03-07,92.75,96.94,92.75,95.27,6005016.0,95.27
2018-03-06,91.13,94.14,90.69,93.8,6593604.0,93.8
2018-03-05,88.0,90.31,87.99,89.95,3410615.0,89.95
2018-03-02,86.28,88.4,86.03,88.25,2505386.0,88.25
2018-03-01,87.42,88.82,86.31,87.27,3554450.0,87.27
2018-02-28,88.14,88.59,87.01,87.04,2806200.0,87.04
2018-02-27,89.42,89.93,86.975,87.19,3378689.0,87.19
2018-02-26,89.14,89.52,88.22,89.22,2719764.0,89.22
2018-02-23,86.98,89.32,86.5,89.14,4226763.0,89.14
2018-02-22,85.94,87.26,85.27,85.53,2257411.0,85.53
2018-02-21,86.29,87.54,85.62,85.67,2575119.0,85.67
2018-02-20,84.13,87.34899999999999,84.11,86.46,3721448.0,86.46
2018-02-16,84.29,86.32,84.23,84.91,2975052.0,84.91
2018-02-15,83.87,84.62,82.96,84.54,3103259.0,84.54
2018-02-14,81.9,83.59,81.9,83.33,3245437.0,83.33
2018-02-13,81.86,83.46,81.58,82.97,2796508.0,82.97
2018-02-12,81.25,83.06,81.25,82.34,3281687.0,82.34
2018-02-09,80.8,81.98,77.9,80.55,4330540.0,80.55
2018-02-08,83.65,84.41,80.09,80.09,3240263.0,80.09
2018-02-07,83.95,85.32,83.1,83.71,3649968.0,83.71
2018-02-06,80.58,84.6,80.25,84.25,4604045.0,84.25
2018-02-05,84.2,85.9,81.46,81.8,4601004.0,81.8
2018-02-02,86.99,87.13,85.01,85.25,4965885.0,85.25
2018-02-01,87.43,89.12,86.6,87.6,3525399.0,87.6
2018-01-31,89.18,91.19,88.67,88.985,8460056.0,88.985
2018-01-30,86.0,87.26,85.11,87.08,4302186.0,87.08
2018-01-29,88.74,89.8,87.18,87.45,4930777.0,87.45
2018-01-26,86.75,89.63,86.71,89.6,8106606.0,89.6
2018-01-25,88.18,89.84,87.645,87.99,6707018.0,87.99
2018-01-24,87.7,87.89,86.18,86.97,4649829.0,86.97
2018-01-23,86.43,87.55,86.01,87.34,3014527.0,87.34
2018-01-22,85.94,86.39,85.1,86.24,4313193.0,86.24
2018-01-19,86.12,87.07,85.38,85.6,3814195.0,85.6
2018-01-18,85.17,86.57,85.07,86.4,4536152.0,86.4
2018-01-17,84.54,85.4799,84.2,85.16,4181407.0,85.16
2018-01-16,83.7,84.98,83.3,83.88,5528187.0,83.88
2018-01-12,82.68,83.31,82.45,83.12,2921145.0,83.12
2018-01-11,80.92,82.91,80.9,82.25,3804068.0,82.25
2018-01-10,79.2,80.9455,78.8,80.91,4919279.0,80.91
2018-01-09,81.52,82.1,80.43,80.62,3793499.0,80.62
2018-01-08,83.0,83.0,80.61,81.44,4849480.0,81.44
2018-01-05,82.39,82.97,81.61,82.69,2706589.0,82.69
2018-01-04,82.0,83.0,79.69,82.17,4490930.0,82.17
2018-01-03,82.0,82.89,81.81,82.67,3240720.0,82.67
2018-01-02,80.51,81.79,79.58,81.38,3883167.0,81.38
2017-12-29,80.61,80.75,79.49,79.53,2775889.0,79.53
2017-12-28,81.42,81.7,80.33,80.64,2298751.0,80.64
2017-12-27,80.09,81.0,79.63,80.96,2604871.0,80.96
2017-12-26,80.92,81.0,79.22,80.0,3897428.0,80.0
2017-12-22,80.88,81.36,80.46,80.68,2120861.0,80.68
2017-12-21,82.88,83.27,80.75,80.83,4726587.0,80.83
2017-12-20,85.16,85.26,82.12,82.77,4720791.0,82.77
2017-12-19,83.53,85.13,82.29,84.24,3905976.0,84.24
2017-12-18,82.51,83.83,82.3,83.62,3838433.0,83.62
2017-12-15,81.89,82.08,79.93,81.62,6815974.0,81.62
2017-12-14,83.87,84.09,82.431,82.64,3229881.0,82.64
2017-12-13,84.67,85.63,83.115,83.63,6394500.0,83.63
2017-12-12,81.59,82.75,81.13,81.77,2450880.0,81.77
2017-12-11,81.19,81.9395,80.09,81.2,2430809.0,81.2
2017-12-08,80.12,81.68,79.42,81.47,4999354.0,81.47
2017-12-07,78.0,78.86,77.69,78.35,2553834.0,78.35
2017-12-06,78.0,78.93,77.51,77.86,3490349.0,77.86
2017-12-05,77.26,79.03,76.774,78.56,4513678.0,78.56
2017-12-04,79.36,79.93,76.59,77.11,5676053.0,77.11
2017-12-01,79.27,80.36,77.11,79.36,6403465.0,79.36
2017-11-30,81.92,82.0999,78.6,78.86,6929643.0,78.86
2017-11-29,86.34,86.49,80.6,81.0,7108609.0,81.0
2017-11-28,87.1,87.45,85.94,86.89,4427632.0,86.89
2017-11-27,88.31,88.33,85.33,86.55,11022223.0,86.55
2017-11-24,92.96,93.16,92.25,92.78,937142.0,92.78
2017-11-22,92.43,93.22,91.71,92.91,2233038.0,92.91
