Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,25.41,25.715,24.94,25.15,8998884.0,25.15
2018-03-26,25.88,26.01,25.095,25.45,9384948.0,25.45
2018-03-23,26.56,26.62,25.62,25.64,7071932.0,25.64
2018-03-22,26.69,26.88,26.38,26.48,7022765.0,26.48
2018-03-21,26.44,27.08,26.3,27.0,6011285.0,27.0
2018-03-20,26.3,26.6,26.115,26.2,7274477.0,26.2
2018-03-19,27.05,27.25,25.975,26.2,10854774.0,26.2
2018-03-16,26.8,27.5,26.79,27.21,12629764.0,27.21
2018-03-15,28.2,28.3,24.76,26.69,30093878.0,26.69
2018-03-14,28.1,28.28,27.85,28.14,9611470.0,28.14
2018-03-13,28.29,28.375,27.93,28.02,6875742.0,28.02
2018-03-12,28.0,28.38,27.95,28.26,8857398.0,28.26
2018-03-09,27.65,28.0,27.445,28.0,6728063.0,28.0
2018-03-08,27.28,27.3,26.71,27.15,6078934.0,27.15
2018-03-07,27.35,27.51,27.17,27.46,8283275.0,27.46
2018-03-06,27.45,27.71,27.235,27.63,6333160.0,27.63
2018-03-05,27.0,27.62,26.995,27.24,5235541.0,27.24
2018-03-02,27.16,27.31,26.6501,27.11,6907898.0,27.11
2018-03-01,27.7,27.77,27.135,27.38,8853506.0,27.38
2018-02-28,28.45,28.56,27.75,27.76,5751112.0,27.76
2018-02-27,28.41,28.76,28.215,28.36,9129252.0,28.36
2018-02-26,28.88,28.89,28.02,28.41,5386232.0,28.41
2018-02-23,28.55,28.87,28.38,28.74,6142920.0,28.74
2018-02-22,28.83,29.36,28.46,28.56,4335407.0,28.56
2018-02-21,29.17,29.315,28.61,28.62,3515440.0,28.62
2018-02-20,28.87,29.54,28.84,29.09,4509766.0,29.09
2018-02-16,29.83,29.9,28.85,28.91,6902518.0,28.91
2018-02-15,29.56,30.33,29.53,29.98,5271118.0,29.98
2018-02-14,29.44,30.26,29.36,29.98,4888143.0,29.98
2018-02-13,29.17,29.88,29.11,29.77,5146285.0,29.77
2018-02-12,28.97,29.61,28.92,29.42,6287812.0,29.42
2018-02-09,28.76,28.99,27.56,28.61,10953244.0,28.61
2018-02-08,30.04,30.25,28.56,28.56,9041456.0,28.56
2018-02-07,30.08,30.69,30.0,30.0,6914276.0,30.0
2018-02-06,28.95,30.205,28.691,30.17,10841672.0,30.17
2018-02-05,30.3,30.755,29.0,29.48,8611630.0,29.48
2018-02-02,31.38,31.45,30.61,30.7,4354610.0,30.7
2018-02-01,31.54,31.79,31.37,31.68,4304585.0,31.68
2018-01-31,31.62,31.795,31.265,31.39,5042222.0,31.39
2018-01-30,31.69,31.77,31.29,31.51,5314984.0,31.51
2018-01-29,32.29,32.47,31.94,31.98,4891371.0,31.98
2018-01-26,32.56,32.75,32.385,32.53,4648731.0,32.53
2018-01-25,32.7,33.07,32.27,32.4,8220205.0,32.4
2018-01-24,33.19,33.67,33.06,33.1,6473121.0,33.1
2018-01-23,32.92,33.32,32.7,33.15,6004666.0,33.15
2018-01-22,32.37,32.85,32.34,32.85,5429325.0,32.85
2018-01-19,32.2,32.325,31.94,32.3,4312583.0,32.3
2018-01-18,32.51,32.51,32.24,32.28,4011903.0,32.28
2018-01-17,32.74,32.74,32.24,32.52,5126642.0,32.52
2018-01-16,33.33,33.43,32.53,32.59,5317545.0,32.59
2018-01-12,33.09,33.38,32.83,33.21,4369303.0,33.21
2018-01-11,32.82,33.12,32.6,33.1,5596042.0,33.1
2018-01-10,32.75,32.78,32.43,32.75,4194552.0,32.75
2018-01-09,32.66,32.87,32.47,32.73,3864416.0,32.73
2018-01-08,32.45,32.59,32.26,32.58,5341765.0,32.58
2018-01-05,32.6,32.65,32.05,32.46,6197216.0,32.46
2018-01-04,32.06,32.605,31.82,32.55,7296581.0,32.55
2018-01-03,31.17,32.06,31.14,32.0,8961704.0,32.0
2018-01-02,30.67,31.185,30.54,31.14,4353106.0,31.14
2017-12-29,30.59,30.72,30.41,30.49,2905667.0,30.49
2017-12-28,30.42,30.55,30.28,30.51,2961135.0,30.51
2017-12-27,30.55,30.57,30.285,30.39,3898345.0,30.39
2017-12-26,30.42,30.69,30.35,30.49,2420556.0,30.49
2017-12-22,30.26,30.46,30.22,30.31,4037244.0,30.31
2017-12-21,30.04,30.39,29.995,30.32,5121543.0,30.32
2017-12-20,30.08,30.15,29.64,30.05,7743776.0,30.05
2017-12-19,30.15,30.345,30.03,30.06,4467152.0,30.06
2017-12-18,29.845,30.42,29.8,30.14,7248978.0,30.14
2017-12-15,29.9,30.0,29.58,29.73,9027332.0,29.73
2017-12-14,29.17,29.87,29.04,29.68,6172590.0,29.68
2017-12-13,29.04,29.2,28.895,29.06,4746327.0,29.06
2017-12-12,28.93,29.275,28.75,29.08,4870584.0,29.08
2017-12-11,28.53,29.09,28.42,28.9,6410037.0,28.9
2017-12-08,28.6,28.7,28.215,28.55,8871927.0,28.55
2017-12-07,28.37,28.55,28.18,28.47,4845862.0,28.47
