Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,19.22,19.29,18.78,18.89,5393243.0,18.89
2018-03-26,19.17,19.29,18.835,19.21,3487107.0,19.21
2018-03-23,19.37,19.43,18.98,19.0,3644811.0,19.0
2018-03-22,19.48,19.765,19.34,19.35,4537924.0,19.35
2018-03-21,19.78,19.865,19.625,19.68,2549468.0,19.68
2018-03-20,19.64,19.925,19.58,19.75,4317240.0,19.75
2018-03-19,20.0,20.01,19.515,19.64,4008771.0,19.64
2018-03-16,20.07,20.215,20.03,20.04,18883367.0,20.04
2018-03-15,20.16,20.285,19.805,20.02,5321093.0,20.02
2018-03-14,20.49,20.515,20.23,20.31,5848380.0,20.31
2018-03-13,20.23,20.55,20.23,20.37,6224394.0,20.37
2018-03-12,20.21,20.37,20.055,20.13,5393020.0,20.13
2018-03-09,19.82,20.185,19.8,20.17,4359052.0,20.17
2018-03-08,19.97,19.98,19.6,19.66,3966393.0,19.66
2018-03-07,19.77,20.01,19.76,19.96,2503357.0,19.96
2018-03-06,19.96,19.995,19.72,19.9,2926521.0,19.9
2018-03-05,19.74,20.07,19.67,19.9,7196894.0,19.9
2018-03-02,19.55,19.89,19.485,19.87,3105124.0,19.87
2018-03-01,19.84,20.01,19.5,19.66,5527480.0,19.66
2018-02-28,20.1,20.15,19.75,19.82,5399769.0,19.82
2018-02-27,20.3,20.38,19.97,19.99,5282992.0,19.99
2018-02-26,20.31,20.4,20.18,20.3,2983810.0,20.3
2018-02-23,20.25,20.26,20.015,20.24,3509000.0,20.24
2018-02-22,20.2,20.38,20.06,20.09,4950210.0,20.09
2018-02-21,20.27,20.4169,20.09,20.09,3709792.0,20.09
2018-02-20,20.24,20.5,20.18,20.25,3902824.0,20.25
2018-02-16,20.15,20.45,20.11,20.26,7235241.0,20.26
2018-02-15,20.45,20.54,20.1,20.2,7919477.0,20.2
2018-02-14,20.5,20.74,19.83,20.3,13487316.0,20.3
2018-02-13,19.59,19.915,19.59,19.75,7260437.0,19.75
2018-02-12,19.46,19.94,19.4,19.77,7002702.0,19.77
2018-02-09,18.98,19.49,18.55,19.36,7521832.0,19.36
2018-02-08,19.47,19.5,18.81,18.81,7514914.0,18.81
2018-02-07,19.73,20.05,19.43,19.49,4429441.0,19.49
2018-02-06,19.28,19.87,18.980999999999998,19.81,7238697.0,19.81
2018-02-05,20.15,20.24,19.53,19.54,5431938.0,19.54
2018-02-02,20.57,20.67,20.28,20.28,6410135.0,20.28
2018-02-01,20.71,20.85,20.625,20.69,6317885.0,20.69
2018-01-31,20.65,20.94,20.64,20.79,4474533.0,20.79
2018-01-30,20.66,20.84,20.51,20.6,3327001.0,20.6
2018-01-29,21.15,21.15,20.78,20.83,3410029.0,20.83
2018-01-26,20.9,21.175,20.78,21.16,3410901.0,21.16
2018-01-25,20.59,20.81,20.475,20.8,3745570.0,20.8
2018-01-24,20.8,20.905,20.51,20.52,4095666.0,20.52
2018-01-23,20.52,20.82,20.48,20.73,4139641.0,20.73
2018-01-22,20.24,20.595,20.235,20.55,4494567.0,20.55
2018-01-19,20.28,20.3,20.13,20.24,4200421.0,20.24
2018-01-18,20.21,20.33,20.13,20.19,6409713.0,20.19
2018-01-17,20.47,20.48,20.01,20.24,8384913.0,20.24
2018-01-16,21.12,21.14,20.54,20.62,8156840.0,20.62
2018-01-12,21.22,21.28,21.0,21.12,3665217.0,21.12
2018-01-11,21.3,21.3861,21.04,21.18,3963961.0,21.18
2018-01-10,20.81,21.27,20.7,21.23,6452233.0,21.23
2018-01-09,21.5,21.52,20.99,21.04,6735394.0,21.04
2018-01-08,21.59,22.21,21.23,21.49,23496334.0,21.49
2018-01-05,19.45,20.635,19.42,20.6,16579611.0,20.6
2018-01-04,19.17,19.49,18.955,19.45,9169215.0,19.45
2018-01-03,19.15,19.36,19.07,19.07,6240144.0,19.07
2018-01-02,19.06,19.13,18.965,19.08,6781878.0,19.08
2017-12-29,19.08,19.15,19.005,19.01,2748771.0,19.01
2017-12-28,18.89,19.08,18.85,19.07,2917320.0,19.07
2017-12-27,18.93,18.97,18.72,18.8,2912466.0,18.8
2017-12-26,19.05,19.1,18.85,18.89,2103820.0,18.89
2017-12-22,19.33,19.45,18.961,19.08,3158557.0,19.08
2017-12-21,19.51,19.53,19.235,19.26,4346800.0,19.26
2017-12-20,19.63,19.68,19.43,19.47,3183676.0,19.47
2017-12-19,19.6,19.73,19.5,19.59,4157631.0,19.59
2017-12-18,19.7,19.74,19.52,19.56,5058941.0,19.56
2017-12-15,19.27,19.74,19.16,19.48,18660898.0,19.48
2017-12-14,19.12,19.665,19.05,19.35,6240877.0,19.35
2017-12-13,19.49,19.67,19.34,19.37,3577836.0,19.37
2017-12-12,19.49,19.66,19.305,19.5,3672211.0,19.5
2017-12-11,19.48,19.7,19.41,19.53,4703578.0,19.53
2017-12-08,19.58,19.58,19.36,19.39,3199952.0,19.39
2017-12-07,19.39,19.62,19.36,19.52,3827765.0,19.52
2017-12-06,19.56,19.68,19.4,19.4,4390136.0,19.4
2017-12-05,19.73,19.87,19.52,19.55,4829648.0,19.55
2017-12-04,19.84,19.88,19.625,19.71,6073163.0,19.71
2017-12-01,19.66,19.84,19.4,19.71,5168433.0,19.71
2017-11-30,19.75,19.99,19.61,19.69,4913876.0,19.69
2017-11-29,19.72,19.85,19.645,19.7,3946170.0,19.7
2017-11-28,19.52,19.7,19.46,19.69,2687974.0,19.69
2017-11-27,19.67,19.73,19.4,19.48,2838590.0,19.48
2017-11-24,19.58,19.7,19.5,19.65,1551150.0,19.65
2017-11-22,19.72,19.74,19.495,19.55,1831474.0,19.55
2017-11-21,19.69,19.84,19.66,19.7,2155670.0,19.7
2017-11-20,19.73,19.82,19.59,19.68,2029766.0,19.68
2017-11-17,19.68,19.81,19.53,19.68,2462517.0,19.68
2017-11-16,19.74,19.855,19.63,19.77,2349138.0,19.77
2017-11-15,19.55,19.64,19.36,19.6,3197518.0,19.6
2017-11-14,19.48,19.75,19.45,19.65,2992959.0,19.65
2017-11-13,20.08,20.1,19.495,19.52,3133704.0,19.52
