Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,55.46,55.61,55.33,55.41,6661156.0,55.41
2018-03-26,55.37,55.46,55.37,55.4,3921205.0,55.4
2018-03-23,55.4,55.48,55.33,55.33,5400350.0,55.33
2018-03-22,55.45,55.49,55.35,55.35,5692829.0,55.35
2018-03-21,55.43,55.5,55.37,55.39,4743781.0,55.39
2018-03-20,55.51,55.54,55.31,55.36,6430082.0,55.36
2018-03-19,55.4,55.555,55.37,55.44,4097631.0,55.44
2018-03-16,55.5,55.54,55.33,55.33,5260989.0,55.33
2018-03-15,55.4,55.53,55.35,55.42,3893201.0,55.42
2018-03-14,55.56,55.58,55.2,55.45,9318889.0,55.45
2018-03-13,55.6,55.7175,55.52,55.6,7531244.0,55.6
2018-03-12,55.72,55.73,55.53,55.56,12036620.0,55.56
2018-03-09,55.83,55.89,55.65,55.67,13901933.0,55.67
2018-03-08,55.81,55.9,55.76,55.8,11019817.0,55.8
2018-03-07,55.92,55.98,55.74,55.75,14585305.0,55.75
2018-03-06,55.99,56.11,55.83,55.91,19886343.0,55.91
2018-03-05,56.36,56.39,55.66,55.92,82908034.0,55.92
2018-03-02,42.61,43.54,42.3,43.3,3607867.0,43.3
2018-03-01,42.33,42.86,41.36,42.73,4635868.0,42.73
2018-02-28,42.72,43.04,42.3,42.31,1887863.0,42.31
2018-02-27,43.12,43.37,42.49,42.69,2739526.0,42.69
2018-02-26,43.52,43.54,42.91,43.12,1903694.0,43.12
2018-02-23,43.23,43.515,42.98,43.45,1591890.0,43.45
2018-02-22,42.66,43.94,42.66,43.1,2247173.0,43.1
2018-02-21,43.09,43.76,42.99,43.3,2494687.0,43.3
2018-02-20,43.66,43.76,42.6,43.0,3605604.0,43.0
2018-02-16,43.14,44.17,42.92,43.8,3241373.0,43.8
2018-02-15,43.65,43.79,42.75,43.12,3767316.0,43.12
2018-02-14,41.93,43.75,41.82,43.5,4619620.0,43.5
2018-02-13,41.52,42.1,41.34,41.9,3381553.0,41.9
2018-02-12,41.86,42.12,40.5,41.6,3913367.0,41.6
2018-02-09,41.63,42.27,40.66,41.86,5159346.0,41.86
2018-02-08,41.05,43.26,40.02,41.26,12693765.0,41.26
2018-02-07,37.41,42.39,37.37,42.0,22030913.0,42.0
2018-02-06,37.32,38.23,36.58,37.34,6216095.0,37.34
2018-02-05,37.6,39.08,37.4,37.68,8115291.0,37.68
2018-02-02,37.5,39.19,37.15,38.25,9156442.0,38.25
2018-02-01,36.73,37.17,36.63,36.79,3092299.0,36.79
2018-01-31,36.65,37.195,36.31,36.84,2653023.0,36.84
2018-01-30,36.61,37.47,36.61,36.62,3323171.0,36.62
2018-01-29,36.53,36.76,35.99,36.61,1451319.0,36.61
2018-01-26,36.79,36.83,36.01,36.67,2295864.0,36.67
2018-01-25,37.02,37.1505,36.52,36.88,2711020.0,36.88
2018-01-24,36.88,37.39,36.59,36.86,2726763.0,36.86
2018-01-23,35.99,36.81,35.71,36.78,2361811.0,36.78
2018-01-22,36.3,37.79,35.9,35.99,3995590.0,35.99
2018-01-19,35.22,35.59,35.02,35.45,2452324.0,35.45
2018-01-18,35.33,35.34,34.655,35.13,2261818.0,35.13
2018-01-17,35.5,35.5,35.05,35.33,1564902.0,35.33
2018-01-16,35.55,35.76,34.96,35.24,2595959.0,35.24
2018-01-12,35.15,35.52,34.561,35.49,3094431.0,35.49
2018-01-11,34.35,35.33,34.35,35.27,2890191.0,35.27
2018-01-10,34.22,34.66,34.07,34.23,2032517.0,34.23
2018-01-09,34.38,34.82,34.21,34.21,1702446.0,34.21
2018-01-08,34.48,34.6,34.23,34.46,2332506.0,34.46
2018-01-05,35.37,35.375,34.49,34.65,2033942.0,34.65
2018-01-04,34.5,35.35,34.42,35.24,3508706.0,35.24
2018-01-03,33.94,34.52,33.77,34.43,1975730.0,34.43
2018-01-02,35.21,35.21,33.86,34.02,2126356.0,34.02
2017-12-29,35.45,35.45,35.16,35.16,1016054.0,35.16
2017-12-28,35.3,35.39,35.02,35.37,1117434.0,35.37
2017-12-27,35.22,35.34,34.96,35.2,961831.0,35.2
2017-12-26,35.26,35.63,35.01,35.24,1102551.0,35.24
2017-12-22,35.15,35.27,34.92,35.17,1548575.0,35.17
2017-12-21,35.335,35.38,35.05,35.06,2092177.0,35.06
2017-12-20,35.44,35.61,35.07,35.19,2591380.0,35.19
2017-12-19,35.835,35.96,35.31,35.32,2763080.0,35.32
2017-12-18,36.49,36.52,35.37,35.51,2850790.0,35.51
2017-12-15,35.48,36.56,35.33,36.25,4028027.0,36.25
2017-12-14,35.81,36.05,35.04,35.11,2406998.0,35.11
2017-12-13,37.0,37.09,36.08,36.1,1915669.0,36.1
2017-12-12,36.97,37.22,36.88,37.03,1252605.0,37.03
2017-12-11,36.73,36.84,36.43,36.82,1387393.0,36.82
2017-12-08,36.68,36.87,36.27,36.87,2026113.0,36.87
2017-12-07,37.36,37.46,36.52,36.73,2034961.0,36.73
2017-12-06,37.37,37.68,37.11,37.45,1728960.0,37.45
2017-12-05,37.98,38.05,37.2,37.32,1928653.0,37.32
2017-12-04,38.68,38.79,37.89,37.94,2497704.0,37.94
2017-12-01,38.96,39.04,37.98,38.45,1697414.0,38.45
2017-11-30,39.7,39.93,38.55,38.82,4274629.0,38.82
2017-11-29,39.17,39.94,39.0,39.54,3178821.0,39.54
2017-11-28,38.82,39.185,38.48,39.03,1513632.0,39.03
2017-11-27,38.19,39.07,37.95,38.85,1940957.0,38.85
2017-11-24,38.31,38.42,37.98,38.08,511204.0,38.08
2017-11-22,38.28,38.6,37.97,38.25,1393349.0,38.25
2017-11-21,38.84,38.84,38.28,38.3,1231003.0,38.3
2017-11-20,38.61,38.75,38.23,38.72,2177282.0,38.72
2017-11-17,38.58,38.8,38.26,38.63,2699625.0,38.63
2017-11-16,39.29,39.33,38.65,38.67,2301582.0,38.67
2017-11-15,38.76,39.35,38.63,39.23,2335235.0,39.23
2017-11-14,39.21,39.25,38.78,39.0,2183115.0,39.0
2017-11-13,39.64,39.66,39.12,39.4,1675481.0,39.4
2017-11-10,40.15,40.27,39.57,39.71,1740633.0,39.71
2017-11-09,39.14,40.51,39.14,40.14,4498821.0,40.14
2017-11-07,39.8,40.57,39.74,39.91,2138585.0,39.91
2017-11-06,39.93,39.9836,39.33,39.69,2113378.0,39.69
2017-11-03,39.41,40.12,38.885,40.04,4284150.0,40.04
2017-11-02,40.435,40.71,38.48,39.48,5231810.0,39.48
2017-11-01,40.6,40.78,40.1,40.34,3093222.0,40.34
2017-10-31,41.28,41.67,40.325,40.47,2997247.0,40.47
2017-10-30,40.68,41.6,40.68,41.26,3309033.0,41.26
2017-10-27,40.83,41.1,40.31,40.8,1917866.0,40.8
2017-10-26,41.71,41.95,40.75,40.85,2922401.0,40.85
2017-10-25,41.47,42.83,41.2,41.49,2948585.0,41.49
2017-10-24,42.24,42.81,42.06,42.32,2577840.0,42.32
2017-10-23,42.39,42.58,41.9,42.21,2213262.0,42.21
2017-10-20,42.96,42.99,42.295,42.51,2830931.0,42.51
2017-10-19,41.18,42.49,41.155,42.46,3116210.0,42.46
2017-10-18,42.03,42.065,41.22,41.34,3887897.0,41.34
2017-10-17,41.77,42.08,41.315,42.02,4584020.0,42.02
2017-10-16,41.59,42.545,41.24,41.64,4517383.0,41.64
2017-10-13,39.4,41.63,38.97,41.51,6365754.0,41.51
2017-10-12,40.63,40.94,40.03,40.67,5269168.0,40.67
2017-10-11,39.42,39.46,38.89,39.35,2376552.0,39.35
