Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,74.87,74.97,71.75,72.08,2889394.0,72.08
2018-03-26,73.31,74.53,72.85,74.2,2988131.0,74.2
2018-03-23,73.96,74.31,71.85,71.87,2280531.0,71.87
2018-03-22,74.53,75.33,73.89,73.94,1608297.0,73.94
2018-03-21,76.09,76.75,75.53,75.67,1846902.0,75.67
2018-03-20,75.11,76.21,75.11,76.19,1722496.0,76.19
2018-03-19,75.77,75.99,74.2,74.99,2434014.0,74.99
2018-03-16,75.78,76.62,75.52,76.03,3362227.0,76.03
2018-03-15,76.26,76.78,75.24,75.83,1469589.0,75.83
2018-03-14,76.57,76.61,75.36,76.01,2164121.0,76.01
2018-03-13,77.51,78.02,75.29,76.14,4167507.0,76.14
2018-03-12,76.91,77.96,76.84,77.07,2469031.0,77.07
2018-03-09,75.8,76.9,75.8,76.2,2817032.0,76.2
2018-03-08,74.37,75.74,74.01,75.69,3384807.0,75.69
2018-03-07,73.16,74.185,72.94,73.94,1867115.0,73.94
2018-03-06,73.34,74.57,73.01,73.98,1934626.0,73.98
2018-03-05,71.48,73.43,71.2,72.8,1974235.0,72.8
2018-03-02,70.06,72.36,69.8,72.23,2438002.0,72.23
2018-03-01,71.38,71.865,69.85,70.8,2485083.0,70.8
2018-02-28,72.23,72.65,71.0,71.25,2350508.0,71.25
2018-02-27,71.44,73.16,71.3,71.44,2260500.0,71.44
2018-02-26,70.52,71.68,70.52,71.49,1847093.0,71.49
2018-02-23,69.49,70.1,68.77,70.035,1775652.0,70.035
2018-02-22,68.69,69.56,68.5,68.93,2225117.0,68.93
2018-02-21,69.18,69.8017,68.45,68.46,2368314.0,68.46
2018-02-20,66.92,69.39,66.92,69.19,2685794.0,69.19
2018-02-16,67.06,67.7173,66.85,67.09,1626305.0,67.09
2018-02-15,67.56,67.69,66.29,67.22,1792719.0,67.22
2018-02-14,64.92,67.49,64.92,66.86,3213704.0,66.86
2018-02-13,64.46,65.45,63.91,65.29,2086188.0,65.29
2018-02-12,65.48,66.82,64.86,65.12,2891736.0,65.12
2018-02-09,63.74,66.08,62.27,65.35,4948916.0,65.35
2018-02-08,67.15,67.26,62.83,62.83,3348954.0,62.83
2018-02-07,68.34,69.02,66.96,66.97,1956056.0,66.97
2018-02-06,65.55,69.04,64.51,68.99,5253908.0,68.99
2018-02-05,70.04,70.25,66.7,67.35,3387996.0,67.35
2018-02-02,71.82,72.59,70.61,70.64,2910943.0,70.64
2018-02-01,72.77,73.81,72.3,72.49,3919429.0,72.49
2018-01-31,72.7,73.21,71.92,73.02,2777907.0,73.02
2018-01-30,71.5,72.44,71.17,72.13,2403226.0,72.13
2018-01-29,71.5,72.49,70.9,72.18,3618444.0,72.18
2018-01-26,70.9,71.95,70.22,71.94,4796678.0,71.94
2018-01-25,74.82,75.0,69.66,69.74,5834703.0,69.74
2018-01-24,74.76,74.87,73.28,73.48,4446762.0,73.48
2018-01-23,75.59,76.0,75.435,75.54,2155905.0,75.54
2018-01-22,75.72,75.97,75.108,75.44,2079412.0,75.44
2018-01-19,77.0,77.26,75.54,75.71,1952436.0,75.71
