Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,51.15,51.27,49.86,50.03,3051143.0,50.03
2018-03-26,51.25,51.965,50.305,51.1,3503019.0,51.1
2018-03-23,52.69,53.105,50.62,50.71,2533868.0,50.71
2018-03-22,53.85,53.97,52.635,52.66,2788169.0,52.66
2018-03-21,54.58,54.89,53.68,54.13,3090457.0,54.13
2018-03-20,55.65,55.97,54.57,54.6,1731439.0,54.6
2018-03-19,56.32,56.705,55.16,55.46,1941887.0,55.46
2018-03-16,56.75,57.44,56.29,56.33,3596963.0,56.33
2018-03-15,57.19,57.83,56.8,56.95,1237598.0,56.95
2018-03-14,58.05,58.255,57.12,57.3,956582.0,57.3
2018-03-13,58.65,58.87,57.74,57.8,1028374.0,57.8
2018-03-12,57.92,58.6,57.53,58.42,1337697.0,58.42
2018-03-09,57.31,58.12,56.88,57.67,2022800.0,57.67
2018-03-08,56.47,57.2,56.35,56.95,1355134.0,56.95
2018-03-07,56.21,56.77,56.06,56.43,1856600.0,56.43
2018-03-06,55.83,56.63,55.68,56.37,1528968.0,56.37
2018-03-05,56.51,56.51,54.24,55.86,2180930.0,55.86
2018-03-02,53.92,57.24,53.39,56.96,3023438.0,56.96
2018-03-01,55.49,56.26,54.41,55.29,3126805.0,55.29
2018-02-28,57.39,57.61,56.0,56.06,2674967.0,56.06
2018-02-27,57.26,58.07,57.21,57.33,2649273.0,57.33
2018-02-26,57.77,57.8,56.58,57.05,4396928.0,57.05
2018-02-23,57.9,57.9,56.37,57.67,2109236.0,57.67
2018-02-22,58.13,58.47,57.06,57.11,1690744.0,57.11
2018-02-21,58.06,58.97,57.93,58.06,2293400.0,58.06
2018-02-20,58.42,59.17,57.98,58.15,2880265.0,58.15
2018-02-16,57.91,59.04,57.91,58.43,1921173.0,58.43
2018-02-15,57.69,57.89,56.9,57.7,1844703.0,57.7
2018-02-14,56.47,57.35,56.47,57.18,1815344.0,57.18
2018-02-13,56.79,57.27,56.2,56.99,1556196.0,56.99
2018-02-12,57.59,57.94,56.91,57.38,1575608.0,57.38
2018-02-09,57.12,57.89,56.445,57.16,3196535.0,57.16
2018-02-08,58.3,58.49,56.86,56.865,1938016.0,56.865
2018-02-07,58.09,59.15,54.28,58.315,2255662.0,58.315
2018-02-06,57.09,58.71,57.02,58.44,2032446.0,58.44
2018-02-05,60.06,60.54,58.58,58.815,1512526.0,58.815
2018-02-02,60.46,60.59,60.04,60.06,1354524.0,60.06
2018-02-01,60.55,60.94,60.29,60.73,1369016.0,60.73
2018-01-31,61.5,61.5,60.33,60.81,1882579.0,60.81
2018-01-30,61.86,62.27,61.12,61.4,1357146.0,61.4
2018-01-29,62.7,62.93,61.92,61.98,2006407.0,61.98
2018-01-26,62.76,62.92,62.13,62.84,1764677.0,62.84
2018-01-25,61.65,63.03,61.59,62.81,2544801.0,62.81
2018-01-24,61.68,62.5,61.26,61.83,5400820.0,61.83
2018-01-23,60.0,61.301,59.6,61.17,6489647.0,61.17
2018-01-22,62.04,62.25,60.62,60.8,2747298.0,60.8
2018-01-19,62.52,62.9598,61.78,61.95,2237249.0,61.95
2018-01-18,62.56,63.02,61.97,62.31,2176728.0,62.31
2018-01-17,64.45,64.45,61.51,62.65,5271167.0,62.65
2018-01-16,65.87,65.895,65.0123,65.65,1219168.0,65.65
2018-01-12,64.54,65.9,64.09,65.79,1661742.0,65.79
2018-01-11,62.8,64.32,62.195,64.25,6571095.0,64.25
2018-01-10,65.47,65.665,62.57,62.76,4326319.0,62.76
2018-01-09,68.4,68.4,65.4,65.45,2673087.0,65.45
2018-01-08,67.87,68.47,67.43,68.3,1178534.0,68.3
2018-01-05,67.13,67.94,66.8,67.84,1327106.0,67.84
2018-01-04,67.05,67.1,66.625,66.9,1049572.0,66.9
2018-01-03,67.0,67.27,66.48,66.91,1527545.0,66.91
2018-01-02,66.0,67.23,66.0,67.14,1620714.0,67.14
2017-12-29,66.3,66.72,65.77,65.83,909355.0,65.83
2017-12-28,66.16,66.6,65.62,66.43,708637.0,66.43
2017-12-27,66.36,66.72,65.92,66.03,908381.0,66.03
2017-12-26,65.98,67.02,65.82,66.26,855568.0,66.26
2017-12-22,65.35,65.88,65.07,65.82,598555.0,65.82
2017-12-21,66.19,66.36,65.26,65.5,863475.0,65.5
2017-12-20,66.46,66.66,66.06,66.15,1029632.0,66.15
2017-12-19,66.64,67.08,66.35,66.6,992632.0,66.6
2017-12-18,67.35,67.35,66.45,66.65,1326999.0,66.65
2017-12-15,66.13,66.8,65.62,66.48,1592100.0,66.48
2017-12-14,66.02,66.41,65.52,65.65,919040.0,65.65
2017-12-13,66.15,67.06,65.93,66.06,1596848.0,66.06
2017-12-12,65.1,65.405,64.86,64.99,1057409.0,64.99
2017-12-11,64.83,65.11,64.65,65.02,1585873.0,65.02
2017-12-08,65.91,66.0,64.84,64.9,1946416.0,64.9
2017-12-07,65.11,65.555,64.93,64.99,2101510.0,64.99
2017-12-06,64.97,65.82,64.97,65.5,1168099.0,65.5
2017-12-05,65.79,66.2599,65.47,65.61,1507105.0,65.61
2017-12-04,66.48,66.78,65.72,65.75,1642544.0,65.75
2017-12-01,67.0,67.34,65.43,66.08,1917506.0,66.08
2017-11-30,67.35,67.96,66.3,67.01,2585148.0,67.01
2017-11-29,68.42,68.51,67.67,68.36,1864323.0,68.36
2017-11-28,68.55,68.98,68.29,68.58,1935236.0,68.58
2017-11-27,67.47,68.21,66.73,68.0,1118980.0,68.0
2017-11-24,67.22,67.58,67.2,67.51,589619.0,67.51
2017-11-22,66.84,67.78,66.62,67.59,1191698.0,67.59
2017-11-21,66.1,67.11,65.75,67.01,1826049.0,67.01
2017-11-20,67.36,67.5499,65.92,66.43,1994509.0,66.43
2017-11-17,67.06,67.67,66.975,67.55,1372951.0,67.55
2017-11-16,66.88,67.26,66.575,67.18,1407978.0,67.18
2017-11-15,65.78,66.99,65.56,66.6,2531473.0,66.6
2017-11-14,65.34,65.895,64.96,65.39,2288530.0,65.39
2017-11-13,65.26,66.21,65.2491,65.8,2051446.0,65.8
2017-11-10,65.21,65.6,64.65,65.58,1930083.0,65.58
2017-11-09,63.99,65.66,63.98,65.56,1868825.0,65.56
2017-11-07,63.78,64.41,63.43,64.38,2283520.0,64.38
2017-11-06,65.72,67.95,63.09,63.87,2834848.0,63.87
2017-11-03,62.16,66.0,61.94,64.8,4669633.0,64.8
2017-11-02,61.26,61.61,60.79,61.16,2362042.0,61.16
2017-11-01,61.37,61.74,61.06,61.16,1815797.0,61.16
2017-10-31,61.29,61.63,60.8,61.07,1812263.0,61.07
2017-10-30,61.17,61.36,60.6701,61.28,1309243.0,61.28
2017-10-27,60.94,61.6,60.73,61.35,1561584.0,61.35
2017-10-26,61.33,61.83,61.02,61.37,1205963.0,61.37
2017-10-25,60.91,61.28,60.66,61.0,1653226.0,61.0
2017-10-24,61.75,61.77,60.98,61.09,2835547.0,61.09
2017-10-23,62.05,62.18,61.4,61.82,2301044.0,61.82
2017-10-20,60.87,62.23,60.29,61.84,2209217.0,61.84
2017-10-19,59.6,60.7,59.39,60.675,1846714.0,60.675
2017-10-18,59.2,59.57,59.11,59.5,2399815.0,59.5
2017-10-17,59.2,59.575,58.89,59.5,1684161.0,59.5
2017-10-16,58.26,59.22,58.25,59.19,1981087.0,59.19
2017-10-13,58.39,58.69,57.79,58.22,1398142.0,58.22
2017-10-12,57.4,58.485,57.085,58.41,1873499.0,58.41
2017-10-11,57.45,57.56,56.99,57.32,1387809.0,57.32
