Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,109.89,110.31,107.88,108.48,1218348.0,108.48
2018-03-26,108.38,109.92,107.69,109.76,1267233.0,109.76
2018-03-23,109.58,110.22,107.32,107.44,2508253.0,107.44
2018-03-22,113.64,114.42,111.32,111.38,1199350.0,111.38
2018-03-21,114.66,115.08,113.875,114.38,936458.0,114.38
2018-03-20,115.01,115.22,113.65,114.4,923130.0,114.4
2018-03-19,116.73,116.74,113.9,114.75,888603.0,114.75
2018-03-16,116.2,117.48,116.2,116.83,1213376.0,116.83
2018-03-15,116.92,117.9,115.37,115.92,1197174.0,115.92
2018-03-14,118.54,118.745,115.79,116.24,1110312.0,116.24
2018-03-13,118.6,118.84,117.51,117.92,1456517.0,117.92
2018-03-12,120.91,121.12,117.82,118.26,1877661.0,118.26
2018-03-09,120.74,121.435,120.14,120.86,870949.0,120.86
2018-03-08,121.7,121.7,119.71,120.21,1176774.0,120.21
2018-03-07,117.33,121.66,117.33,121.0,1345883.0,121.0
2018-03-06,118.38,118.55,116.93,118.09,1098694.0,118.09
2018-03-05,116.64,118.66,116.26,118.13,1048505.0,118.13
2018-03-02,113.23,117.44,113.0101,117.05,1181906.0,117.05
2018-03-01,116.0,116.59,112.5201,113.55,1044619.0,113.55
2018-02-28,118.15,118.93,116.22,116.25,810326.0,116.25
2018-02-27,119.92,120.2,118.12,118.14,833269.0,118.14
2018-02-26,118.9,120.03,118.4,119.88,627134.0,119.88
2018-02-23,118.38,118.94,117.62,118.85,624758.0,118.85
2018-02-22,119.25,120.0,117.34,117.58,874618.0,117.58
2018-02-21,119.33,120.7,118.66,118.68,982483.0,118.68
2018-02-20,119.8,120.72,118.5,118.72,654609.0,118.72
2018-02-16,119.7,121.66,118.93,120.48,692179.0,120.48
2018-02-15,118.15,119.9,117.8,119.79,1262872.0,119.79
2018-02-14,115.23,117.96,115.23,117.7,752752.0,117.7
2018-02-13,115.83,116.18,114.87,115.93,1053813.0,115.93
2018-02-12,116.96,117.4935,115.05,116.52,1456370.0,116.52
2018-02-09,116.05,117.41,112.97,116.39,2142699.0,116.39
2018-02-08,120.5,120.64,115.5,115.53,1656527.0,115.53
2018-02-07,121.65,123.52,120.74,120.78,1145133.0,120.78
2018-02-06,121.0,122.93,119.5,122.3,2112083.0,122.3
2018-02-05,124.79,127.42,122.37,123.18,2066533.0,123.18
2018-02-02,127.05,127.2,125.61,125.79,1385952.0,125.79
2018-02-01,126.35,128.72,125.71,128.19,1736000.0,128.19
2018-01-31,126.63,129.06,125.17,127.12,1771911.0,127.12
2018-01-30,123.05,129.15,121.52,125.94,2854520.0,125.94
2018-01-29,126.29,129.338,126.25,127.39,2510263.0,127.39
2018-01-26,124.76,126.52,124.03,126.23,1368441.0,126.23
2018-01-25,125.81,125.81,124.14,124.74,1032938.0,124.74
2018-01-24,125.05,125.82,124.27,125.02,1045276.0,125.02
2018-01-23,125.65,125.95,124.03,124.51,1084551.0,124.51
2018-01-22,123.5,126.27,122.89,126.2,1327758.0,126.2
2018-01-19,122.235,124.69,122.235,123.48,1789174.0,123.48
2018-01-18,122.42,122.76,121.55,122.19,1046051.0,122.19
2018-01-17,122.24,122.8299,121.71,122.49,1167947.0,122.49
2018-01-16,122.32,123.05,121.09,121.68,1396492.0,121.68
2018-01-12,122.82,123.04,121.58,122.1,1014384.0,122.1
2018-01-11,122.77,123.14,121.195,122.29,1261739.0,122.29
2018-01-10,124.12,124.4,120.765,122.53,1833239.0,122.53
2018-01-09,126.72,127.02,124.05,124.19,1987943.0,124.19
2018-01-08,125.66,126.71,125.1,126.22,1249454.0,126.22
2018-01-05,124.89,126.21,124.3119,125.98,1062159.0,125.98
2018-01-04,125.29,126.71,123.41,124.74,1059987.0,124.74
2018-01-03,124.71,125.4,123.95,124.92,1328849.0,124.92
2018-01-02,121.0,124.27,120.555,124.06,1765277.0,124.06
2017-12-29,121.75,121.95,120.62,120.67,1021850.0,120.67
2017-12-28,120.18,121.95,119.27,121.75,991529.0,121.75
2017-12-27,120.0,120.93,119.84,120.14,823787.0,120.14
2017-12-26,120.17,120.57,119.82,119.96,372808.0,119.96
2017-12-22,119.9,120.24,119.63,120.12,714110.0,120.12
2017-12-21,121.54,121.89,119.81,119.95,1083213.0,119.95
2017-12-20,120.97,122.39,120.62,121.18,1485003.0,121.18
2017-12-19,119.305,124.17,118.35,121.38,4409895.0,121.38
2017-12-18,116.21,116.3,114.3,114.43,1231286.0,114.43
2017-12-15,113.59,115.63,113.46,115.24,2125344.0,115.24
2017-12-14,113.59,113.9,112.8,112.82,1282219.0,112.82
2017-12-13,113.25,114.53,113.25,113.52,1687049.0,113.52
2017-12-12,113.64,114.46,113.39,113.54,1439870.0,113.54
2017-12-11,113.18,114.07,113.18,113.51,993526.0,113.51
2017-12-08,114.8,115.0,112.65,113.38,1656416.0,113.38
2017-12-07,115.9,116.23100000000001,114.5,114.78,960357.0,114.78
2017-12-06,115.18,115.99,114.65,115.78,916535.0,115.78
2017-12-05,115.41,116.105,114.56,115.49,1236176.0,115.49
2017-12-04,115.06,116.27,114.59,114.82,1382147.0,114.82
2017-12-01,117.34,117.67,113.81,114.57,1487885.0,114.57
2017-11-30,116.71,117.72,116.005,117.1,1747236.0,117.1
2017-11-29,115.5,116.74,115.0,116.52,1749712.0,116.52
2017-11-28,113.39,115.38,112.37,115.21,1716825.0,115.21
2017-11-27,113.41,113.66,112.64,113.39,830341.0,113.39
2017-11-24,112.95,113.31,112.08,113.07,289061.0,113.07
2017-11-22,113.53,113.66,112.46,113.07,767776.0,113.07
2017-11-21,112.99,114.32,112.56,113.56,935088.0,113.56
2017-11-20,112.0,112.68,111.61,112.18,938786.0,112.18
2017-11-17,111.5,112.36,111.5,111.61,1031586.0,111.61
2017-11-16,111.31,112.95,110.98,112.24,1574680.0,112.24
2017-11-15,111.97,112.19,110.34,111.08,1089380.0,111.08
2017-11-14,112.84,112.97,111.12,112.21,1308118.0,112.21
2017-11-13,110.08,111.3,109.88,111.06,1036681.0,111.06
2017-11-10,111.28,111.76,109.57,110.75,952750.0,110.75
2017-11-09,109.03,111.86,108.93,111.84,1614488.0,111.84
2017-11-07,109.98,109.98,108.17,108.72,1268521.0,108.72
2017-11-06,109.32,110.515,108.95,109.34,2481222.0,109.34
2017-11-03,110.08,111.0,108.54,109.25,3876137.0,109.25
2017-11-02,114.9,115.155,111.29,112.32,3465652.0,112.32
2017-11-01,111.91,117.125,110.79,115.09,4543526.0,115.09
2017-10-31,121.72,122.4295,120.885,121.62,1468911.0,121.62
2017-10-30,123.38,123.89,120.88,121.35,1548489.0,121.35
2017-10-27,122.04,124.75,121.01,124.46,1489414.0,124.46
2017-10-26,121.5,121.99,120.77,121.0,1180948.0,121.0
2017-10-25,121.0,121.69,119.93,121.51,916158.0,121.51
2017-10-24,121.95,122.11,120.34,121.21,1321952.0,121.21
2017-10-23,122.55,123.82,121.64,121.7,867110.0,121.7
2017-10-20,122.37,122.8274,121.32,122.35,788536.0,122.35
2017-10-19,120.9,121.94,120.17,121.88,898090.0,121.88
2017-10-18,120.12,120.87,119.87,120.69,875251.0,120.69
2017-10-17,119.67,119.98,118.8,119.93,741270.0,119.93
2017-10-16,119.6,119.84,119.03,119.51,1350936.0,119.51
2017-10-13,120.35,120.59,119.02,119.7,798657.0,119.7
2017-10-12,118.35,120.75,118.06,120.63,1474703.0,120.63
2017-10-11,118.2,118.77,117.75,118.64,893960.0,118.64
2017-10-10,117.52,118.76,117.52,118.41,1033284.0,118.41
2017-10-09,119.24,119.24,117.05,117.52,960654.0,117.52
2017-10-06,118.58,119.32,118.06,119.27,858435.0,119.27
2017-10-05,117.56,119.59,117.27,119.16,1045703.0,119.16
2017-10-04,116.16,117.62,115.865,117.53,1458433.0,117.53
2017-10-03,117.99,118.12,116.08,116.15,1052710.0,116.15
2017-10-02,117.32,118.21,116.55,117.7,807793.0,117.7
2017-09-29,115.72,117.14,115.4,117.09,1056405.0,117.09
2017-09-28,116.11,116.3,115.12,115.66,984864.0,115.66
2017-09-27,115.16,116.37,114.36,116.25,1181501.0,116.25
2017-09-26,114.52,115.56,114.16,114.75,1008162.0,114.75
2017-09-25,114.39,115.47,112.9701,114.37,1381039.0,114.37
2017-09-22,113.09,114.48,112.655,114.4,1592356.0,114.4
2017-09-21,116.25,116.305,112.68,113.06,1396197.0,113.06
2017-09-20,115.65,116.67,115.23,116.22,1234919.0,115.97381465136999
2017-09-19,116.35,116.98,115.31,115.48,2207083.0,115.23538217123001
2017-09-18,115.61,116.4,115.24,116.3,1336350.0,116.05364518976002
2017-09-15,115.93,116.12,114.44,115.47,1588095.0,115.22540335392999
2017-09-14,115.7,116.35,115.62,115.99,1094237.0,115.74430185348999
2017-09-13,116.32,116.53,115.29,115.89,916304.0,115.64451368049
2017-09-12,115.74,117.49,115.34,116.43,985934.0,116.18336981465
2017-09-11,116.25,116.8899,115.61,115.8,933360.0,115.5547043248
2017-09-08,115.33,116.61,114.92,115.7,999293.0,115.45491615181001
2017-09-07,115.63,116.12,115.255,115.67,668584.0,115.42497969991001
2017-09-06,114.53,115.84,113.86,115.63,975773.0,115.38506443071002
2017-09-05,114.07,115.33,113.42,114.24,1501478.0,113.99800882613
2017-09-01,114.47,114.72,113.505,114.33,711769.0,114.08781818182
2017-08-31,113.51,114.93,113.2,114.27,1230255.0,114.02794527802
2017-08-30,112.81,113.07,111.99,113.01,1079733.0,112.77061429831998
2017-08-29,112.38,113.14,111.88,112.82,703919.0,112.58101676963999
2017-08-28,113.57,113.65,112.33,112.89,764181.0,112.65086849073
2017-08-25,113.49,113.94,113.12,113.19,740961.0,112.95023300971
2017-08-24,112.83,113.955,112.41,112.85,983125.0,112.61095322153999
2017-08-23,113.04,113.45,111.9501,112.28,1089038.0,112.04216063548
2017-08-22,112.75,114.09,112.54,113.96,1624314.0,113.71860194175
2017-08-21,111.63,113.18,111.55,112.77,1206185.0,112.53112268314
2017-08-18,112.47,112.47,111.33,111.38,1031402.0,111.14406707855
2017-08-17,113.0,114.09,112.35,112.42,1053873.0,112.18186407767
2017-08-16,113.68,114.3,112.94,113.08,1515479.0,112.84046601941999
2017-08-15,113.02,113.4,112.17,112.97,1353432.0,112.73069902913001
2017-08-14,112.58,113.65,111.83,112.51,956488.0,112.27167343336001
2017-08-11,110.43,112.36,110.25,111.7,1497099.0,111.46338923213001
2017-08-10,112.42,112.58,110.09,110.13,2210611.0,109.89671491615
2017-08-09,113.95,114.28,112.2209,112.86,1846659.0,112.62093203883002
2017-08-08,117.08,117.08,114.57,115.04,1549411.0,114.79631421006
2017-08-07,117.92,117.99,116.85,117.19,807046.0,116.94175992938999
2017-08-04,117.27,118.08,116.34,117.93,1694632.0,117.68019240953001
2017-08-03,117.21,118.16,116.39,117.16,2028990.0,116.91182347748999
2017-08-02,120.27,120.34,117.39,117.69,2555814.0,117.44070079435
2017-08-01,121.81,121.81,120.25,120.32,2152427.0,120.06512974404
2017-07-31,123.7,123.7,121.07,121.32,2257376.0,121.06301147396002
2017-07-28,124.76,124.97,123.66,123.78,1516681.0,123.51780052956998
2017-07-27,127.59,127.6,124.89,125.44,3001097.0,125.17428420123998
2017-07-26,128.82,129.3,128.5,128.7,1322869.0,128.42737864078
2017-07-25,129.2,129.44,128.19,128.77,1210190.0,128.49723036187
2017-07-24,129.82,129.95,127.9,128.79,1734583.0,128.51718799647
2017-07-21,129.55,130.21,129.17,129.61,908142.0,129.335451015
2017-07-20,131.4,131.48,129.34,129.47,2483652.0,129.19574757281998
2017-07-19,131.35,132.2,130.87,131.07,1398315.0,130.79235834069
2017-07-18,132.28,132.62,130.69,131.18,1510939.0,130.90212533098
2017-07-17,132.51,133.49,131.9,132.61,943324.0,132.32909620477
2017-07-14,129.26,133.09,129.21,132.49,1809157.0,132.20935039718
2017-07-13,126.53,130.97,125.845,128.98,4099330.0,128.70678552515
2017-07-12,128.46,128.99,125.62,126.36,3141586.0,126.09233539276
2017-07-11,127.39,127.5,126.47,126.49,1160638.0,126.22206001765
2017-07-10,127.12,127.71,126.87,127.4,1025625.0,127.13013239188
2017-07-07,125.95,127.695,125.48,127.11,1010197.0,126.8407466902
2017-07-06,127.12,127.53,125.4,125.63,1531228.0,125.36388172991998
2017-07-05,128.55,128.98,126.32,127.77,1859239.0,127.49934863195
2017-07-03,129.01,129.1,128.2,128.38,546059.0,128.1080564872
2017-06-30,127.89,128.92,127.89,128.4,736028.0,128.1280141218
2017-06-29,128.94,128.95,127.0,127.89,1311021.0,127.61909443953999
2017-06-28,129.15,129.42,128.37,128.51,1121646.0,128.23778111209
2017-06-27,128.82,129.11,127.78,128.25,926845.0,127.97833186231001
2017-06-26,129.34,129.82,128.48,129.06,1016904.0,128.78661606354999
2017-06-23,129.65,129.65,128.86,129.09,2286417.0,128.81655251545
2017-06-22,128.54,130.2,128.54,129.39,1143507.0,129.11591703442
2017-06-21,127.59,128.97,126.76,128.52,1091267.0,128.24775992938999
2017-06-20,127.26,127.89,127.085,127.22,860377.0,126.71388644157
2017-06-19,126.22,127.2699,125.8,127.09,909935.0,126.58440361468
2017-06-16,126.2,126.38,125.43,125.92,1082531.0,125.41905817263999
2017-06-15,124.86,126.2,124.415,125.84,849889.0,125.33937643301
2017-06-14,125.97,126.0,124.96,125.6,798398.0,125.10033121413
2017-06-13,124.76,125.77,124.53,125.47,648404.0,124.97084838724
2017-06-12,124.58,125.09,122.92,125.0,1023838.0,124.50271816693001
2017-06-09,125.19,125.94,123.74,125.01,1316068.0,124.51267838438
2017-06-08,124.54,125.56,123.9,125.17,1028588.0,124.67204186363999
2017-06-07,124.5,124.73,123.9,124.35,835690.0,123.85530403246
2017-06-06,123.5,124.445,123.5,124.17,1117498.0,123.6760201183
2017-06-05,124.34,124.34,123.19,123.93,1027618.0,123.43697489942
2017-06-02,121.75,124.35,121.75,123.94,1392690.0,123.44693511687001
2017-06-01,119.68,123.05,119.31,122.67,1626238.0,122.18198750030001
2017-05-31,118.43,119.41,117.6,119.21,812542.0,118.73575226143998
2017-05-30,118.62,119.05,118.02,118.43,520728.0,117.95885530008002
2017-05-26,119.45,119.65,118.91,119.23,648146.0,118.75567269633999
2017-05-25,119.36,119.89,118.96,119.3,631236.0,118.82539421851999
2017-05-24,117.9,119.19,117.4,119.1,1164757.0,118.62618986945
2017-05-23,117.99,118.29,117.28,117.81,1257182.0,117.34132181796998
2017-05-22,118.06,118.06,116.93,117.79,1016001.0,117.32140138306002
2017-05-19,117.57,117.95,116.22,117.67,992640.0,117.20187877362
2017-05-18,117.72,118.6,116.82,117.26,1089185.0,116.79350985803002
2017-05-17,119.0,119.56,117.37,117.72,1766301.0,117.25167986089
2017-05-16,120.15,121.7,118.4,119.78,3868318.0,119.30348465628
2017-05-15,120.98,123.12,120.1,122.33,2451062.0,121.84334010687999
2017-05-12,120.86,122.93,120.55,121.26,2021467.0,120.77759683938
2017-05-11,119.83,121.16,118.64,121.02,2010652.0,120.53855162049
2017-05-10,118.49,119.71,118.04,119.49,1349640.0,119.01463835013
2017-05-09,116.85,118.84,116.8,118.66,1453353.0,118.18794030149999
2017-05-08,116.61,117.21,116.03,116.91,1233047.0,116.44490224716999
2017-05-05,117.46,117.46,115.75,116.54,1353636.0,116.07637420139
2017-05-04,119.35,119.68,116.18,116.85,2343486.0,116.38514094245001
2017-05-03,120.46,120.73,118.6,119.43,1082698.0,118.95487704541
2017-05-02,120.9,121.25,120.29,120.63,1160130.0,120.15010313981001
2017-05-01,119.69,121.95,119.0,120.82,2195741.0,120.33934727143
2017-04-28,117.75,119.8969,117.03,119.65,2360624.0,119.17400182939
2017-04-27,115.5,118.5,115.0,118.1,5906353.0,117.63016812411999
2017-04-26,124.65,125.42,123.97,125.32,1743574.0,124.82144512544
2017-04-25,123.4,124.76,123.01,124.51,1014491.0,124.01466751171999
2017-04-24,122.47,123.52,121.82,123.27,903206.0,122.7796005475
2017-04-21,121.66,122.065,120.805,121.19,814241.0,120.70787531719999
2017-04-20,120.33,122.25,119.46,121.85,833455.0,121.36524966911999
2017-04-19,120.2,120.78,119.53,120.26,797483.0,119.78157509404
2017-04-18,120.58,120.895,119.17,119.57,953037.0,119.09432008976002
2017-04-17,120.02,121.16,119.74,121.16,555660.0,120.67799466483999
2017-04-13,119.03,120.23,118.34,119.53,688388.0,119.05447921993999
2017-04-12,118.91,119.6,118.52,119.17,657459.0,118.69591139161999
2017-04-11,119.81,120.03,119.2514,119.58,497787.0,119.10428030721
2017-04-10,119.98,120.77,119.77,120.03,457851.0,119.55249009261001
2017-04-07,120.12,120.43,119.77,119.88,436757.0,119.40308683081001
2017-04-06,120.42,120.47,119.58,120.2,885907.0,119.72181378932
2017-04-05,120.76,121.55,120.05,120.18,783901.0,119.70189335441002
2017-04-04,121.64,121.795,119.71,120.77,577002.0,120.28954618416
2017-04-03,121.98,122.28,120.28,121.35,971768.0,120.86723879646001
2017-03-31,120.79,122.4581,120.52,122.11,860921.0,121.62421532291
2017-03-30,120.97,121.91,120.9,121.36,526504.0,120.87719901391
2017-03-29,120.84,121.77,120.74,121.37,507427.0,120.88715923136002
2017-03-28,120.89,121.46,119.94,121.19,888909.0,120.46965568003
2017-03-27,119.51,120.45,118.82,120.29,1450144.0,119.57500521290001
2017-03-24,120.4,121.11,120.31,120.66,716485.0,119.9428059605
2017-03-23,121.24,121.72,120.11,120.4,999707.0,119.6843513811
2017-03-22,120.96,122.4,120.6,121.38,1005811.0,120.65852633421001
2017-03-21,122.0,123.15,120.6,120.98,1339068.0,120.26090390437
2017-03-20,121.6,122.27,121.1,121.65,1342973.0,120.92692147435
2017-03-17,119.35,122.09,118.84,121.67,2289891.0,120.94680259584
2017-03-16,120.2,120.2,118.85,119.41,1081384.0,118.70023586726002
2017-03-15,119.1,120.17,118.57,119.65,1016267.0,118.93880932516001
2017-03-14,119.2,119.71,118.465,118.68,961606.0,117.97457493280001
2017-03-13,120.25,120.64,119.21,119.79,1630847.0,119.0779771756
2017-03-10,119.25,120.4,119.25,120.08,1544366.0,119.36625343723
2017-03-09,117.84,119.45,116.96,119.18,1116468.0,118.47160297010001
2017-03-08,117.08,117.89,116.64,117.6,904833.0,116.90099437223999
2017-03-07,116.83,117.33,116.21,117.07,887630.0,116.37414465271002
2017-03-06,117.49,117.76,116.93,117.22,851775.0,116.52325306389
2017-03-03,117.93,118.38,117.3,118.28,708081.0,117.57695250296001
2017-03-02,118.5,118.6,117.52,118.02,772240.0,117.31849792357
2017-03-01,117.56,119.45,117.35,118.89,1101843.0,118.18332670847
2017-02-28,116.97,117.48,116.63,117.08,1244188.0,116.38408521344999
2017-02-27,117.1,117.3,116.33,116.96,1578240.0,116.2647984845
2017-02-24,115.91,117.07,115.64,116.92,990259.0,116.22503624152
2017-02-23,117.03,117.39,115.49,116.38,1463677.0,115.68824596123999
2017-02-22,116.87,117.25,116.36,116.9,1327892.0,116.20515512002
2017-02-21,116.94,117.5499,116.54,117.17,1495848.0,116.47355026017
2017-02-17,116.21,116.87,115.33,116.87,1220881.0,116.17533343778999
2017-02-16,117.57,118.0,115.87,116.32,1490726.0,115.62860259676
2017-02-15,116.76,117.75,116.7105,117.31,1160216.0,116.61271811061
2017-02-14,117.38,117.75,116.68,117.18,1129794.0,116.48349082091002
2017-02-13,117.43,118.1199,117.24,117.75,659936.0,117.05010278343
2017-02-10,117.54,117.8114,116.87,117.33,780506.0,116.63259923209999
2017-02-09,117.48,118.1,117.11,117.6,1001989.0,116.90099437223999
2017-02-08,117.87,118.22,116.85,117.15,1010993.0,116.45366913866998
2017-02-07,117.83,118.38,117.11,118.11,800086.0,117.40796297028
2017-02-06,117.78,118.275,116.73,117.24,1075180.0,116.54313418539
2017-02-03,118.2,118.96,117.63,118.14,1019068.0,117.43778465252
2017-02-02,117.75,118.32,117.05,117.62,1685659.0,116.92087549373001
2017-02-01,118.81,119.25,117.35,118.51,1461410.0,117.80558540012
2017-01-31,115.86,120.41,115.86,118.33,2962984.0,117.62665530668998
2017-01-30,116.84,116.84,114.95,115.39,2850628.0,114.70413044738999
2017-01-27,115.83,117.8,115.52,116.96,1213179.0,116.2647984845
2017-01-26,115.91,116.26,114.93,115.35,1147575.0,114.6643682044
2017-01-25,114.56,116.19,114.39,115.94,1485205.0,115.25086128841002
2017-01-24,113.93,115.34,113.5,114.56,1336273.0,113.87906390548001
2017-01-23,113.38,114.47,113.38,114.16,1369725.0,113.48144147564
2017-01-20,114.8,115.34,113.19,113.65,1401788.0,112.97447287758999
2017-01-19,115.11,115.376,113.92,114.58,934646.0,113.89894502696998
2017-01-18,115.66,116.0,114.725,115.47,902359.0,114.78365493336
2017-01-17,114.21,115.75,114.05,115.45,1242217.0,114.76377381186
2017-01-13,114.62,115.41,114.09,115.2,1034388.0,114.51525979321998
2017-01-12,113.71,114.9,111.98,114.43,1546694.0,113.74983661578001
2017-01-11,113.99,116.16,113.4201,114.75,2484963.0,114.06793455965
2017-01-10,110.51,115.94,110.5,113.67,3973411.0,112.99435399908998
2017-01-09,104.77,107.199,104.77,107.0,1163298.0,106.36399998155001
2017-01-06,105.14,105.3099,103.62,104.96,1820999.0,104.33612558937
2017-01-05,104.58,105.28,104.11,104.95,1453888.0,104.32618502863001
2017-01-04,103.88,105.345,103.38,104.28,1502751.0,103.66016745865
2017-01-03,103.87,103.9,102.59,103.33,1381230.0,102.71581418778999
2016-12-30,103.31,103.93,102.85,103.2,973822.0,102.58658689809
2016-12-29,103.0,103.74,102.83,103.5,683275.0,102.88480372046999
2016-12-28,102.84,104.2,102.84,103.06,1315584.0,102.44741904764999
2016-12-27,102.5,103.39,101.98,103.14,1146546.0,102.28873959898
2016-12-23,101.57,102.7,101.43,102.32,664037.0,101.47550742454
2016-12-22,101.68,101.72,100.87,101.57,854462.0,100.7316975089
2016-12-21,101.83,102.36,101.37,101.66,1480702.0,100.82095469878
2016-12-20,102.88,103.5,101.595,101.85,1764590.0,101.00938654407
2016-12-19,103.46,103.775,102.6,102.86,1145341.0,102.0110505638
2016-12-16,102.41,103.53,102.35,103.5,2861048.0,102.64576835848
2016-12-15,102.5,103.84,100.8101,102.65,3247635.0,101.80278378741998
2016-12-14,106.09,106.265,104.0,104.87,2068444.0,104.00446113772
2016-12-13,105.77,106.979,105.39,106.73,1020428.0,105.84910972851
2016-12-12,105.44,106.4537,105.22,105.81,1449410.0,104.93670289865999
2016-12-09,105.16,105.5,104.425,105.22,1324641.0,104.35157243169
2016-12-08,104.45,104.8,103.78,104.45,1272927.0,103.58792758496
2016-12-07,104.23,105.22,103.3,104.42,1558797.0,103.55817518834
2016-12-06,101.18,104.74,100.69,104.61,2005054.0,103.74660703363001
2016-12-05,101.03,101.51,100.1575,101.43,1789995.0,100.59285299131001
2016-12-02,100.16,101.56,99.59,100.2,1155051.0,99.373004729662
2016-12-01,101.79,102.41,99.11,99.79,1547919.0,98.966388642445
2016-11-30,103.44,103.7,101.64,101.86,1960069.0,101.01930400961001
2016-11-29,103.57,104.34,102.96,103.4,2183053.0,102.54659370306
2016-11-28,102.24,103.34,101.84,101.98,1587904.0,101.13831359612
2016-11-25,102.0,102.93,101.59,102.36,708317.0,101.51517728671
2016-11-23,100.19,101.86,100.09,101.0,1479494.0,100.16640197301001
2016-11-22,100.95,100.95,98.2,100.81,3093687.0,99.977970127717
2016-11-21,100.64,102.31,100.31,102.09,1709017.0,101.24740571708
2016-11-18,101.04,101.96,100.555,100.64,2409857.0,99.809373213505
2016-11-17,100.8,101.51,100.725,100.8,1652448.0,99.96805266217501
2016-11-16,100.9,101.41,100.12,100.88,1589269.0,100.04739238651
2016-11-15,98.43,102.039,98.37,101.45,3504737.0,100.6126879224
2016-11-14,98.14,98.17,95.63,97.99,4405932.0,97.181244844906
2016-11-11,100.18,100.56,97.71,98.03,2873234.0,97.22091470707399
2016-11-10,102.43,103.74,99.05,100.68,2691824.0,99.849043075672
2016-11-09,104.17,104.17,97.83,101.62,3794116.0,100.78128483661
2016-11-08,102.67,103.42,99.7,101.83,5193149.0,100.98955161299
2016-11-07,104.12,105.395,103.7,104.45,2165943.0,103.58792758496
2016-11-04,103.11,105.93,103.0,103.01,2456157.0,102.15981254693001
2016-11-03,102.03,103.27,101.33,102.54,2234703.0,101.69369166646
2016-11-02,103.71,104.2,101.92,102.02,2948109.0,101.17798345828001
2016-11-01,106.55,107.0,103.12,103.76,5159446.0,102.90362246257
2016-10-31,106.63,108.4,103.93,105.4,10076692.0,104.53008681144001
2016-10-28,120.98,124.0,120.32,122.55,2312613.0,121.53854021577
2016-10-27,121.08,121.62,119.63,120.99,1581724.0,119.99141559123998
2016-10-26,124.78,125.0,120.82,121.08,2060554.0,120.08067278111
2016-10-25,127.9,127.905,125.47,125.59,964044.0,124.55344974049999
2016-10-24,128.29,128.66,127.71,127.99,788682.0,126.93364147055
2016-10-21,127.38,127.66,126.0,127.52,699529.0,126.46752059008001
2016-10-20,128.16,128.68,127.48,128.21,896967.0,127.15182571247
2016-10-19,129.11,129.41,127.6101,128.08,772296.0,127.02289866043002
2016-10-18,127.69,129.7,127.6,129.1,1296784.0,128.0344801457
2016-10-17,127.16,127.23,126.45,126.62,741378.0,125.57494869132
