AAL,"American Airlines, Southwest employees to get bonus after tax reform"
ABT,BRIEF-Abbott Launches Alinity H-Series Integrated Hematology System
AGN,"BRIEF-Allergan Says In Connection With Internal Reorganization, Forest Laboratories Merged With And Into Allergan Sales",BRIEF-Pershing Square Holdings Announces Agreement To Settle Lawsuits Related To Allergan
ALXN,"Alexion, Elliott to jointly look for new director",BRIEF-Alexion And Elliott Agree To Collaborate On Identifying A New Board Member
AMZN,Amazon says over 5 billion items shipped in 2017 via Prime,BRIEF-Amazon.Com Says ‍More Than Five Bln Items Worldwide Shipped With Prime In 2017​
BA,Boeing-Embraer talks have not settled question of control: sources,"BRIEF-Southwest Airlines Says All Full-time, Part-Time Southwest Employees Will Receive A $1,000 Cash Bonus On Jan 8",Boeing talks not considering change of control at Embraer -paper
CLX,"BRIEF-Amazon Been In Talks With Several Companies Including P&G, Clorox About Letting Them Promote Products On Its Echo Devices - CNBC"
CME,Speculators raised net short bitcoin positions in Dec 26 week: CFTC
DAL,"Delta accused of bias against Jewish, Israeli flight attendants","BRIEF-Delta Air Lines CEO Edward Bastian Sells 25,000 Shares of Co's Common Stock On Dec 29"
ECL,BRIEF-Ecolab Acquires Cascade Water Services
JNJ,BRIEF-Johnson & Johnson Declares Cash Dividend For Q1 2018 Of $0.84 Per Share On Co's Common Stock
LUV,"American Airlines, Southwest employees to get bonus after tax reform",BRIEF-Southwest Airlines Expects To Record About $105 Mln In Expenses During Q4 2017,"BRIEF-Southwest Airlines Says All Full-time, Part-Time Southwest Employees Will Receive A $1,000 Cash Bonus On Jan 8"
MOS,"BRIEF-Mosaic says Changes In Pending Vale Fertilizantes Transaction Include Reduction In Purchase Price Consideration To $1.15 Bln In Cash, 34.2 Mln Shares","Brazil's Vale to retain control of port, receive $1.15 bln in Mosaic deal"
MRK,BRIEF-Merck’s Keytruda Approved In Japan For Use In The Treatment Of Patients With Urothelial Carcinoma
MSFT,BRIEF-DNAnexus Inc Announced Closing $58 Mln Financing Led By New Investor Foresite Capital With Strategic Investment From Microsoft
PG,"BRIEF-Amazon Been In Talks With Several Companies Including P&G, Clorox About Letting Them Promote Products On Its Echo Devices - CNBC"
PPG,BRIEF-PPG To Acquire Architectural Paint And Coatings Wholesaler ProCoatings
RF,BRIEF-Regions Financial Corp Says Co Increased Minimum Wage To $15 Per Hour
RIG,5%+ Dividend Yield Portfolio: Meeting Return Goals And Surviving FOMO (Dec 2017 Review),Ensco Is Due For A Surge
SLB,Weatherford shares plummet after company scraps OneStim venture,Weatherford shares plummet after company scraps OneStim venture
SRE,"BRIEF-Sempra Energy Files To Say It Is Offering $1.5 Bln Of Shares Of Co's Mandatory Convertible Preferred Stock, Series A",BRIEF-Sempra Energy Announces Proposed Public Offerings Of Common Stock And Mandatory Convertible Preferred Stock
TDG,BRIEF-TransDigm Group Incorporated Appoints James Skulina Interim CFO
TRV,U.S. airport immigration computers go down temporarily: agency
USB,"BRIEF-U.S. Bancorp To Give Bonus For 60,000 Employees Due To Tax Reform Package"
XOM,BRIEF-Suncor Names Former Exxon Executive Dennis Houston To Board
ZION,BRIEF-Zions Bancorp Announces Increase In Employees' Compensation Related To Tax Cuts & Jobs Act Of 2017
