AAPL,Apple says it collects fee on less than 1% of Spotify users
AMZN,Beauty retailers fall after Amazon opens store for professionals,REFILE-Amazon's new beauty store for professionals poses threat to beauty retailers
BMY,Bristol-Myers plans to divest Celgene's psoriasis drug,Bristol to divest Celgene's psoriasis treatment in FTC clearance push
CME,Swiss ready to retaliate against EU over stock market access,Swiss ready to retaliate against EU over stock market access
CNC,"Centene, WellCare win shareholder support for $15.27 billion deal","Centene, WellCare win shareholder support for $15.27 billion deal"
CVX,CORRECTED-Qatar Petroleum agrees deal with Chevron Phillips for petchem complex
FB,Walmart in Mexico launches grocery orders via WhatsApp,"Bitcoin trades above $11,000, after 10% weekend jump"
FDX,China says FedEx should offer a proper explanation on Huawei
KO,"China Mengniu Dairy, Coca-Cola sign Olympic deal to 2032","CHINA MENGNIU DAIRY, COCA-COLA SIGN JOINT GLOBAL OLYMPIC SPONSOR DEAL FROM 2021 TO 2032 - IOC"
LMT,Lockheed Martin wins $562 million U.S. defense contract: Pentagon
NWS,"News Corp, Australian national broadcaster to challenge legality of raids","News Corp, Australian national broadcaster to challenge legality of raids"
NWSA,"News Corp, Australian national broadcaster to challenge legality of raids","News Corp, Australian national broadcaster to challenge legality of raids"
T,WarnerMedia names Ann Sarnoff as CEO of Warner Bros
WMT,JetBlue sues Walmart for trademark infringement over Jetblack service,JetBlue sues Walmart for trademark infringement over Jetblack service
